!
! 05-APR-2020 19:46:36
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 5.1 6.9 /OUTPUT serpens_cn10_blue4_smm4.txt
!
 1    238.386   -226.500  7.08274E-02
 2    223.736   -226.500  7.35276E-02
 3    209.086   -226.500  7.47371E-02
 4    194.436   -226.500  8.40981E-02
 5    179.786   -226.500  0.13812    
 6    165.136   -226.500  0.23851    
 7    150.486   -226.500  0.54370    
 8    135.836   -226.500  0.52496    
 9    121.186   -226.500  0.38860    
 10    106.536   -226.500  0.37245    
 11     91.886   -226.500  0.37089    
 12     77.236   -226.500  0.37059    
 13     33.286   -211.850 -2.43873E-02
 14     47.936   -211.850  3.80304E-02
 15     62.586   -211.850  0.15184    
 16     77.236   -211.850  0.35041    
 17     91.886   -211.850  0.38452    
 18    106.536   -211.850  0.38662    
 19    121.186   -211.850  0.40670    
 20    135.836   -211.850  0.55258    
 21    150.486   -211.850  0.61137    
 22    165.136   -211.850  0.30682    
 23    179.786   -211.850  0.17089    
 24    194.436   -211.850  0.20341    
 25    209.086   -211.850  0.21398    
 26    223.736   -211.850  0.21546    
 27    238.386   -211.850  0.48600    
 28    253.036   -211.850  0.81297    
 29    267.686   -211.850  0.85964    
 30    267.686   -197.200  0.77700    
 31    253.036   -197.200  0.77161    
 32    238.386   -197.200  0.65891    
 33    223.736   -197.200  0.28685    
 34    209.086   -197.200  0.26560    
 35    194.436   -197.200  0.24534    
 36    179.786   -197.200  0.17809    
 37    165.136   -197.200  0.30641    
 38    150.486   -197.200  0.57191    
 39    135.836   -197.200  0.57814    
 40    121.186   -197.200  0.53563    
 41    106.536   -197.200  0.53035    
 42     91.886   -197.200  0.54654    
 43     77.236   -197.200  0.26503    
 44     62.586   -197.200  0.13169    
 45     47.936   -197.200  6.69566E-03
 46     33.286   -197.200 -4.95189E-02
 47     18.636   -197.200 -5.85646E-02
 48    -39.964   -182.550 -0.25563    
 49    -25.314   -182.550 -0.23708    
 50    -10.664   -182.550 -6.07393E-02
