!
! 05-APR-2020 19:50:05
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -69.260 -69.1 /OUTPUT serpens_cn10_red1.txt
!
 1    238.386   -226.500  7.96446E-02
 2    223.736   -226.500  7.77826E-02
 3    209.086   -226.500  7.71543E-02
 4    194.436   -226.500  7.21257E-02
 5    179.786   -226.500  3.66613E-02
 6    165.136   -226.500 -1.31902E-02
 7    150.486   -226.500 -2.21426E-02
 8    135.836   -226.500 -1.14564E-02
 9    121.186   -226.500  4.35786E-02
 10    106.536   -226.500  5.35984E-02
 11     91.886   -226.500  5.47699E-02
 12     77.236   -226.500  5.49123E-02
 13     33.286   -211.850 -1.57905E-02
 14     47.936   -211.850  2.16563E-02
 15     62.586   -211.850  3.98094E-02
 16     77.236   -211.850  5.91347E-02
 17     91.886   -211.850  6.33191E-02
 18    106.536   -211.850  6.11387E-02
 19    121.186   -211.850  4.56387E-02
 20    135.836   -211.850 -3.73745E-03
 21    150.486   -211.850 -9.90166E-03
 22    165.136   -211.850 -1.26192E-02
 23    179.786   -211.850  1.80822E-02
 24    194.436   -211.850  4.52439E-02
 25    209.086   -211.850  5.02303E-02
 26    223.736   -211.850  5.08832E-02
 27    238.386   -211.850  5.58872E-02
 28    253.036   -211.850  7.58765E-02
 29    267.686   -211.850  0.10733    
 30    267.686   -197.200  6.32706E-02
 31    253.036   -197.200  6.26870E-02
 32    238.386   -197.200  4.90917E-02
 33    223.736   -197.200  3.69783E-02
 34    209.086   -197.200  5.23264E-02
 35    194.436   -197.200  4.94203E-02
 36    179.786   -197.200  3.20396E-02
 37    165.136   -197.200 -2.13636E-03
 38    150.486   -197.200 -2.30478E-02
 39    135.836   -197.200 -2.20169E-02
 40    121.186   -197.200  3.47958E-02
 41    106.536   -197.200  5.37348E-02
 42     91.886   -197.200  5.24335E-02
 43     77.236   -197.200  4.55086E-02
 44     62.586   -197.200  3.36274E-02
 45     47.936   -197.200  1.70578E-02
 46     33.286   -197.200  1.05716E-02
 47     18.636   -197.200  1.07105E-02
 48    -39.964   -182.550  4.10842E-02
 49    -25.314   -182.550  3.47892E-02
 50    -10.664   -182.550  3.49381E-02
 51      3.986   -182.550  4.32113E-02
 52     18.636   -182.550  1.19015E-02
 53     33.286   -182.550  1.17347E-02
 54     47.936   -182.550  1.17669E-02
 55     62.586   -182.550  2.34116E-02
 56     77.236   -182.550  3.98874E-02
 57     91.886   -182.550  3.90870E-02
 58    106.536   -182.550  2.88096E-02
 59    121.186   -182.550  1.27307E-02
 60    135.836   -182.550 -2.89985E-02
 61    150.486   -182.550 -1.95699E-02
 62    165.136   -182.550  1.02950E-02
 63    179.786   -182.550  3.85591E-02
 64    194.436   -182.550  5.68650E-02
 65    209.086   -182.550  4.85540E-02
 66    223.736   -182.550  3.22342E-02
 67    238.386   -182.550  4.07819E-02
 68    253.036   -182.550  4.94879E-02
 69    267.686   -182.550  5.01156E-02
 70    267.686   -167.900  3.97092E-02
 71    253.036   -167.900  3.90946E-02
 72    238.386   -167.900  3.64396E-02
 73    223.736   -167.900  5.04543E-02
 74    209.086   -167.900  3.90706E-02
 75    194.436   -167.900  3.24817E-02
 76    179.786   -167.900  3.11239E-02
 77    165.136   -167.900  7.47095E-03
 78    150.486   -167.900 -4.07261E-04
 79    135.836   -167.900  2.92130E-03
 80    121.186   -167.900  1.51471E-02
 81    106.536   -167.900  2.09325E-02
 82     91.886   -167.900  2.62707E-02
 83     77.236   -167.900  2.28864E-02
 84     62.586   -167.900  5.77214E-03
 85     47.936   -167.900  4.89847E-03
 86     33.286   -167.900  8.97158E-03
 87     18.636   -167.900 -1.49273E-03
 88      3.986   -167.900  4.30330E-02
 89    -10.664   -167.900  3.47365E-02
 90    -25.314   -167.900  3.46372E-02
 91    -39.964   -167.900  3.88236E-02
 92    -54.614   -167.900 -3.91248E-02
 93    -69.264   -167.900 -4.64323E-02
 94    -83.914   -167.900 -9.23118E-03
 95    -98.564   -153.250  4.28096E-02
 96    -83.914   -153.250  6.41271E-03
 97    -69.264   -153.250 -3.75734E-02
 98    -54.614   -153.250 -5.78844E-02
 99    -39.964   -153.250  2.63680E-02
 100    -25.314   -153.250  3.32661E-02
 101    -10.664   -153.250  3.32296E-02
 102      3.986   -153.250  4.07588E-02
 103     18.636   -153.250 -3.56021E-03
 104     33.286   -153.250  7.64111E-03
 105     47.936   -153.250  1.16913E-04
 106     62.586   -153.250 -1.15048E-02
 107     77.236   -153.250  5.61743E-04
 108     91.886   -153.250  1.93867E-02
 109    106.536   -153.250  1.93600E-02
 110    121.186   -153.250  2.54288E-02
 111    135.836   -153.250  1.61419E-02
 112    150.486   -153.250  1.04358E-02
 113    165.136   -153.250  7.14129E-03
 114    179.786   -153.250  1.64121E-02
 115    194.436   -153.250  1.89385E-02
 116    209.086   -153.250  4.58237E-02
 117    223.736   -153.250  4.39568E-02
 118    238.386   -153.250  2.14125E-02
 119    253.036   -153.250  3.02736E-02
 120    267.686   -153.250  3.31971E-02
 121    267.686   -138.600  9.78349E-03
 122    253.036   -138.600  5.12340E-03
 123    238.386   -138.600 -9.93784E-03
 124    223.736   -138.600  8.91733E-03
 125    209.086   -138.600  3.60826E-02
 126    194.436   -138.600  2.94290E-02
 127    179.786   -138.600  2.07236E-02
 128    165.136   -138.600  1.02298E-02
 129    150.486   -138.600  1.20162E-02
 130    135.836   -138.600  1.74705E-02
 131    121.186   -138.600  2.18994E-02
 132    106.536   -138.600  2.18987E-02
 133     91.886   -138.600  2.61442E-02
 134     77.236   -138.600  2.85794E-03
 135     62.586   -138.600 -4.41136E-03
 136     47.936   -138.600  1.44343E-02
 137     33.286   -138.600  1.07334E-02
 138     18.636   -138.600 -3.41017E-03
 139      3.986   -138.600  2.56197E-02
 140    -10.664   -138.600  2.25714E-02
 141    -25.314   -138.600  2.56439E-02
 142    -39.964   -138.600 -6.05985E-03
 143    -54.614   -138.600 -5.66465E-02
 144    -69.264   -138.600 -2.13847E-02
 145    -83.914   -138.600  2.61217E-02
 146    -98.564   -138.600  5.71500E-02
 147    -98.564   -123.950  5.59141E-02
 148    -83.914   -123.950  3.86991E-02
 149    -69.264   -123.950  1.07415E-03
 150    -54.614   -123.950 -4.26460E-02
 151    -39.964   -123.950 -1.24498E-02
 152    -25.314   -123.950  1.95121E-02
 153    -10.664   -123.950  4.65438E-03
 154      3.986   -123.950  4.33729E-03
 155     18.636   -123.950  5.37402E-03
 156     33.286   -123.950  8.68281E-03
 157     47.936   -123.950  5.44692E-03
 158     62.586   -123.950  5.02766E-04
 159     77.236   -123.950  1.06431E-02
 160     91.886   -123.950  1.90227E-02
 161    106.536   -123.950  2.20296E-02
 162    121.186   -123.950  2.42502E-02
 163    135.836   -123.950  2.11016E-02
 164    150.486   -123.950  2.05328E-02
 165    165.136   -123.950  2.15027E-02
 166    179.786   -123.950  1.80025E-02
 167    194.436   -123.950  2.55089E-02
 168    209.086   -123.950  3.93769E-02
 169    223.736   -123.950  3.00846E-02
 170    238.386   -123.950  1.96008E-02
 171    253.036   -123.950  2.90636E-02
 172    267.686   -123.950  3.22549E-02
 173    267.686   -109.300  1.24647E-02
 174    253.036   -109.300  1.27845E-02
 175    238.386   -109.300  1.85892E-02
 176    223.736   -109.300  4.31890E-02
 177    209.086   -109.300  5.11442E-02
 178    194.436   -109.300  1.95805E-02
 179    179.786   -109.300  4.77306E-03
 180    165.136   -109.300  1.62091E-02
 181    150.486   -109.300  2.05318E-02
 182    135.836   -109.300  2.20566E-02
 183    121.186   -109.300  1.60011E-02
 184    106.536   -109.300  1.56153E-02
 185     91.886   -109.300  1.21809E-02
 186     77.236   -109.300  3.33459E-03
 187     62.586   -109.300 -2.09164E-03
 188     47.936   -109.300  3.15582E-03
 189     33.286   -109.300  3.11336E-03
 190     18.636   -109.300  1.78393E-02
 191      3.986   -109.300  2.15988E-02
 192    -10.664   -109.300  1.23429E-02
 193    -25.314   -109.300  1.14295E-02
 194    -39.964   -109.300 -1.51984E-02
 195    -54.614   -109.300 -2.40454E-02
 196    -69.264   -109.300  5.66965E-03
 197    -83.914   -109.300  2.13637E-02
 198    -98.564   -109.300  2.53026E-02
 199    -98.564    -94.650 -3.83785E-03
 200    -83.914    -94.650 -3.86841E-03
 201    -69.264    -94.650 -5.66300E-03
 202    -54.614    -94.650 -1.14909E-02
 203    -39.964    -94.650 -9.28669E-03
 204    -25.314    -94.650 -1.46236E-02
 205    -10.664    -94.650 -8.08284E-03
 206      3.986    -94.650  3.56653E-03
 207     18.636    -94.650  1.13670E-02
 208     33.286    -94.650 -7.08212E-03
 209     47.936    -94.650 -8.26985E-03
 210     62.586    -94.650 -4.71482E-04
 211     77.236    -94.650  1.00565E-02
 212     91.886    -94.650  7.25889E-03
 213    106.536    -94.650  5.61277E-03
 214    121.186    -94.650  2.08794E-02
 215    135.836    -94.650  2.85480E-02
 216    150.486    -94.650  2.89567E-02
 217    165.136    -94.650  1.40322E-02
 218    179.786    -94.650  4.11669E-03
 219    194.436    -94.650  2.28471E-02
 220    209.086    -94.650  5.41765E-02
 221    223.736    -94.650  3.33346E-02
 222    238.386    -94.650  4.63830E-03
 223    253.036    -94.650 -1.76636E-02
 224    267.686    -94.650 -2.25316E-02
 225    267.686    -80.000  1.49562E-02
 226    253.036    -80.000  1.43114E-02
 227    238.386    -80.000  8.79914E-03
 228    223.736    -80.000  1.34497E-02
 229    209.086    -80.000  4.73483E-02
 230    194.436    -80.000  2.64407E-02
 231    179.786    -80.000  2.31743E-02
 232    165.136    -80.000  3.97698E-02
 233    150.486    -80.000  4.12373E-02
 234    135.836    -80.000  2.91562E-02
 235    121.186    -80.000  2.24011E-02
 236    106.536    -80.000  8.81718E-03
 237     91.886    -80.000  7.53322E-03
 238     77.236    -80.000  1.16038E-02
 239     62.586    -80.000 -1.27055E-05
 240     47.936    -80.000 -5.90630E-03
 241     33.286    -80.000 -3.23794E-03
 242     18.636    -80.000  3.98495E-03
 243      3.986    -80.000 -2.60394E-03
 244    -10.664    -80.000 -1.38792E-02
 245    -25.314    -80.000 -9.88671E-03
 246    -39.964    -80.000 -3.25565E-03
 247    -54.614    -80.000 -2.40974E-02
 248    -69.264    -80.000 -2.78817E-02
 249    -83.914    -80.000 -2.71769E-02
 250    -98.564    -80.000 -2.63522E-02
 251    -98.564    -65.350  1.14017E-02
 252    -83.914    -65.350  1.22321E-02
 253    -69.264    -65.350  1.32567E-02
 254    -54.614    -65.350  1.40952E-02
 255    -39.964    -65.350  1.99922E-02
 256    -25.314    -65.350  1.68157E-03
 257    -10.664    -65.350  4.97219E-04
 258      3.986    -65.350  4.72289E-03
 259     18.636    -65.350 -1.24024E-02
 260     33.286    -65.350 -1.52424E-02
 261     47.936    -65.350 -9.82956E-03
 262     62.586    -65.350 -1.13567E-03
 263     77.236    -65.350  1.39766E-02
 264     91.886    -65.350  1.34811E-02
 265    106.536    -65.350  1.76805E-02
 266    121.186    -65.350  1.70694E-02
 267    135.836    -65.350  3.23962E-02
 268    150.486    -65.350  4.41517E-02
 269    165.136    -65.350  4.47887E-02
 270    179.786    -65.350  2.94500E-02
 271    194.436    -65.350  1.50181E-02
 272    209.086    -65.350  4.17632E-02
 273    223.736    -65.350  2.84397E-02
 274    238.386    -65.350  1.32177E-02
 275    253.036    -65.350  7.27899E-03
 276    267.686    -65.350  5.89760E-03
 277    267.686    -50.700  4.49256E-02
 278    253.036    -50.700  4.19855E-02
 279    238.386    -50.700  3.14539E-02
 280    223.736    -50.700  3.89719E-02
 281    209.086    -50.700  5.52153E-02
 282    194.436    -50.700  2.13256E-02
 283    179.786    -50.700  2.38966E-02
 284    165.136    -50.700  3.81349E-02
 285    150.486    -50.700  4.25947E-02
 286    135.836    -50.700  3.85424E-02
 287    121.186    -50.700  2.13511E-02
 288    106.536    -50.700  1.45184E-02
 289     91.886    -50.700  4.51286E-03
 290     77.236    -50.700  3.69011E-03
 291     62.586    -50.700  2.64241E-03
 292     47.936    -50.700 -1.71986E-03
 293     33.286    -50.700 -1.28949E-03
 294     18.636    -50.700 -4.87842E-03
 295      3.986    -50.700  1.47949E-02
 296    -10.664    -50.700  1.81187E-02
 297    -25.314    -50.700  1.04724E-02
 298    -39.964    -50.700  2.03619E-02
 299    -54.614    -50.700  2.23881E-02
 300    -69.264    -50.700  1.93044E-02
 301    -83.914    -50.700  1.76229E-02
 302    -98.564    -50.700  1.69856E-02
 303    -98.564    -36.050  8.83813E-03
 304    -83.914    -36.050  1.00816E-02
 305    -69.264    -36.050  1.20616E-02
 306    -54.614    -36.050  1.23202E-02
 307    -39.964    -36.050  1.09669E-02
 308    -25.314    -36.050  1.26375E-02
 309    -10.664    -36.050  2.66420E-02
 310      3.986    -36.050  1.81049E-02
 311     18.636    -36.050  3.62667E-03
 312     33.286    -36.050  2.71275E-03
 313     47.936    -36.050  2.61439E-03
 314     62.586    -36.050  2.72722E-03
 315     77.236    -36.050  6.27504E-03
 316     91.886    -36.050  1.89405E-02
 317    106.536    -36.050  3.20970E-02
 318    121.186    -36.050  2.81691E-02
 319    135.836    -36.050  3.56974E-02
 320    150.486    -36.050  2.85809E-02
 321    165.136    -36.050  3.73388E-02
 322    179.786    -36.050  3.69376E-02
 323    194.436    -36.050  2.89420E-02
 324    209.086    -36.050  6.33450E-02
 325    223.736    -36.050  4.01614E-02
 326    238.386    -36.050  2.11689E-02
 327    253.036    -36.050  4.65286E-02
 328    267.686    -36.050  5.94081E-02
 329    267.686    -21.400  4.91706E-02
 330    253.036    -21.400  1.31907E-02
 331    238.386    -21.400 -1.68270E-02
 332    223.736    -21.400  3.63883E-02
 333    209.086    -21.400  2.47985E-02
 334    194.436    -21.400  1.51560E-02
 335    179.786    -21.400  2.72803E-02
 336    165.136    -21.400  3.44219E-02
 337    150.486    -21.400  2.83227E-02
 338    135.836    -21.400  2.92421E-02
 339    121.186    -21.400  2.53344E-02
 340    106.536    -21.400  4.34390E-02
 341     91.886    -21.400  3.71183E-02
 342     77.236    -21.400  2.11591E-02
 343     62.586    -21.400  6.72257E-03
 344     47.936    -21.400 -1.71826E-03
 345     33.286    -21.400 -3.65663E-03
 346     18.636    -21.400  4.19110E-03
 347      3.986    -21.400  2.10380E-02
 348    -10.664    -21.400  2.82714E-02
 349    -25.314    -21.400  1.14106E-02
 350    -39.964    -21.400 -2.45994E-03
 351    -54.614    -21.400  1.68362E-03
 352    -69.264    -21.400  1.60741E-02
 353    -83.914    -21.400  1.91706E-02
 354    -98.564    -21.400  1.94011E-02
 355    -98.564     -6.750  9.17389E-04
 356    -83.914     -6.750  9.49299E-04
 357    -69.264     -6.750  1.79569E-03
 358    -54.614     -6.750  4.13418E-03
 359    -39.964     -6.750  6.70681E-03
 360    -25.314     -6.750  7.71229E-03
 361    -10.664     -6.750  2.39310E-02
 362      3.986     -6.750  2.74512E-02
