!
! 05-APR-2020 19:50:28
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -14.378 -14 /OUTPUT serpens_cn10_red3.txt
!
 1    238.386   -226.500  1.79469E-02
 2    223.736   -226.500  1.65232E-02
 3    209.086   -226.500  1.72867E-02
 4    194.436   -226.500  2.34285E-02
 5    179.786   -226.500  6.81858E-02
 6    165.136   -226.500  0.14932    
 7    150.486   -226.500  0.14177    
 8    135.836   -226.500  7.17828E-02
 9    121.186   -226.500  9.67784E-03
 10    106.536   -226.500  7.22451E-04
 11     91.886   -226.500 -2.60755E-04
 12     77.236   -226.500 -3.93145E-04
 13     33.286   -211.850  2.77735E-03
 14     47.936   -211.850  1.06697E-03
 15     62.586   -211.850  1.47064E-02
 16     77.236   -211.850  4.49550E-02
 17     91.886   -211.850  4.01494E-02
 18    106.536   -211.850  4.10813E-02
 19    121.186   -211.850  4.92749E-02
 20    135.836   -211.850  0.10375    
 21    150.486   -211.850  0.17139    
 22    165.136   -211.850  0.17151    
 23    179.786   -211.850  8.33217E-02
 24    194.436   -211.850  2.74647E-02
 25    209.086   -211.850  1.76586E-02
 26    223.736   -211.850  1.63764E-02
 27    238.386   -211.850  3.78294E-02
 28    253.036   -211.850  5.80080E-02
 29    267.686   -211.850  9.16437E-02
 30    267.686   -197.200  4.59770E-02
 31    253.036   -197.200  4.55456E-02
 32    238.386   -197.200  3.89568E-02
 33    223.736   -197.200 -1.53308E-03
 34    209.086   -197.200  1.90141E-03
 35    194.436   -197.200  9.30817E-03
 36    179.786   -197.200  5.43444E-02
 37    165.136   -197.200  0.15861    
 38    150.486   -197.200  0.14811    
 39    135.836   -197.200  8.61128E-02
 40    121.186   -197.200  6.06946E-02
 41    106.536   -197.200  5.69302E-02
 42     91.886   -197.200  5.75003E-02
 43     77.236   -197.200  5.45994E-02
 44     62.586   -197.200  1.60156E-02
 45     47.936   -197.200  1.37313E-02
 46     33.286   -197.200  2.05982E-02
 47     18.636   -197.200  2.07825E-02
 48    -39.964   -182.550  4.09190E-02
 49    -25.314   -182.550  1.59096E-02
 50    -10.664   -182.550 -1.01098E-02
 51      3.986   -182.550  1.52659E-02
 52     18.636   -182.550  4.70679E-02
 53     33.286   -182.550  4.64982E-02
 54     47.936   -182.550  3.61266E-02
 55     62.586   -182.550  2.21912E-02
 56     77.236   -182.550  4.92826E-02
 57     91.886   -182.550  5.50384E-02
 58    106.536   -182.550  8.37029E-02
 59    121.186   -182.550  8.13951E-02
 60    135.836   -182.550  6.45825E-02
 61    150.486   -182.550  0.11559    
 62    165.136   -182.550  0.12768    
 63    179.786   -182.550  2.55033E-02
 64    194.436   -182.550 -4.99017E-03
 65    209.086   -182.550 -7.63424E-02
 66    223.736   -182.550 -2.00962E-02
 67    238.386   -182.550  2.55632E-02
 68    253.036   -182.550  3.47694E-02
 69    267.686   -182.550  3.53184E-02
 70    267.686   -167.900  4.24245E-02
 71    253.036   -167.900  4.22465E-02
 72    238.386   -167.900  3.59124E-02
 73    223.736   -167.900 -1.83163E-03
 74    209.086   -167.900 -9.97727E-02
 75    194.436   -167.900 -1.73179E-02
 76    179.786   -167.900  1.68459E-02
 77    165.136   -167.900  5.49660E-02
 78    150.486   -167.900  7.71720E-02
 79    135.836   -167.900  7.02316E-02
 80    121.186   -167.900  8.77955E-02
 81    106.536   -167.900  9.21790E-02
 82     91.886   -167.900  5.46990E-02
 83     77.236   -167.900  4.14730E-02
 84     62.586   -167.900  4.07840E-02
 85     47.936   -167.900  7.63744E-02
 86     33.286   -167.900  8.94708E-02
 87     18.636   -167.900  2.85298E-02
 88      3.986   -167.900  1.50311E-02
 89    -10.664   -167.900 -9.93525E-03
 90    -25.314   -167.900  1.62160E-02
 91    -39.964   -167.900  4.09885E-02
 92    -54.614   -167.900  1.33842E-02
 93    -69.264   -167.900 -8.44040E-03
 94    -83.914   -167.900  1.70573E-02
 95    -98.564   -153.250  6.47723E-02
 96    -83.914   -153.250  3.43820E-02
 97    -69.264   -153.250  1.23735E-03
 98    -54.614   -153.250  5.09000E-03
 99    -39.964   -153.250  4.36323E-02
 100    -25.314   -153.250  1.75818E-02
 101    -10.664   -153.250 -9.30239E-03
 102      3.986   -153.250  1.45971E-02
 103     18.636   -153.250  1.69858E-02
 104     33.286   -153.250  3.25722E-02
 105     47.936   -153.250  0.10267    
 106     62.586   -153.250  6.84246E-02
 107     77.236   -153.250  5.30635E-02
 108     91.886   -153.250  7.70041E-02
 109    106.536   -153.250  0.12395    
 110    121.186   -153.250  0.10435    
 111    135.836   -153.250  8.53446E-02
 112    150.486   -153.250  7.74405E-02
 113    165.136   -153.250  7.47748E-02
 114    179.786   -153.250  2.91277E-02
 115    194.436   -153.250  7.84974E-03
 116    209.086   -153.250  4.62386E-03
 117    223.736   -153.250  3.77377E-02
 118    238.386   -153.250  5.68513E-02
 119    253.036   -153.250  4.73129E-02
 120    267.686   -153.250  4.46131E-02
 121    267.686   -138.600 -3.29814E-02
 122    253.036   -138.600 -2.23192E-02
 123    238.386   -138.600  1.52230E-02
 124    223.736   -138.600  1.13900E-02
 125    209.086   -138.600  1.81325E-02
 126    194.436   -138.600  2.30183E-02
 127    179.786   -138.600  4.54281E-02
 128    165.136   -138.600  0.10171    
 129    150.486   -138.600  0.11192    
 130    135.836   -138.600  0.13588    
 131    121.186   -138.600  0.13151    
 132    106.536   -138.600  0.12855    
 133     91.886   -138.600  0.11926    
 134     77.236   -138.600  8.57217E-02
 135     62.586   -138.600  6.40336E-02
 136     47.936   -138.600  5.10048E-02
 137     33.286   -138.600 -1.81103E-02
 138     18.636   -138.600  1.43481E-02
 139      3.986   -138.600  8.97331E-03
 140    -10.664   -138.600 -5.20084E-03
 141    -25.314   -138.600  2.48406E-02
 142    -39.964   -138.600  4.19116E-02
 143    -54.614   -138.600  1.92553E-03
 144    -69.264   -138.600  1.87013E-02
 145    -83.914   -138.600  6.14139E-02
 146    -98.564   -138.600  9.05306E-02
 147    -98.564   -123.950  0.11044    
 148    -83.914   -123.950  8.87608E-02
 149    -69.264   -123.950  4.20181E-02
 150    -54.614   -123.950 -6.69780E-03
 151    -39.964   -123.950  1.25352E-02
 152    -25.314   -123.950  2.79116E-02
 153    -10.664   -123.950  4.79298E-03
 154      3.986   -123.950 -6.37075E-03
 155     18.636   -123.950  1.93522E-02
 156     33.286   -123.950  1.81645E-03
 157     47.936   -123.950  1.15588E-02
 158     62.586   -123.950  4.66530E-02
 159     77.236   -123.950  7.74888E-02
 160     91.886   -123.950  0.12214    
 161    106.536   -123.950  0.13520    
 162    121.186   -123.950  0.17027    
 163    135.836   -123.950  0.18238    
 164    150.486   -123.950  0.13699    
 165    165.136   -123.950  0.11344    
 166    179.786   -123.950  6.48274E-02
 167    194.436   -123.950  1.75027E-02
 168    209.086   -123.950 -4.96496E-03
 169    223.736   -123.950  1.56913E-02
 170    238.386   -123.950  1.60338E-02
 171    253.036   -123.950  1.84985E-03
 172    267.686   -123.950 -1.53553E-03
 173    267.686   -109.300 -4.98757E-03
 174    253.036   -109.300  3.18127E-03
 175    238.386   -109.300  3.14624E-02
 176    223.736   -109.300  1.51405E-02
 177    209.086   -109.300  2.05237E-02
 178    194.436   -109.300  6.85104E-02
 179    179.786   -109.300  6.69379E-02
 180    165.136   -109.300  9.21049E-02
 181    150.486   -109.300  0.11909    
 182    135.836   -109.300  0.16588    
 183    121.186   -109.300  0.18031    
 184    106.536   -109.300  0.15705    
 185     91.886   -109.300  0.12176    
 186     77.236   -109.300  6.93464E-02
 187     62.586   -109.300  2.66415E-02
 188     47.936   -109.300 -1.54407E-02
 189     33.286   -109.300 -1.28299E-02
 190     18.636   -109.300  3.12476E-02
 191      3.986   -109.300  2.36353E-02
 192    -10.664   -109.300  1.15088E-02
 193    -25.314   -109.300  1.32261E-02
 194    -39.964   -109.300 -9.53449E-03
 195    -54.614   -109.300  8.41353E-03
 196    -69.264   -109.300  7.63920E-02
 197    -83.914   -109.300  0.11697    
 198    -98.564   -109.300  0.13041    
 199    -98.564    -94.650  0.15236    
 200    -83.914    -94.650  0.14421    
 201    -69.264    -94.650  0.11469    
 202    -54.614    -94.650  5.88529E-02
 203    -39.964    -94.650  4.16987E-02
 204    -25.314    -94.650  9.62323E-03
 205    -10.664    -94.650 -1.75024E-02
 206      3.986    -94.650  6.04251E-03
 207     18.636    -94.650 -6.47601E-03
 208     33.286    -94.650 -2.13982E-02
 209     47.936    -94.650 -6.39746E-03
