!
! 05-APR-2020 19:47:38
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -14.378 -11.6 /OUTPUT serpens_cn10_red3_smm4.txt
!
 1    238.386   -226.500  8.80027E-02
 2    223.736   -226.500  8.58463E-02
 3    209.086   -226.500  8.48017E-02
 4    194.436   -226.500  7.74811E-02
 5    179.786   -226.500  7.22643E-02
 6    165.136   -226.500  0.32379    
 7    150.486   -226.500  8.23674E-02
 8    135.836   -226.500 -0.22936    
 9    121.186   -226.500 -0.13206    
 10    106.536   -226.500 -0.12391    
 11     91.886   -226.500 -0.12354    
 12     77.236   -226.500 -0.12357    
 13     33.286   -211.850 -0.33387    
 14     47.936   -211.850 -0.22470    
 15     62.586   -211.850 -0.19153    
 16     77.236   -211.850 -9.76432E-02
 17     91.886   -211.850 -0.15184    
 18    106.536   -211.850 -0.14450    
 19    121.186   -211.850 -9.72226E-02
 20    135.836   -211.850 -1.13955E-02
 21    150.486   -211.850  0.17314    
 22    165.136   -211.850  0.28600    
 23    179.786   -211.850  9.99046E-02
 24    194.436   -211.850  5.74852E-02
 25    209.086   -211.850  5.38814E-02
 26    223.736   -211.850  5.34820E-02
 27    238.386   -211.850  0.12465    
 28    253.036   -211.850  0.22547    
 29    267.686   -211.850  0.21964    
 30    267.686   -197.200  0.23464    
 31    253.036   -197.200  0.23244    
 32    238.386   -197.200  0.18478    
 33    223.736   -197.200  0.11951    
 34    209.086   -197.200  0.20532    
 35    194.436   -197.200  0.20089    
 36    179.786   -197.200  0.19873    
 37    165.136   -197.200  0.27545    
 38    150.486   -197.200  0.17647    
 39    135.836   -197.200  0.10562    
 40    121.186   -197.200  0.13088    
 41    106.536   -197.200  0.14341    
 42     91.886   -197.200  0.18321    
 43     77.236   -197.200  4.47910E-02
 44     62.586   -197.200 -0.15022    
 45     47.936   -197.200 -0.14762    
 46     33.286   -197.200 -0.15719    
 47     18.636   -197.200 -0.16664    
 48    -39.964   -182.550 -0.23347    
 49    -25.314   -182.550 -0.30664    
 50    -10.664   -182.550 -0.23001    
 51      3.986   -182.550 -1.86980E-02
 52     18.636   -182.550 -0.10057    
 53     33.286   -182.550 -9.34131E-02
 54     47.936   -182.550 -6.57089E-02
 55     62.586   -182.550 -7.20169E-02
 56     77.236   -182.550  5.18961E-02
 57     91.886   -182.550  0.24817    
 58    106.536   -182.550  0.39572    
 59    121.186   -182.550  0.36448    
 60    135.836   -182.550  0.16817    
 61    150.486   -182.550  0.15420    
 62    165.136   -182.550  0.27563    
 63    179.786   -182.550  0.19590    
 64    194.436   -182.550  0.25118    
 65    209.086   -182.550  7.50105E-02
 66    223.736   -182.550  3.64853E-02
 67    238.386   -182.550  0.18327    
 68    253.036   -182.550  0.24107    
 69    267.686   -182.550  0.24638    
 70    267.686   -167.900  0.24356    
 71    253.036   -167.900  0.23264    
 72    238.386   -167.900  0.17517    
 73    223.736   -167.900  0.13140    
 74    209.086   -167.900 -0.10613    
 75    194.436   -167.900  0.17948    
 76    179.786   -167.900  0.12506    
 77    165.136   -167.900  8.95103E-02
 78    150.486   -167.900  0.12626    
 79    135.836   -167.900  0.26671    
 80    121.186   -167.900  0.39167    
 81    106.536   -167.900  0.38976    
 82     91.886   -167.900  0.25604    
 83     77.236   -167.900  0.10317    
 84     62.586   -167.900  6.24911E-02
 85     47.936   -167.900  2.99682E-02
 86     33.286   -167.900 -7.90088E-03
 87     18.636   -167.900 -4.77142E-02
 88      3.986   -167.900 -1.87599E-02
 89    -10.664   -167.900 -0.22885    
 90    -25.314   -167.900 -0.30453    
 91    -39.964   -167.900 -0.23397    
 92    -54.614   -167.900 -0.13263    
 93    -69.264   -167.900  0.15584    
 94    -83.914   -167.900  0.32604    
 95    -98.564   -153.250  0.31902    
 96    -83.914   -153.250  0.28605    
 97    -69.264   -153.250  0.15129    
 98    -54.614   -153.250 -0.11044    
 99    -39.964   -153.250 -0.21125    
 100    -25.314   -153.250 -0.29325    
 101    -10.664   -153.250 -0.22279    
 102      3.986   -153.250 -2.00387E-02
 103     18.636   -153.250 -5.17508E-02
 104     33.286   -153.250 -3.08351E-02
 105     47.936   -153.250  0.12954    
 106     62.586   -153.250  0.18438    
 107     77.236   -153.250  0.21070    
 108     91.886   -153.250  0.27981    
 109    106.536   -153.250  0.48470    
 110    121.186   -153.250  0.57469    
 111    135.836   -153.250  0.46404    
 112    150.486   -153.250  0.22862    
 113    165.136   -153.250  0.15287    
 114    179.786   -153.250  0.13938    
 115    194.436   -153.250  0.13921    
 116    209.086   -153.250  2.91492E-02
 117    223.736   -153.250  0.23818    
 118    238.386   -153.250  0.12893    
 119    253.036   -153.250  0.12022    
 120    267.686   -153.250  0.12672    
 121    267.686   -138.600 -8.05864E-02
 122    253.036   -138.600 -6.08968E-02
 123    238.386   -138.600  4.44733E-02
 124    223.736   -138.600  0.11886    
 125    209.086   -138.600 -2.70483E-02
 126    194.436   -138.600  4.95024E-02
 127    179.786   -138.600  0.12592    
 128    165.136   -138.600  0.21998    
 129    150.486   -138.600  0.29672    
 130    135.836   -138.600  0.57622    
 131    121.186   -138.600  0.67725    
 132    106.536   -138.600  0.50289    
 133     91.886   -138.600  0.28165    
 134     77.236   -138.600  0.19549    
 135     62.586   -138.600  0.16343    
 136     47.936   -138.600  7.88219E-02
 137     33.286   -138.600 -9.31848E-02
 138     18.636   -138.600 -3.64253E-02
 139      3.986   -138.600 -3.16897E-02
 140    -10.664   -138.600 -0.18748    
 141    -25.314   -138.600 -0.21603    
 142    -39.964   -138.600 -0.14487    
 143    -54.614   -138.600 -9.02412E-02
 144    -69.264   -138.600  0.15373    
 145    -83.914   -138.600  0.26679    
 146    -98.564   -138.600  0.28071    
 147    -98.564   -123.950  0.26038    
 148    -83.914   -123.950  0.24539    
 149    -69.264   -123.950  0.15598    
 150    -54.614   -123.950 -4.48933E-02
 151    -39.964   -123.950 -8.49826E-02
 152    -25.314   -123.950 -5.56763E-02
 153    -10.664   -123.950 -0.12550    
 154      3.986   -123.950 -7.18746E-02
 155     18.636   -123.950  3.62528E-02
 156     33.286   -123.950  3.90295E-02
 157     47.936   -123.950  1.75812E-02
 158     62.586   -123.950  0.15409    
 159     77.236   -123.950  0.18357    
 160     91.886   -123.950  0.31506    
 161    106.536   -123.950  0.53537    
 162    121.186   -123.950  0.70379    
 163    135.836   -123.950  0.57289    
 164    150.486   -123.950  0.32956    
 165    165.136   -123.950  0.27371    
