!
! 05-APR-2020 19:50:38
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 8.5 9.7 /OUTPUT serpens_cn10_red4.txt
!
 1    238.386   -226.500  7.53319E-02
 2    223.736   -226.500  7.04553E-02
 3    209.086   -226.500  7.05902E-02
 4    194.436   -226.500  7.27779E-02
 5    179.786   -226.500  0.13447    
 6    165.136   -226.500  0.40838    
 7    150.486   -226.500  0.32576    
 8    135.836   -226.500  0.23667    
 9    121.186   -226.500  0.23662    
 10    106.536   -226.500  0.24594    
 11     91.886   -226.500  0.24739    
 12     77.236   -226.500  0.24759    
 13     33.286   -211.850  1.62765E-02
 14     47.936   -211.850  2.30738E-02
 15     62.586   -211.850  3.64159E-02
 16     77.236   -211.850  6.76950E-02
 17     91.886   -211.850  4.95909E-02
 18    106.536   -211.850  5.28744E-02
 19    121.186   -211.850  7.76410E-02
 20    135.836   -211.850  0.18065    
 21    150.486   -211.850  0.24806    
 22    165.136   -211.850  0.24701    
 23    179.786   -211.850  0.13165    
 24    194.436   -211.850  0.16048    
 25    209.086   -211.850  0.17267    
 26    223.736   -211.850  0.17444    
 27    238.386   -211.850  0.10312    
 28    253.036   -211.850 -6.19167E-02
 29    267.686   -211.850 -3.72033E-02
 30    267.686   -197.200 -7.01403E-02
 31    253.036   -197.200 -6.75053E-02
 32    238.386   -197.200  3.86756E-02
 33    223.736   -197.200  0.37907    
 34    209.086   -197.200  0.36084    
 35    194.436   -197.200  0.32636    
 36    179.786   -197.200  0.19716    
 37    165.136   -197.200  0.20609    
 38    150.486   -197.200  0.23984    
 39    135.836   -197.200  0.22933    
 40    121.186   -197.200  0.17127    
 41    106.536   -197.200  0.16132    
 42     91.886   -197.200  0.16172    
 43     77.236   -197.200  0.11709    
 44     62.586   -197.200  5.55174E-02
 45     47.936   -197.200  6.37549E-02
 46     33.286   -197.200  7.94119E-02
 47     18.636   -197.200  7.94758E-02
 48    -39.964   -182.550 -4.45455E-02
 49    -25.314   -182.550 -4.53520E-02
 50    -10.664   -182.550  3.58122E-02
 51      3.986   -182.550  0.12427    
 52     18.636   -182.550  0.10251    
 53     33.286   -182.550  0.10661    
 54     47.936   -182.550  0.10522    
 55     62.586   -182.550  8.73280E-02
 56     77.236   -182.550  0.12362    
 57     91.886   -182.550  0.16868    
 58    106.536   -182.550  0.21801    
 59    121.186   -182.550  0.21309    
 60    135.836   -182.550  0.24866    
 61    150.486   -182.550  0.19373    
 62    165.136   -182.550  0.21122    
 63    179.786   -182.550  0.20587    
 64    194.436   -182.550  0.30685    
 65    209.086   -182.550  0.29221    
