!
! 05-APR-2020 19:47:31
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 8.5 10.4 /OUTPUT serpens_cn10_red4_smm4.txt
!
 1    238.386   -226.500  0.27434    
 2    223.736   -226.500  0.25961    
 3    209.086   -226.500  0.25965    
 4    194.436   -226.500  0.26104    
 5    179.786   -226.500  0.31243    
 6    165.136   -226.500  0.52846    
 7    150.486   -226.500  0.41998    
 8    135.836   -226.500  0.30913    
 9    121.186   -226.500  0.21343    
 10    106.536   -226.500  0.20427    
 11     91.886   -226.500  0.20351    
 12     77.236   -226.500  0.20338    
 13     33.286   -211.850 -0.35138    
 14     47.936   -211.850 -6.13617E-02
 15     62.586   -211.850  0.12689    
 16     77.236   -211.850  0.14693    
 17     91.886   -211.850  0.10856    
 18    106.536   -211.850  0.11360    
 19    121.186   -211.850  0.15098    
 20    135.836   -211.850  0.29212    
 21    150.486   -211.850  0.33581    
 22    165.136   -211.850  0.30096    
 23    179.786   -211.850  0.13627    
 24    194.436   -211.850  0.16533    
 25    209.086   -211.850  0.17974    
 26    223.736   -211.850  0.18186    
 27    238.386   -211.850  0.18409    
 28    253.036   -211.850  6.77883E-02
 29    267.686   -211.850  6.52043E-02
 30    267.686   -197.200  5.87107E-02
 31    253.036   -197.200  6.01318E-02
 32    238.386   -197.200  0.16886    
 33    223.736   -197.200  0.43926    
 34    209.086   -197.200  0.33840    
 35    194.436   -197.200  0.29569    
 36    179.786   -197.200  0.14849    
 37    165.136   -197.200  0.23402    
 38    150.486   -197.200  0.28680    
 39    135.836   -197.200  0.33457    
 40    121.186   -197.200  0.30868    
 41    106.536   -197.200  0.29925    
 42     91.886   -197.200  0.31464    
 43     77.236   -197.200  0.24697    
 44     62.586   -197.200  0.13404    
 45     47.936   -197.200 -3.36867E-02
 46     33.286   -197.200 -0.14365    
 47     18.636   -197.200 -0.16475    
 48    -39.964   -182.550 -0.14782    
 49    -25.314   -182.550 -7.98813E-02
 50    -10.664   -182.550  0.10384    
 51      3.986   -182.550  0.10652    
 52     18.636   -182.550 -8.71425E-02
 53     33.286   -182.550 -7.27717E-02
 54     47.936   -182.550  1.00028E-02
 55     62.586   -182.550  0.14944    
 56     77.236   -182.550  0.24921    
 57     91.886   -182.550  0.33967    
 58    106.536   -182.550  0.44160    
 59    121.186   -182.550  0.46949    
 60    135.836   -182.550  0.41242    
 61    150.486   -182.550  0.28993    
 62    165.136   -182.550  0.29150    
 63    179.786   -182.550  0.20410    
 64    194.436   -182.550  0.31094    
 65    209.086   -182.550  0.36443    
 66    223.736   -182.550  0.43693    
 67    238.386   -182.550  0.11960    
 68    253.036   -182.550  3.96964E-02
 69    267.686   -182.550  4.04696E-02
 70    267.686   -167.900 -1.16387E-02
 71    253.036   -167.900 -1.62650E-02
 72    238.386   -167.900  2.49756E-02
 73    223.736   -167.900  0.29012    
 74    209.086   -167.900  0.30823    
 75    194.436   -167.900  0.27416    
 76    179.786   -167.900  0.19206    
 77    165.136   -167.900  0.20007    
 78    150.486   -167.900  0.27473    
 79    135.836   -167.900  0.52070    
 80    121.186   -167.900  0.64399    
 81    106.536   -167.900  0.43193    
 82     91.886   -167.900  0.34027    
 83     77.236   -167.900  0.27403    
 84     62.586   -167.900  0.19022    
 85     47.936   -167.900  8.48244E-02
 86     33.286   -167.900  2.67522E-02
 87     18.636   -167.900 -9.17524E-02
 88      3.986   -167.900  0.10738    
 89    -10.664   -167.900  0.10335    
 90    -25.314   -167.900 -7.92141E-02
 91    -39.964   -167.900 -0.13693    
 92    -54.614   -167.900  6.01987E-02
 93    -69.264   -167.900  0.17247    
 94    -83.914   -167.900  0.35528    
 95    -98.564   -153.250  0.46235    
 96    -83.914   -153.250  0.35385    
 97    -69.264   -153.250  0.20147    
 98    -54.614   -153.250  0.12155    
 99    -39.964   -153.250 -4.34727E-02
 100    -25.314   -153.250 -7.65747E-02
 101    -10.664   -153.250  0.10122    
 102      3.986   -153.250  0.10740    
 103     18.636   -153.250 -0.10018    
 104     33.286   -153.250  8.83385E-02
 105     47.936   -153.250  0.19692    
 106     62.586   -153.250  0.27521    
 107     77.236   -153.250  0.33498    
 108     91.886   -153.250  0.34541    
 109    106.536   -153.250  0.48985    
 110    121.186   -153.250  0.77624    
 111    135.836   -153.250  0.62814    
 112    150.486   -153.250  0.34568    
 113    165.136   -153.250  0.25880    
 114    179.786   -153.250  0.26180    
 115    194.436   -153.250  0.33844    
 116    209.086   -153.250  0.30327    
 117    223.736   -153.250  0.18032    
 118    238.386   -153.250 -3.22702E-02
 119    253.036   -153.250 -6.59674E-02
 120    267.686   -153.250 -6.47081E-02
 121    267.686   -138.600  4.43089E-02
 122    253.036   -138.600  4.23661E-02
 123    238.386   -138.600  4.84838E-02
 124    223.736   -138.600  0.14714    
 125    209.086   -138.600  0.30316    
 126    194.436   -138.600  0.35291    
 127    179.786   -138.600  0.30592    
 128    165.136   -138.600  0.33459    
 129    150.486   -138.600  0.43237    
 130    135.836   -138.600  0.66708    
 131    121.186   -138.600  0.82444    
 132    106.536   -138.600  0.55117    
 133     91.886   -138.600  0.33158    
 134     77.236   -138.600  0.28268    
 135     62.586   -138.600  0.23202    
 136     47.936   -138.600  0.11010    
 137     33.286   -138.600  7.02704E-02
 138     18.636   -138.600 -2.09822E-02
 139      3.986   -138.600  0.11443    
 140    -10.664   -138.600  9.43722E-02
 141    -25.314   -138.600 -3.61175E-02
 142    -39.964   -138.600  0.22210    
 143    -54.614   -138.600  0.14267    
 144    -69.264   -138.600  0.24384    
 145    -83.914   -138.600  0.38754    
 146    -98.564   -138.600  0.46727    
 147    -98.564   -123.950  0.40687    
 148    -83.914   -123.950  0.37718    
 149    -69.264   -123.950  0.29491    
 150    -54.614   -123.950  0.20177    
 151    -39.964   -123.950  0.29996    
 152    -25.314   -123.950  0.15251    
 153    -10.664   -123.950  0.15093    
 154      3.986   -123.950  0.15912    
 155     18.636   -123.950  0.18021    
 156     33.286   -123.950  0.20443    
 157     47.936   -123.950  0.16361    
 158     62.586   -123.950  0.21540    
 159     77.236   -123.950  0.29801    
 160     91.886   -123.950  0.42405    
 161    106.536   -123.950  0.54481    
 162    121.186   -123.950  0.68291    
 163    135.836   -123.950  0.60645    
 164    150.486   -123.950  0.42396    
 165    165.136   -123.950  0.35995    
 166    179.786   -123.950  0.29537    
 167    194.436   -123.950  0.30260    
 168    209.086   -123.950  0.26438    
 169    223.736   -123.950  6.52677E-02
 170    238.386   -123.950  2.24709E-02
 171    253.036   -123.950  3.89391E-02
 172    267.686   -123.950  4.21360E-02
 173    267.686   -109.300  0.10921    
 174    253.036   -109.300  0.11529    
 175    238.386   -109.300  0.13411    
 176    223.736   -109.300  0.17221    
 177    209.086   -109.300  0.29332    
 178    194.436   -109.300  0.32087    
 179    179.786   -109.300  0.27765    
 180    165.136   -109.300  0.27324    
 181    150.486   -109.300  0.31395    
 182    135.836   -109.300  0.47894    
 183    121.186   -109.300  0.52053    
 184    106.536   -109.300  0.53491    
 185     91.886   -109.300  0.50107    
 186     77.236   -109.300  0.35230    
 187     62.586   -109.300  0.24369    
 188     47.936   -109.300  0.23279    
 189     33.286   -109.300  0.26138    
 190     18.636   -109.300  0.19869    
 191      3.986   -109.300  0.16941    
 192    -10.664   -109.300  0.26383    
 193    -25.314   -109.300  0.31932    
 194    -39.964   -109.300  0.25306    
 195    -54.614   -109.300  0.26075    
 196    -69.264   -109.300  0.29526    
 197    -83.914   -109.300  0.30002    
 198    -98.564   -109.300  0.29387    
 199    -98.564    -94.650  0.13202    
 200    -83.914    -94.650  0.14384    
