!
! 05-APR-2020 19:49:53
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 16 16.5 /OUTPUT serpens_cn10_red5.txt
!
 1    238.386   -226.500 -3.03080E-02
 2    223.736   -226.500 -2.25699E-02
 3    209.086   -226.500 -2.28238E-02
 4    194.436   -226.500 -2.43801E-02
 5    179.786   -226.500 -1.48346E-02
 6    165.136   -226.500  0.10831    
 7    150.486   -226.500  0.14620    
 8    135.836   -226.500  0.11063    
 9    121.186   -226.500  0.16087    
 10    106.536   -226.500  0.17798    
 11     91.886   -226.500  0.18029    
 12     77.236   -226.500  0.18061    
 13     33.286   -211.850 -0.30725    
 14     47.936   -211.850 -7.33387E-02
 15     62.586   -211.850  6.05538E-02
 16     77.236   -211.850  0.15146    
 17     91.886   -211.850  0.16576    
 18    106.536   -211.850  0.16196    
 19    121.186   -211.850  0.13629    
 20    135.836   -211.850  8.05794E-02
 21    150.486   -211.850  0.14393    
 22    165.136   -211.850  0.10132    
 23    179.786   -211.850  6.72861E-03
 24    194.436   -211.850  6.06300E-03
 25    209.086   -211.850  8.58541E-03
 26    223.736   -211.850  8.97705E-03
 27    238.386   -211.850 -6.18793E-02
 28    253.036   -211.850 -0.19709    
 29    267.686   -211.850 -0.20649    
 30    267.686   -197.200 -0.18196    
 31    253.036   -197.200 -0.17839    
 32    238.386   -197.200 -0.10167    
 33    223.736   -197.200  6.29050E-02
 34    209.086   -197.200  1.23757E-02
 35    194.436   -197.200  6.94295E-03
 36    179.786   -197.200 -4.25595E-04
 37    165.136   -197.200  0.10690    
 38    150.486   -197.200  0.14265    
 39    135.836   -197.200  6.60916E-02
 40    121.186   -197.200  0.11500    
 41    106.536   -197.200  0.13938    
 42     91.886   -197.200  0.13337    
 43     77.236   -197.200  0.11354    
 44     62.586   -197.200  6.63588E-02
 45     47.936   -197.200 -4.60318E-02
 46     33.286   -197.200 -0.11200    
 47     18.636   -197.200 -0.12583    
 48    -39.964   -182.550  2.89585E-02
 49    -25.314   -182.550  2.31304E-02
 50    -10.664   -182.550  6.51330E-03
 51      3.986   -182.550  4.21529E-03
 52     18.636   -182.550 -6.25397E-02
 53     33.286   -182.550 -5.66802E-02
 54     47.936   -182.550 -8.42216E-03
 55     62.586   -182.550  8.08874E-02
 56     77.236   -182.550  0.11402    
 57     91.886   -182.550  0.11745    
 58    106.536   -182.550  0.12267    
 59    121.186   -182.550  7.97678E-02
 60    135.836   -182.550  6.36914E-02
 61    150.486   -182.550  0.11241    
 62    165.136   -182.550  7.23766E-02
 63    179.786   -182.550 -1.86229E-02
 64    194.436   -182.550 -1.58777E-02
 65    209.086   -182.550  1.74605E-02
 66    223.736   -182.550  9.34246E-02
 67    238.386   -182.550 -7.75709E-02
 68    253.036   -182.550 -0.14925    
 69    267.686   -182.550 -0.15434    
 70    267.686   -167.900 -0.10131    
 71    253.036   -167.900 -9.65486E-02
 72    238.386   -167.900 -4.89015E-02
 73    223.736   -167.900  5.40280E-02
 74    209.086   -167.900  3.90900E-02
 75    194.436   -167.900  1.14411E-02
 76    179.786   -167.900  4.36468E-03
 77    165.136   -167.900  3.70338E-02
 78    150.486   -167.900  7.11619E-02
 79    135.836   -167.900  8.31442E-02
 80    121.186   -167.900  0.10491    
 81    106.536   -167.900  0.14967    
 82     91.886   -167.900  0.11940    
 83     77.236   -167.900  0.11065    
 84     62.586   -167.900  0.10352    
 85     47.936   -167.900  3.59667E-02
 86     33.286   -167.900 -9.95148E-04
 87     18.636   -167.900  8.13562E-03
 88      3.986   -167.900  4.42741E-03
 89    -10.664   -167.900  6.57237E-03
 90    -25.314   -167.900  2.31914E-02
 91    -39.964   -167.900  3.12075E-02
 92    -54.614   -167.900 -1.17862E-02
 93    -69.264   -167.900 -0.10589    
 94    -83.914   -167.900 -0.16124    
 95    -98.564   -153.250 -0.15207    
 96    -83.914   -153.250 -0.14287    
 97    -69.264   -153.250 -0.10526    
 98    -54.614   -153.250 -2.77032E-02
 99    -39.964   -153.250  2.28093E-02
 100    -25.314   -153.250  2.27902E-02
 101    -10.664   -153.250  6.94037E-03
 102      3.986   -153.250  4.39533E-03
 103     18.636   -153.250  1.15648E-02
 104     33.286   -153.250  2.96179E-02
 105     47.936   -153.250  6.29500E-02
 106     62.586   -153.250  0.10985    
 107     77.236   -153.250  0.11026    
 108     91.886   -153.250  0.13537    
 109    106.536   -153.250  0.16298    
 110    121.186   -153.250  0.14063    
 111    135.836   -153.250  0.10131    
 112    150.486   -153.250  9.49514E-02
 113    165.136   -153.250  5.29386E-02
 114    179.786   -153.250  4.41024E-02
 115    194.436   -153.250  6.09920E-02
 116    209.086   -153.250  4.20699E-02
 117    223.736   -153.250  4.69292E-02
 118    238.386   -153.250 -1.64731E-02
 119    253.036   -153.250 -3.25621E-02
 120    267.686   -153.250 -3.30334E-02
 121    267.686   -138.600 -1.31282E-02
 122    253.036   -138.600 -1.40111E-02
 123    238.386   -138.600 -3.41268E-03
 124    223.736   -138.600  4.80373E-02
 125    209.086   -138.600  5.17020E-02
 126    194.436   -138.600  4.21931E-02
 127    179.786   -138.600  4.39675E-02
 128    165.136   -138.600  8.58805E-02
 129    150.486   -138.600  0.16590    
 130    135.836   -138.600  0.18719    
 131    121.186   -138.600  0.20676    
 132    106.536   -138.600  0.20176    
 133     91.886   -138.600  0.16145    
 134     77.236   -138.600  0.12561    
 135     62.586   -138.600  8.77170E-02
 136     47.936   -138.600  5.15549E-02
 137     33.286   -138.600  3.76715E-02
 138     18.636   -138.600  1.93250E-02
 139      3.986   -138.600  8.01024E-03
 140    -10.664   -138.600  1.03270E-02
 141    -25.314   -138.600  2.29845E-02
 142    -39.964   -138.600  6.33789E-03
 143    -54.614   -138.600 -3.17249E-02
 144    -69.264   -138.600 -0.11419    
 145    -83.914   -138.600 -0.15439    
 146    -98.564   -138.600 -0.16620    
 147    -98.564   -123.950 -0.20269    
 148    -83.914   -123.950 -0.18705    
 149    -69.264   -123.950 -0.13957    
 150    -54.614   -123.950 -3.98199E-02
 151    -39.964   -123.950  2.21279E-02
 152    -25.314   -123.950  4.13110E-02
 153    -10.664   -123.950  3.06036E-02
 154      3.986   -123.950  3.18217E-02
 155     18.636   -123.950  4.45491E-02
 156     33.286   -123.950  7.76992E-02
 157     47.936   -123.950  6.50601E-02
 158     62.586   -123.950  5.79498E-02
 159     77.236   -123.950  0.10227    
 160     91.886   -123.950  0.17246    
 161    106.536   -123.950  0.25276    
 162    121.186   -123.950  0.26594    
 163    135.836   -123.950  0.24447    
 164    150.486   -123.950  0.20087    
 165    165.136   -123.950  0.11764    
 166    179.786   -123.950  3.71506E-02
 167    194.436   -123.950  3.56186E-02
 168    209.086   -123.950  6.79377E-02
 169    223.736   -123.950  3.82561E-02
 170    238.386   -123.950  2.19312E-02
 171    253.036   -123.950  1.73961E-02
 172    267.686   -123.950  1.72692E-02
 173    267.686   -109.300  6.25538E-02
 174    253.036   -109.300  6.40054E-02
 175    238.386   -109.300  7.47468E-02
 176    223.736   -109.300  8.37456E-02
 177    209.086   -109.300  7.27055E-02
 178    194.436   -109.300  6.57804E-02
 179    179.786   -109.300  5.30744E-02
 180    165.136   -109.300  0.10261    
 181    150.486   -109.300  0.16476    
 182    135.836   -109.300  0.21958    
 183    121.186   -109.300  0.25322    
 184    106.536   -109.300  0.25393    
 185     91.886   -109.300  0.19576    
 186     77.236   -109.300  0.11836    
 187     62.586   -109.300  4.72298E-02
 188     47.936   -109.300  4.09336E-02
 189     33.286   -109.300  6.78170E-02
 190     18.636   -109.300  4.69191E-02
 191      3.986   -109.300  4.78629E-02
 192    -10.664   -109.300  5.08762E-02
 193    -25.314   -109.300  5.40332E-02
 194    -39.964   -109.300  4.11280E-02
 195    -54.614   -109.300 -3.41953E-02
 196    -69.264   -109.300 -0.12718    
 197    -83.914   -109.300 -0.16287    
 198    -98.564   -109.300 -0.17168    
 199    -98.564    -94.650 -3.17824E-02
 200    -83.914    -94.650 -3.43651E-02
 201    -69.264    -94.650 -3.59592E-02
 202    -54.614    -94.650 -8.66142E-03
 203    -39.964    -94.650  3.71570E-02
 204    -25.314    -94.650  2.17009E-02
 205    -10.664    -94.650  3.28755E-02
 206      3.986    -94.650  3.29098E-02
 207     18.636    -94.650  5.70788E-02
 208     33.286    -94.650  4.23746E-02
 209     47.936    -94.650  3.41189E-02
 210     62.586    -94.650  6.69956E-02
 211     77.236    -94.650  0.13454    
 212     91.886    -94.650  0.19468    
 213    106.536    -94.650  0.23560    
 214    121.186    -94.650  0.23209    
 215    135.836    -94.650  0.18913    
 216    150.486    -94.650  0.11663    
 217    165.136    -94.650  9.50154E-02
 218    179.786    -94.650  6.51407E-02
 219    194.436    -94.650  6.05609E-02
 220    209.086    -94.650  8.43460E-02
 221    223.736    -94.650  7.68674E-02
 222    238.386    -94.650  9.53382E-02
 223    253.036    -94.650  0.13510    
 224    267.686    -94.650  0.14541    
 225    267.686    -80.000  0.11935    
 226    253.036    -80.000  0.11728    
 227    238.386    -80.000  0.10674    
 228    223.736    -80.000  9.25006E-02
 229    209.086    -80.000  0.10188    
 230    194.436    -80.000  0.10018    
 231    179.786    -80.000  0.13878    
 232    165.136    -80.000  0.15963    
 233    150.486    -80.000  0.15448    
 234    135.836    -80.000  0.17719    
 235    121.186    -80.000  0.20553    
 236    106.536    -80.000  0.21337    
 237     91.886    -80.000  0.19028    
 238     77.236    -80.000  0.15056    
 239     62.586    -80.000  0.11817    
 240     47.936    -80.000  9.16656E-02
 241     33.286    -80.000  7.26192E-02
 242     18.636    -80.000  6.87094E-02
 243      3.986    -80.000  3.74794E-02
 244    -10.664    -80.000  4.05237E-02
 245    -25.314    -80.000  2.72927E-02
 246    -39.964    -80.000  1.81131E-02
 247    -54.614    -80.000  7.91316E-03
 248    -69.264    -80.000  2.47300E-03
 249    -83.914    -80.000  1.39101E-03
 250    -98.564    -80.000 -3.21767E-04
 251    -98.564    -65.350  4.03728E-02
 252    -83.914    -65.350  3.78244E-02
 253    -69.264    -65.350  3.75786E-02
 254    -54.614    -65.350  5.16506E-02
 255    -39.964    -65.350  6.68977E-02
 256    -25.314    -65.350  8.07234E-02
 257    -10.664    -65.350  5.21534E-02
 258      3.986    -65.350  5.05968E-02
 259     18.636    -65.350  7.42227E-02
 260     33.286    -65.350  6.83279E-02
 261     47.936    -65.350  8.77335E-02
 262     62.586    -65.350  0.11247    
 263     77.236    -65.350  0.13724    
 264     91.886    -65.350  0.17346    
 265    106.536    -65.350  0.17734    
 266    121.186    -65.350  0.20730    
 267    135.836    -65.350  0.20996    
 268    150.486    -65.350  0.22640    
 269    165.136    -65.350  0.20871    
 270    179.786    -65.350  0.17796    
 271    194.436    -65.350  0.13333    
 272    209.086    -65.350  9.23855E-02
 273    223.736    -65.350  0.11358    
 274    238.386    -65.350  9.95622E-02
 275    253.036    -65.350  5.78404E-02
 276    267.686    -65.350  4.74588E-02
 277    267.686    -50.700 -2.52843E-03
 278    253.036    -50.700  1.87616E-02
 279    238.386    -50.700  9.69369E-02
 280    223.736    -50.700  0.14223    
 281    209.086    -50.700  0.12396    
 282    194.436    -50.700  0.12499    
 283    179.786    -50.700  0.15800    
 284    165.136    -50.700  0.20575    
 285    150.486    -50.700  0.20888    
 286    135.836    -50.700  0.21169    
 287    121.186    -50.700  0.20413    
 288    106.536    -50.700  0.15834    
 289     91.886    -50.700  0.13729    
 290     77.236    -50.700  0.10671    
 291     62.586    -50.700  0.10782    
 292     47.936    -50.700  8.66115E-02
 293     33.286    -50.700  6.95885E-02
 294     18.636    -50.700  6.17345E-02
 295      3.986    -50.700  5.58003E-02
 296    -10.664    -50.700  6.62364E-02
 297    -25.314    -50.700  9.28873E-02
 298    -39.964    -50.700  8.35950E-02
 299    -54.614    -50.700  7.32993E-02
 300    -69.264    -50.700  7.54086E-02
 301    -83.914    -50.700  7.88161E-02
 302    -98.564    -50.700  8.03866E-02
 303    -98.564    -36.050  6.77062E-02
 304    -83.914    -36.050  6.77948E-02
 305    -69.264    -36.050  6.85425E-02
 306    -54.614    -36.050  7.05881E-02
 307    -39.964    -36.050  7.48639E-02
 308    -25.314    -36.050  7.87166E-02
 309    -10.664    -36.050  7.06511E-02
 310      3.986    -36.050  7.20311E-02
 311     18.636    -36.050  5.03086E-02
 312     33.286    -36.050  4.00967E-02
 313     47.936    -36.050  7.73813E-02
 314     62.586    -36.050  0.10329    
 315     77.236    -36.050  0.11428    
 316     91.886    -36.050  0.13323    
 317    106.536    -36.050  0.16141    
 318    121.186    -36.050  0.19494    
 319    135.836    -36.050  0.21679    
 320    150.486    -36.050  0.21461    
 321    165.136    -36.050  0.20954    
 322    179.786    -36.050  0.15545    
 323    194.436    -36.050  0.12016    
 324    209.086    -36.050  0.15132    
 325    223.736    -36.050  0.15099    
 326    238.386    -36.050  0.11013    
 327    253.036    -36.050  2.38404E-02
 328    267.686    -36.050 -1.47537E-02
 329    267.686    -21.400  8.30429E-04
 330    253.036    -21.400  8.59679E-02
 331    238.386    -21.400  0.17460    
 332    223.736    -21.400  0.18258    
 333    209.086    -21.400  0.16687    
 334    194.436    -21.400  0.16462    
 335    179.786    -21.400  0.17877    
 336    165.136    -21.400  0.19666    
 337    150.486    -21.400  0.17675    
 338    135.836    -21.400  0.17135    
 339    121.186    -21.400  0.16464    
 340    106.536    -21.400  0.11468    
 341     91.886    -21.400  0.10749    
 342     77.236    -21.400  9.68995E-02
 343     62.586    -21.400  0.10270    
 344     47.936    -21.400  8.74719E-02
 345     33.286    -21.400  6.82948E-02
 346     18.636    -21.400  9.39006E-02
 347      3.986    -21.400  0.10957    
 348    -10.664    -21.400  8.14849E-02
 349    -25.314    -21.400  7.49198E-02
 350    -39.964    -21.400  5.77348E-02
 351    -54.614    -21.400  4.31926E-02
 352    -69.264    -21.400  3.93946E-02
 353    -83.914    -21.400  3.98506E-02
 354    -98.564    -21.400  4.11566E-02
 355    -98.564     -6.750  4.43940E-02
 356    -83.914     -6.750  4.40857E-02
 357    -69.264     -6.750  4.51340E-02
 358    -54.614     -6.750  5.30780E-02
 359    -39.964     -6.750  7.83222E-02
 360    -25.314     -6.750  0.10178    
 361    -10.664     -6.750  0.12203    
 362      3.986     -6.750  0.15925    
 363     18.636     -6.750  0.13599    
 364     33.286     -6.750  0.10823    
 365     47.936     -6.750  0.10379    
 366     62.586     -6.750  0.10956    
 367     77.236     -6.750  7.92165E-02
 368     91.886     -6.750  7.73509E-02
 369    106.536     -6.750  6.10079E-02
 370    121.186     -6.750  9.62613E-02
 371    135.836     -6.750  0.10109    
 372    150.486     -6.750  0.12890    
 373    165.136     -6.750  0.16482    
 374    179.786     -6.750  0.18190    
 375    194.436     -6.750  0.18927    
 376    209.086     -6.750  0.19089    
 377    223.736     -6.750  0.19979    
 378    238.386     -6.750  0.24963    
 379    253.036     -6.750  0.18409    
 380    267.686     -6.750  4.36610E-02
 381    253.036      7.900  0.45555    
 382    238.386      7.900  0.15759    
 383    223.736      7.900  9.44631E-02
 384    209.086      7.900  9.45407E-02
 385    194.436      7.900  9.03950E-02
 386    179.786      7.900  7.12965E-02
 387    165.136      7.900  7.30845E-02
 388    150.486      7.900  7.58755E-02
 389    135.836      7.900  5.40248E-02
 390    121.186      7.900  6.79394E-02
 391    106.536      7.900  6.05270E-02
 392     91.886      7.900  3.39513E-02
 393     77.236      7.900  5.74749E-02
 394     62.586      7.900  0.10470    
 395     47.936      7.900  0.12071    
 396     33.286      7.900  0.12033    
 397     18.636      7.900  0.13409    
 398      3.986      7.900  0.17175    
 399    -10.664      7.900  0.15203    
 400    -25.314      7.900  0.12228    
 401    -39.964      7.900  0.10967    
 402    -54.614      7.900  9.67470E-02
 403    -69.264      7.900  0.11351    
 404    -83.914      7.900  0.11886    
 405    -98.564      7.900  0.11995    
 406    -98.564     22.550  0.15000    
 407    -83.914     22.550  0.14292    
 408    -69.264     22.550  0.13276    
 409    -54.614     22.550  0.11240    
 410    -39.964     22.550  0.12203    
 411    -25.314     22.550  0.12886    
 412    -10.664     22.550  0.13779    
 413      3.986     22.550  0.13473    
 414     18.636     22.550  0.11573    
 415     33.286     22.550  0.10068    
 416     47.936     22.550  8.87256E-02
 417     62.586     22.550  8.58055E-02
 418     77.236     22.550  5.55834E-02
 419     91.886     22.550  3.71495E-02
 420    106.536     22.550  7.09445E-02
 421    121.186     22.550  0.10108    
 422    135.836     22.550  8.57663E-02
 423    150.486     22.550  4.05228E-02
 424    165.136     22.550  7.83091E-02
 425    179.786     22.550  8.61636E-02
 426    194.436     22.550  7.05439E-02
 427    209.086     22.550  6.27920E-02
 428    223.736     22.550  5.99259E-02
 429    238.386     22.550  5.37303E-02
 430    238.386     37.200  4.07923E-02
 431    223.736     37.200  4.04927E-02
 432    209.086     37.200  4.15740E-02
 433    194.436     37.200  4.65273E-02
 434    179.786     37.200  6.03427E-02
 435    165.136     37.200  5.94843E-02
 436    150.486     37.200  2.64774E-02
 437    135.836     37.200  6.00849E-02
 438    121.186     37.200  6.69554E-02
