!
! 05-APR-2020 19:47:20
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 16 17.5 /OUTPUT serpens_cn10_red5_smm4.txt
!
 1    238.386   -226.500 -0.11998    
 2    223.736   -226.500 -9.99895E-02
 3    209.086   -226.500 -9.89178E-02
 4    194.436   -226.500 -9.01420E-02
 5    179.786   -226.500 -1.82982E-02
 6    165.136   -226.500  0.19634    
 7    150.486   -226.500  0.29980    
 8    135.836   -226.500  0.16267    
 9    121.186   -226.500  0.15116    
 10    106.536   -226.500  0.16296    
 11     91.886   -226.500  0.16483    
 12     77.236   -226.500  0.16501    
 13     33.286   -211.850 -0.51627    
 14     47.936   -211.850 -0.14516    
 15     62.586   -211.850  3.24562E-02
 16     77.236   -211.850  0.16069    
 17     91.886   -211.850  0.19086    
 18    106.536   -211.850  0.18653    
 19    121.186   -211.850  0.15846    
 20    135.836   -211.850  0.12453    
 21    150.486   -211.850  0.28931    
 22    165.136   -211.850  0.20522    
 23    179.786   -211.850  2.59004E-02
 24    194.436   -211.850  2.30373E-02
 25    209.086   -211.850  2.73088E-02
 26    223.736   -211.850  2.79807E-02
 27    238.386   -211.850  0.13501    
 28    253.036   -211.850  0.18201    
 29    267.686   -211.850  0.24492    
 30    267.686   -197.200  0.15589    
 31    253.036   -197.200  0.15564    
 32    238.386   -197.200  0.18729    
 33    223.736   -197.200  0.13997    
 34    209.086   -197.200  2.29848E-02
 35    194.436   -197.200  5.74261E-03
 36    179.786   -197.200 -3.83554E-02
 37    165.136   -197.200  0.15009    
 38    150.486   -197.200  0.21570    
 39    135.836   -197.200  7.62188E-02
 40    121.186   -197.200  0.19710    
 41    106.536   -197.200  0.24979    
 42     91.886   -197.200  0.22153    
 43     77.236   -197.200  8.73391E-02
 44     62.586   -197.200  4.40327E-02
 45     47.936   -197.200 -0.10997    
 46     33.286   -197.200 -0.21441    
 47     18.636   -197.200 -0.23294    
 48    -39.964   -182.550  0.12759    
 49    -25.314   -182.550  6.03665E-02
 50    -10.664   -182.550  2.71846E-02
 51      3.986   -182.550 -1.05557E-02
 52     18.636   -182.550 -0.14865    
 53     33.286   -182.550 -0.14167    
 54     47.936   -182.550 -6.04117E-02
 55     62.586   -182.550  7.16360E-02
 56     77.236   -182.550  0.10145    
 57     91.886   -182.550  0.17005    
 58    106.536   -182.550  0.22869    
 59    121.186   -182.550  0.20845    
 60    135.836   -182.550  7.52556E-02
 61    150.486   -182.550  0.11928    
 62    165.136   -182.550  7.35760E-02
 63    179.786   -182.550 -5.75779E-02
 64    194.436   -182.550 -4.94630E-02
 65    209.086   -182.550  1.70869E-02
 66    223.736   -182.550  0.24140    
 67    238.386   -182.550  0.14057    
 68    253.036   -182.550  0.12238    
 69    267.686   -182.550  0.12482    
 70    267.686   -167.900  8.68749E-02
 71    253.036   -167.900  7.99792E-02
 72    238.386   -167.900  7.09574E-02
 73    223.736   -167.900  0.14619    
 74    209.086   -167.900  7.17173E-02
 75    194.436   -167.900 -8.84873E-03
 76    179.786   -167.900 -5.05366E-02
 77    165.136   -167.900 -6.91616E-03
 78    150.486   -167.900  3.83938E-02
 79    135.836   -167.900  0.15987    
 80    121.186   -167.900  0.27385    
 81    106.536   -167.900  0.25498    
 82     91.886   -167.900  0.19556    
 83     77.236   -167.900  0.13663    
 84     62.586   -167.900  0.11839    
 85     47.936   -167.900 -6.46986E-03
 86     33.286   -167.900 -7.32989E-02
 87     18.636   -167.900  4.49770E-02
 88      3.986   -167.900 -9.40691E-03
 89    -10.664   -167.900  2.76792E-02
 90    -25.314   -167.900  6.04733E-02
 91    -39.964   -167.900  0.12669    
 92    -54.614   -167.900  0.15071    
 93    -69.264   -167.900 -5.43155E-02
 94    -83.914   -167.900 -0.23153    
 95    -98.564   -153.250 -0.16625    
