!
! 25-JUL-2019 19:10:27
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 8.3 10.9 /OUTPUT serpens_cn10_red_int.txt
!
 1    238.386   -226.500  0.34847    
 2    223.736   -226.500  0.33740    
 3    209.086   -226.500  0.33738    
 4    194.436   -226.500  0.33840    
 5    179.786   -226.500  0.39403    
 6    165.136   -226.500  0.63387    
 7    150.486   -226.500  0.45119    
 8    135.836   -226.500  0.36780    
 9    121.186   -226.500  0.27949    
 10    106.536   -226.500  0.25760    
 11     91.886   -226.500  0.25478    
 12     77.236   -226.500  0.25437    
 13     33.286   -211.850 -0.54130    
 14     47.936   -211.850 -0.12467    
 15     62.586   -211.850  7.85360E-02
 16     77.236   -211.850  0.15219    
 17     91.886   -211.850  0.11922    
 18    106.536   -211.850  0.12768    
 19    121.186   -211.850  0.18766    
 20    135.836   -211.850  0.37094    
 21    150.486   -211.850  0.37159    
 22    165.136   -211.850  0.36025    
 23    179.786   -211.850  0.19115    
 24    194.436   -211.850  0.21214    
 25    209.086   -211.850  0.22551    
 26    223.736   -211.850  0.22750    
 27    238.386   -211.850  0.21494    
 28    253.036   -211.850  4.03574E-02
 29    267.686   -211.850  1.50186E-02
 30    267.686   -197.200  4.54581E-02
 31    253.036   -197.200  4.84028E-02
 32    238.386   -197.200  0.20432    
 33    223.736   -197.200  0.57247    
 34    209.086   -197.200  0.44220    
 35    194.436   -197.200  0.38549    
 36    179.786   -197.200  0.19038    
 37    165.136   -197.200  0.29368    
 38    150.486   -197.200  0.32876    
 39    135.836   -197.200  0.40426    
 40    121.186   -197.200  0.35401    
 41    106.536   -197.200  0.33269    
 42     91.886   -197.200  0.36664    
 43     77.236   -197.200  0.24889    
 44     62.586   -197.200  0.11183    
 45     47.936   -197.200 -7.41363E-02
 46     33.286   -197.200 -0.24290    
 47     18.636   -197.200 -0.28142    
 48    -39.964   -182.550 -0.38103    
 49    -25.314   -182.550 -0.26871    
 50    -10.664   -182.550  7.46098E-02
 51      3.986   -182.550  0.17848    
 52     18.636   -182.550 -0.17444    
 53     33.286   -182.550 -0.15056    
 54     47.936   -182.550 -5.61221E-03
 55     62.586   -182.550  0.17221    
 56     77.236   -182.550  0.27431    
 57     91.886   -182.550  0.44114    
 58    106.536   -182.550  0.68300    
 59    121.186   -182.550  0.72228    
 60    135.836   -182.550  0.56325    
 61    150.486   -182.550  0.41336    
 62    165.136   -182.550  0.42039    
 63    179.786   -182.550  0.20170    
 64    194.436   -182.550  0.29433    
 65    209.086   -182.550  0.36081    
 66    223.736   -182.550  0.56938    
 67    238.386   -182.550  0.16943    
 68    253.036   -182.550  4.85446E-02
 69    267.686   -182.550  4.71102E-02
 70    267.686   -167.900  1.87817E-02
 71    253.036   -167.900  1.68498E-02
 72    238.386   -167.900  8.48873E-02
 73    223.736   -167.900  0.38251    
 74    209.086   -167.900  0.31494    
 75    194.436   -167.900  0.31718    
 76    179.786   -167.900  0.26079    
 77    165.136   -167.900  0.29875    
 78    150.486   -167.900  0.38621    
 79    135.836   -167.900  0.73957    
 80    121.186   -167.900  0.93932    
 81    106.536   -167.900  0.65422    
 82     91.886   -167.900  0.48499    
 83     77.236   -167.900  0.36529    
 84     62.586   -167.900  0.28405    
 85     47.936   -167.900  0.10392    
 86     33.286   -167.900 -1.51396E-02
