!
! 02-MAY-2019 21:54:14
! Input file  : serpens_h13cn10_red.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 1  *********   4327.700  0.25686    
 2  *********   4327.700  0.45846    
 3  *********   4327.700   1.4605    
 4  *********   4327.700  -1.0837    
 5  *********   4327.700 -0.43867    
 6  *********   4327.700  0.53009    
 7  *********   4327.700  -1.0152    
 8  *********   4327.700 -0.24240    
 9  *********   4327.700  -1.6688    
 10  *********   4327.700   1.4090    
 11  *********   4327.700 -0.74803    
 12  *********   4327.700  -1.4599    
 13  *********   4327.700 -0.85884    
 14  *********   4327.700  0.81887    
 15  *********   4327.700   2.9211    
 16  *********   4327.700  0.91984    
 17  *********   4327.700  -1.1163    
 18  *********   4327.700 -0.22246    
 19  *********   4327.700  0.74851    
 20  *********   4327.700   1.4176    
 21  *********   4327.700 -0.89712    
 22  *********   4327.700  0.32772    
 23  *********   4327.700 -0.53134    
 24  *********   4327.700  -2.8910    
 25  *********   4327.700 -0.29105    
 26  *********   4327.700 -0.54573    
 27  *********   4327.700   1.8422    
 28  *********   4327.700  0.88602    
 29  *********   4327.700  0.56335    
 30  *********   4327.700   1.1841    
 31  *********   4327.700  0.86178    
 32  *********   4327.700   1.5009    
 33  *********   4327.700   2.0864    
 34  *********   4327.700  -1.0457    
 35  *********   4327.700   1.3548    
 36  *********   4327.700   2.6081    
 37  *********   4327.700   2.0931    
 38  *********   4327.700  5.95094E-02
 39  *********   4327.700   2.0316    
 40  *********   4327.700   1.0184    
 41  *********   4327.700   1.0750    
 42  *********   4327.700  0.31290    
 43  *********   4327.700  -1.0516    
 44  *********   4327.700 -7.96321E-02
 45  *********   4327.700 -0.12577    
 46  *********   4327.700   3.8027    
 47  *********   4327.700 -0.55390    
 48  *********   4327.700  0.54819    
 49  *********   4327.700  0.59718    
 50  *********   4327.700   1.3427    
 51  *********   4327.700   1.5668    
 52  *********   4327.700   2.2935    
 53  *********   4327.700   1.1690    
 54  *********   4327.700  -1.1496    
 55  *********   4327.700 -0.17094    
 56  *********   4327.700   1.2396    
 57  *********   4327.700  0.23639    
 58  *********   4327.700 -0.45451    
 59  *********   4327.700  -1.1421    
 60  *********   4347.700   1.4964    
 61  *********   4347.700   1.0680    
 62  *********   4347.700   1.6059    
 63  *********   4347.700 -0.35236    
