!
! 18-DEC-2018 16:23:43
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT serpens_hcn10_blue.txt
!
 1     33.286   -211.850 -0.74128    
 2     47.936   -211.850   1.0617    
 3     62.586   -211.850  8.68399E-02
 4     77.236   -211.850   1.0322    
 5     91.886   -211.850  0.40221    
 6    106.536   -211.850   1.4187    
 7    121.186   -211.850   2.1828    
 8    135.836   -211.850   2.6186    
 9    150.486   -211.850   2.7285    
 10    165.136   -211.850   3.7616    
 11    179.786   -211.850   4.4733    
 12    194.436   -211.850   3.8345    
 13    209.086   -211.850   2.0057    
 14    223.736   -211.850   1.7313    
 15    238.386   -211.850  5.17352E-02
 16    238.386   -197.200  0.39559    
 17    223.736   -197.200  0.53151    
 18    209.086   -197.200   1.9486    
 19    194.436   -197.200   3.8272    
 20    179.786   -197.200   4.3769    
 21    165.136   -197.200   3.7569    
 22    150.486   -197.200   2.7175    
 23    135.836   -197.200   2.6894    
 24    121.186   -197.200   2.2909    
 25    106.536   -197.200   1.4143    
 26     91.886   -197.200  0.40788    
 27     77.236   -197.200  0.98902    
 28     62.586   -197.200  8.23840E-02
 29     47.936   -197.200   1.0512    
 30     33.286   -197.200 -0.92526    
 31     18.636   -197.200  -1.4975    
 32     18.636   -182.550 -0.68917    
 33     33.286   -182.550 -0.54089    
 34     47.936   -182.550  0.18002    
 35     62.586   -182.550 -0.39130    
 36     77.236   -182.550  0.62454    
 37     91.886   -182.550   1.4063    
 38    106.536   -182.550   1.7648    
 39    121.186   -182.550   3.3474    
 40    135.836   -182.550   3.5065    
 41    150.486   -182.550   3.4919    
 42    165.136   -182.550   3.2012    
 43    179.786   -182.550   2.1964    
 44    194.436   -182.550   1.8443    
 45    209.086   -182.550   1.3044    
 46    223.736   -182.550  0.54193    
 47    238.386   -182.550  0.50035    
 48    238.386   -167.900  0.27806    
 49    223.736   -167.900  0.40595    
 50    209.086   -167.900   1.9018    
 51    194.436   -167.900   1.7461    
 52    179.786   -167.900   1.9935    
 53    165.136   -167.900   3.3850    
 54    150.486   -167.900   4.1717    
 55    135.836   -167.900   4.0849    
 56    121.186   -167.900   3.2509    
 57    106.536   -167.900   2.3802    
 58     91.886   -167.900   1.0357    
 59     77.236   -167.900  0.60340    
 60     62.586   -167.900  0.79905    
 61     47.936   -167.900  0.35533    
 62     33.286   -167.900  0.35420    
 63     18.636   -167.900  0.36298    
 64     18.636   -153.250   1.0860    
 65     33.286   -153.250   1.2312    
 66     47.936   -153.250  0.60139    
 67     62.586   -153.250   1.0881    
 68     77.236   -153.250   1.0340    
 69     91.886   -153.250   1.7999    
 70    106.536   -153.250   2.5940    
 71    121.186   -153.250   3.2144    
 72    135.836   -153.250   3.3964    
 73    150.486   -153.250   5.1716    
 74    165.136   -153.250   5.1885    
 75    179.786   -153.250   2.8875    
 76    194.436   -153.250   1.7790    
 77    209.086   -153.250   1.2614    
 78    223.736   -153.250   1.2658    
 79    238.386   -153.250   1.2612    
 80    238.386   -138.600  0.95809    
 81    223.736   -138.600   1.0744    
 82    209.086   -138.600   2.0275    
 83    194.436   -138.600   2.5827    
 84    179.786   -138.600   4.3806    
 85    165.136   -138.600   5.2586    
 86    150.486   -138.600   5.4596    
 87    135.836   -138.600   4.3491    
 88    121.186   -138.600   5.2672    
 89    106.536   -138.600   4.5617    
 90     91.886   -138.600   3.8616    
 91     77.236   -138.600   2.9811    
 92     62.586   -138.600   2.3369    
 93     47.936   -138.600   2.4161    
 94     33.286   -138.600   1.9353    
 95     18.636   -138.600   2.1004    
 96      3.986   -138.600   2.2658    
 97    -10.664   -138.600  0.98543    
 98    -25.314   -138.600  0.96615    
 99    -39.964   -138.600  0.70805    
 100    -54.614   -138.600 -0.27541    
 101    -69.264   -138.600  -1.2033    
 102    -83.914   -138.600  -1.6886    
 103    -83.914   -123.950  -1.3514    
 104    -69.264   -123.950  -1.2847    
 105    -54.614   -123.950 -0.27528    
 106    -39.964   -123.950  0.71923    
 107    -25.314   -123.950   1.0190    
 108    -10.664   -123.950  0.98114    
 109      3.986   -123.950   2.2946    
 110     18.636   -123.950   5.2854    
 111     33.286   -123.950   7.8550    
 112     47.936   -123.950   9.1855    
 113     62.586   -123.950   9.1322    
 114     77.236   -123.950   7.5754    
 115     91.886   -123.950   7.8871    
 116    106.536   -123.950   8.4359    
 117    121.186   -123.950   6.6152    
 118    135.836   -123.950   4.7422    
 119    150.486   -123.950   4.6869    
 120    165.136   -123.950   4.9383    
 121    179.786   -123.950   3.7927    
 122    194.436   -123.950   1.9994    
 123    209.086   -123.950   2.3836    
 124    223.736   -123.950  0.44801    
 125    238.386   -123.950  0.31455    
 126    238.386   -109.300 -0.28693    
 127    223.736   -109.300 -0.19964    
 128    209.086   -109.300   1.5867    
 129    194.436   -109.300   2.6935    
 130    179.786   -109.300   3.5894    
 131    165.136   -109.300   4.1465    
 132    150.486   -109.300   4.6189    
 133    135.836   -109.300   4.4464    
 134    121.186   -109.300   6.6384    
 135    106.536   -109.300   8.6162    
 136     91.886   -109.300   9.6420    
 137     77.236   -109.300   11.627    
 138     62.586   -109.300   14.409    
 139     47.936   -109.300   14.226    
 140     33.286   -109.300   11.745    
 141     18.636   -109.300   8.0728    
 142      3.986   -109.300   2.5526    
 143    -10.664   -109.300   1.3732    
 144    -25.314   -109.300   1.4322    
 145    -39.964   -109.300   1.1406    
 146    -54.614   -109.300  0.17858    
 147    -69.264   -109.300  0.45555    
 148    -83.914   -109.300  0.55887    
 149    -83.914    -94.650 -0.27843    
 150    -69.264    -94.650 -0.35993    
 151    -54.614    -94.650 -0.26044    
 152    -39.964    -94.650   1.6929    
 153    -25.314    -94.650   1.3222    
 154    -10.664    -94.650   3.1259    
 155      3.986    -94.650   2.7663    
 156     18.636    -94.650   6.1064    
 157     33.286    -94.650   7.1710    
 158     47.936    -94.650   9.9823    
 159     62.586    -94.650   10.865    
 160     77.236    -94.650   7.8544    
 161     91.886    -94.650   5.4758    
 162    106.536    -94.650   5.0882    
 163    121.186    -94.650   4.3847    
 164    135.836    -94.650   4.8691    
 165    150.486    -94.650   4.5743    
 166    165.136    -94.650   3.8355    
 167    179.786    -94.650   2.6598    
 168    194.436    -94.650   1.4423    
 169    209.086    -94.650   1.1553    
 170    223.736    -94.650  0.33902    
 171    238.386    -94.650  0.30827    
 172    238.386    -80.000 -0.32745    
 173    223.736    -80.000 -0.24622    
 174    209.086    -80.000   1.2709    
 175    194.436    -80.000   1.9125    
 176    179.786    -80.000   3.0482    
 177    165.136    -80.000   4.2244    
 178    150.486    -80.000   5.7031    
 179    135.836    -80.000   4.6822    
 180    121.186    -80.000   3.3444    
 181    106.536    -80.000   2.5690    
 182     91.886    -80.000   2.6431    
 183     77.236    -80.000   2.7898    
 184     62.586    -80.000   3.5220    
 185     47.936    -80.000   3.0577    
 186     33.286    -80.000   2.8665    
 187     18.636    -80.000 -0.18485    
 188      3.986    -80.000   2.5639    
 189    -10.664    -80.000   2.7221    
 190    -25.314    -80.000   1.5027    
 191    -39.964    -80.000   1.7881    
 192    -54.614    -80.000  0.19445    
 193    -69.264    -80.000  -1.1162    
 194    -83.914    -80.000  -1.0801    
 195    -83.914    -65.350 -6.03292E-02
 196    -69.264    -65.350 -0.10051    
 197    -54.614    -65.350 -1.46925E-02
 198    -39.964    -65.350   2.4130    
 199    -25.314    -65.350   1.4128    
 200    -10.664    -65.350   3.1714    
 201      3.986    -65.350   3.1086    
 202     18.636    -65.350 -0.90606    
 203     33.286    -65.350   2.3422    
 204     47.936    -65.350  0.76724    
 205     62.586    -65.350  0.91328    
 206     77.236    -65.350   1.2160    
 207     91.886    -65.350  0.64515    
 208    106.536    -65.350   1.3592    
 209    121.186    -65.350   2.9410    
 210    135.836    -65.350   4.6150    
 211    150.486    -65.350   4.5295    
 212    165.136    -65.350   2.1234    
 213    179.786    -65.350   2.2851    
 214    194.436    -65.350   1.9362    
 215    209.086    -65.350   1.3485    
 216    223.736    -65.350  0.25994    
 217    238.386    -65.350  0.21842    
 218    238.386    -50.700  0.87595    
 219    223.736    -50.700  0.88027    
 220    209.086    -50.700   1.4266    
 221    194.436    -50.700  0.59562    
 222    179.786    -50.700   1.8731    
 223    165.136    -50.700   2.0064    
 224    150.486    -50.700   3.3439    
 225    135.836    -50.700   2.8483    
 226    121.186    -50.700   1.9589    
 227    106.536    -50.700   1.9539    
 228     91.886    -50.700   1.1079    
 229     77.236    -50.700  0.62566    
 230     62.586    -50.700   1.0570    
 231     47.936    -50.700   1.0036    
