!
! 05-APR-2020 19:44:37
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -1.2 -0.165 /OUTPUT serpens_hcn10_blue1.txt
!
 1     33.286   -211.850 -0.13079    
 2     47.936   -211.850  0.32210    
 3     62.586   -211.850  0.16588    
 4     77.236   -211.850  0.16210    
 5     91.886   -211.850  9.10461E-03
 6    106.536   -211.850  0.21079    
 7    121.186   -211.850  0.14282    
 8    135.836   -211.850  0.44479    
 9    150.486   -211.850  0.55112    
 10    165.136   -211.850  0.82594    
 11    179.786   -211.850   1.0605    
 12    194.436   -211.850   1.2231    
 13    209.086   -211.850  0.81787    
 14    223.736   -211.850  0.79962    
 15    238.386   -211.850  0.79581    
 16    238.386   -197.200  0.74626    
 17    223.736   -197.200  0.73124    
 18    209.086   -197.200  0.80160    
 19    194.436   -197.200   1.2239    
 20    179.786   -197.200   1.0808    
 21    165.136   -197.200  0.82723    
 22    150.486   -197.200  0.54710    
 23    135.836   -197.200  0.42689    
 24    121.186   -197.200  0.15694    
 25    106.536   -197.200  0.21245    
 26     91.886   -197.200  1.33389E-02
 27     77.236   -197.200  0.15354    
 28     62.586   -197.200  0.16487    
 29     47.936   -197.200  0.31440    
 30     33.286   -197.200 -0.20094    
 31     18.636   -197.200 -0.40255    
 32     18.636   -182.550 -2.46443E-02
 33     33.286   -182.550  3.81013E-02
 34     47.936   -182.550  4.24563E-02
 35     62.586   -182.550  6.46640E-02
 36     77.236   -182.550  0.17297    
 37     91.886   -182.550  0.21730    
 38    106.536   -182.550  0.36536    
 39    121.186   -182.550  0.43206    
 40    135.836   -182.550  0.57239    
 41    150.486   -182.550  0.69961    
 42    165.136   -182.550   1.0085    
 43    179.786   -182.550   1.1073    
 44    194.436   -182.550  0.90234    
 45    209.086   -182.550  0.68660    
 46    223.736   -182.550  0.69396    
 47    238.386   -182.550  0.69542    
 48    238.386   -167.900  0.47461    
 49    223.736   -167.900  0.47949    
 50    209.086   -167.900  0.56946    
 51    194.436   -167.900  0.73038    
 52    179.786   -167.900  0.82141    
 53    165.136   -167.900  0.98023    
 54    150.486   -167.900   1.0340    
 55    135.836   -167.900  0.79402    
 56    121.186   -167.900  0.48194    
 57    106.536   -167.900  0.69134    
 58     91.886   -167.900  0.14101    
 59     77.236   -167.900 -8.75603E-03
 60     62.586   -167.900  0.11517    
 61     47.936   -167.900  1.08183E-02
 62     33.286   -167.900  0.15773    
 63     18.636   -167.900  0.16343    
 64     18.636   -153.250  0.30022    
 65     33.286   -153.250  0.36851    
 66     47.936   -153.250  2.67533E-02
