!
! 05-APR-2020 19:45:49
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -3.3 -0.165 /OUTPUT serpens_hcn10_blue1_smm4.txt
!
 1     33.286   -211.850 -2.56634E-02
 2     47.936   -211.850  0.25490    
 3     62.586   -211.850  0.36523    
 4     77.236   -211.850  0.24488    
 5     91.886   -211.850  9.91022E-02
 6    106.536   -211.850  0.23898    
 7    121.186   -211.850  0.12542    
 8    135.836   -211.850  0.76044    
 9    150.486   -211.850  0.74564    
 10    165.136   -211.850   1.0052    
 11    179.786   -211.850   1.5218    
 12    194.436   -211.850   1.5287    
 13    209.086   -211.850  0.82149    
 14    223.736   -211.850  0.86660    
 15    238.386   -211.850  0.60707    
 16    238.386   -197.200  0.61048    
 17    223.736   -197.200  0.62622    
 18    209.086   -197.200  0.80770    
 19    194.436   -197.200   1.5268    
 20    179.786   -197.200   1.5094    
 21    165.136   -197.200   1.0055    
 22    150.486   -197.200  0.74688    
 23    135.836   -197.200  0.74567    
 24    121.186   -197.200  0.16426    
 25    106.536   -197.200  0.24081    
 26     91.886   -197.200  0.10112    
 27     77.236   -197.200  0.23879    
 28     62.586   -197.200  0.36264    
 29     47.936   -197.200  0.25805    
 30     33.286   -197.200 -0.14145    
 31     18.636   -197.200 -0.45900    
 32     18.636   -182.550  9.13777E-03
 33     33.286   -182.550  7.57523E-02
 34     47.936   -182.550  0.10930    
 35     62.586   -182.550  5.15316E-02
 36     77.236   -182.550  0.19876    
 37     91.886   -182.550  0.35542    
 38    106.536   -182.550  0.31489    
 39    121.186   -182.550  0.68410    
 40    135.836   -182.550  0.86275    
 41    150.486   -182.550  0.94207    
 42    165.136   -182.550   1.1798    
 43    179.786   -182.550   1.1049    
 44    194.436   -182.550   1.0121    
 45    209.086   -182.550  0.79074    
 46    223.736   -182.550  0.81479    
 47    238.386   -182.550  0.82590    
 48    238.386   -167.900  0.60490    
 49    223.736   -167.900  0.59536    
 50    209.086   -167.900  0.64492    
 51    194.436   -167.900  0.85210    
 52    179.786   -167.900  0.84180    
 53    165.136   -167.900   1.1516    
 54    150.486   -167.900   1.3099    
 55    135.836   -167.900   1.0388    
 56    121.186   -167.900  0.63277    
 57    106.536   -167.900  0.71707    
 58     91.886   -167.900  8.49929E-02
 59     77.236   -167.900  2.94718E-02
 60     62.586   -167.900  0.17603    
 61     47.936   -167.900  0.13708    
 62     33.286   -167.900  0.21540    
 63     18.636   -167.900  0.21966    
 64     18.636   -153.250  0.27973    
 65     33.286   -153.250  0.34552    
 66     47.936   -153.250  4.35276E-03
 67     62.586   -153.250  0.12090    
 68     77.236   -153.250  9.48617E-02
 69     91.886   -153.250  0.39762    
 70    106.536   -153.250  0.56043    
 71    121.186   -153.250  0.83200    
 72    135.836   -153.250   1.0351    
 73    150.486   -153.250   1.6428    
 74    165.136   -153.250   1.8746    
 75    179.786   -153.250   1.1318    
 76    194.436   -153.250  0.81107    
 77    209.086   -153.250  0.53439    
 78    223.736   -153.250  0.89512    
 79    238.386   -153.250  0.91735    
 80    238.386   -138.600  0.61854    
 81    223.736   -138.600  0.63436    
 82    209.086   -138.600  0.83332    
 83    194.436   -138.600  0.72531    
 84    179.786   -138.600   1.5270    
 85    165.136   -138.600   1.7529    
 86    150.486   -138.600   1.8728    
 87    135.836   -138.600   1.2657    
 88    121.186   -138.600   1.3201    
 89    106.536   -138.600  0.89741    
 90     91.886   -138.600  0.68614    
 91     77.236   -138.600  0.34397    
 92     62.586   -138.600  0.11756    
 93     47.936   -138.600  0.34653    
 94     33.286   -138.600  0.55960    
 95     18.636   -138.600  0.66668    
 96      3.986   -138.600  0.39894    
 97    -10.664   -138.600  0.19964    
 98    -25.314   -138.600  0.23148    
 99    -39.964   -138.600  0.38286    
 100    -54.614   -138.600 -8.18686E-02
 101    -69.264   -138.600  0.28580    
 102    -83.914   -138.600  0.29152    
 103    -83.914   -123.950  0.26612    
 104    -69.264   -123.950  0.24710    
 105    -54.614   -123.950 -8.46737E-02
 106    -39.964   -123.950  0.38256    
 107    -25.314   -123.950  0.25596    
 108    -10.664   -123.950  0.19972    
 109      3.986   -123.950  0.41549    
 110     18.636   -123.950   1.0682    
 111     33.286   -123.950   1.2567    
 112     47.936   -123.950   1.4310    
 113     62.586   -123.950   1.3419    
 114     77.236   -123.950   1.1841    
 115     91.886   -123.950   1.2555    
 116    106.536   -123.950   1.8119    
 117    121.186   -123.950   1.6934    
 118    135.836   -123.950   1.3728    
 119    150.486   -123.950   1.6613    
 120    165.136   -123.950   1.5555    
 121    179.786   -123.950   1.1294    
 122    194.436   -123.950  0.65791    
 123    209.086   -123.950  0.71129    
 124    223.736   -123.950  0.47823    
 125    238.386   -123.950  0.47196    
 126    238.386   -109.300  0.13399    
 127    223.736   -109.300  0.13445    
 128    209.086   -109.300  0.28610    
 129    194.436   -109.300  0.61345    
 130    179.786   -109.300  0.86264    
 131    165.136   -109.300  0.99663    
 132    150.486   -109.300   1.5391    
 133    135.836   -109.300   1.3525    
 134    121.186   -109.300   1.6723    
 135    106.536   -109.300   1.7441    
 136     91.886   -109.300   1.5260    
 137     77.236   -109.300   1.6478    
 138     62.586   -109.300   2.0234    
 139     47.936   -109.300   2.2113    
 140     33.286   -109.300   1.9365    
 141     18.636   -109.300   1.3055    
 142      3.986   -109.300  0.36422    
 143    -10.664   -109.300  0.27212    
 144    -25.314   -109.300  0.44229    
 145    -39.964   -109.300  0.22067    
 146    -54.614   -109.300  1.39663E-02
 147    -69.264   -109.300  0.30906    
 148    -83.914   -109.300  0.32487    
 149    -83.914    -94.650  9.57261E-02
 150    -69.264    -94.650  7.49231E-02
 151    -54.614    -94.650 -1.71349E-02
 152    -39.964    -94.650  0.34925    
 153    -25.314    -94.650  0.37726    
 154    -10.664    -94.650  0.74135    
 155      3.986    -94.650  0.55483    
 156     18.636    -94.650   1.0708    
 157     33.286    -94.650   1.1712    
 158     47.936    -94.650   1.5146    
 159     62.586    -94.650   1.6493    
 160     77.236    -94.650   1.2282    
 161     91.886    -94.650  0.87990    
 162    106.536    -94.650   1.1152    
 163    121.186    -94.650   1.1931    
 164    135.836    -94.650   1.3480    
 165    150.486    -94.650   1.2752    
 166    165.136    -94.650  0.46497    
 167    179.786    -94.650  0.43178    
 168    194.436    -94.650  8.81518E-02
 169    209.086    -94.650  0.21415    
 170    223.736    -94.650  0.26716    
 171    238.386    -94.650  0.28844    
 172    238.386    -80.000 -0.21850    
 173    223.736    -80.000 -0.19840    
 174    209.086    -80.000 -1.85947E-02
 175    194.436    -80.000  0.30379    
 176    179.786    -80.000  0.60146    
 177    165.136    -80.000  0.69941    
 178    150.486    -80.000   1.4594    
 179    135.836    -80.000   1.5769    
