!
! 05-APR-2020 19:44:29
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 9.2 11.74 /OUTPUT serpens_hcn10_blue3.txt
!
 1     33.286   -211.850  0.45483    
 2     47.936   -211.850  0.43644    
 3     62.586   -211.850  0.52452    
 4     77.236   -211.850  0.48276    
 5     91.886   -211.850  0.64337    
 6    106.536   -211.850   1.3462    
 7    121.186   -211.850   2.0076    
 8    135.836   -211.850   2.1867    
 9    150.486   -211.850   1.5597    
 10    165.136   -211.850   1.7199    
 11    179.786   -211.850   1.8104    
 12    194.436   -211.850   2.1157    
 13    209.086   -211.850   1.7082    
 14    223.736   -211.850   1.5694    
 15    238.386   -211.850   1.0106    
 16    238.386   -197.200  0.98034    
 17    223.736   -197.200   1.0369    
 18    209.086   -197.200   1.6859    
 19    194.436   -197.200   2.1113    
 20    179.786   -197.200   1.8103    
 21    165.136   -197.200   1.7209    
 22    150.486   -197.200   1.5840    
 23    135.836   -197.200   2.1908    
 24    121.186   -197.200   2.0465    
 25    106.536   -197.200   1.3548    
 26     91.886   -197.200  0.64965    
 27     77.236   -197.200  0.48572    
 28     62.586   -197.200  0.52360    
 29     47.936   -197.200  0.44356    
 30     33.286   -197.200  0.31817    
 31     18.636   -197.200 -1.86667E-02
 32     18.636   -182.550  0.10644    
 33     33.286   -182.550  9.64116E-02
 34     47.936   -182.550  0.37082    
 35     62.586   -182.550  0.49921    
 36     77.236   -182.550  0.67930    
 37     91.886   -182.550  0.94352    
 38    106.536   -182.550   1.7825    
 39    121.186   -182.550   2.8080    
 40    135.836   -182.550   2.8930    
 41    150.486   -182.550   2.1942    
 42    165.136   -182.550   1.7794    
 43    179.786   -182.550   1.6190    
 44    194.436   -182.550   1.6265    
 45    209.086   -182.550   1.3186    
 46    223.736   -182.550  0.66314    
 47    238.386   -182.550  0.63998    
 48    238.386   -167.900  0.58631    
 49    223.736   -167.900  0.60279    
 50    209.086   -167.900   1.0136    
 51    194.436   -167.900   1.2227    
 52    179.786   -167.900   1.6962    
 53    165.136   -167.900   2.2011    
 54    150.486   -167.900   2.7729    
 55    135.836   -167.900   3.1443    
 56    121.186   -167.900   2.8678    
 57    106.536   -167.900   2.2317    
 58     91.886   -167.900   1.3551    
 59     77.236   -167.900  0.77761    
 60     62.586   -167.900  0.48816    
 61     47.936   -167.900  0.34825    
 62     33.286   -167.900  0.19134    
 63     18.636   -167.900  0.18306    
 64     18.636   -153.250  0.35579    
 65     33.286   -153.250  0.39785    
 66     47.936   -153.250  0.49102    
 67     62.586   -153.250  0.65273    
 68     77.236   -153.250  0.86667    
 69     91.886   -153.250   1.4180    
 70    106.536   -153.250   2.5388    
 71    121.186   -153.250   3.0829    
 72    135.836   -153.250   2.9269    
 73    150.486   -153.250   2.9683    
 74    165.136   -153.250   2.7450    
 75    179.786   -153.250   1.9624    
 76    194.436   -153.250   1.3012    
 77    209.086   -153.250   1.0815    
 78    223.736   -153.250  0.85533    
 79    238.386   -153.250  0.84093    
 80    238.386   -138.600  0.90318    
 81    223.736   -138.600  0.91384    
 82    209.086   -138.600   1.1589    
 83    194.436   -138.600   1.6634    
 84    179.786   -138.600   2.2475    
 85    165.136   -138.600   2.8077    
 86    150.486   -138.600   2.9872    
 87    135.836   -138.600   3.1815    
 88    121.186   -138.600   3.8399    
 89    106.536   -138.600   3.5013    
 90     91.886   -138.600   2.1942    
 91     77.236   -138.600   1.5634    
 92     62.586   -138.600   1.4658    
 93     47.936   -138.600   1.1970    
 94     33.286   -138.600   1.1414    
 95     18.636   -138.600   1.2546    
 96      3.986   -138.600   1.2310    
 97    -10.664   -138.600  0.86060    
 98    -25.314   -138.600  0.79642    
 99    -39.964   -138.600  0.49717    
 100    -54.614   -138.600  0.36498    
 101    -69.264   -138.600 -0.28510    
 102    -83.914   -138.600 -0.74738    
 103    -83.914   -123.950 -0.50276    
 104    -69.264   -123.950 -0.44514    
 105    -54.614   -123.950  0.36157    
 106    -39.964   -123.950  0.49681    
 107    -25.314   -123.950  0.79096    
 108    -10.664   -123.950  0.86128    
 109      3.986   -123.950   1.2317    
 110     18.636   -123.950   1.9054    
 111     33.286   -123.950   2.7424    
 112     47.936   -123.950   3.0218    
 113     62.586   -123.950   3.0431    
 114     77.236   -123.950   2.8454    
 115     91.886   -123.950   3.3461    
 116    106.536   -123.950   4.5230    
 117    121.186   -123.950   4.3263    
 118    135.836   -123.950   3.2380    
 119    150.486   -123.950   2.5790    
 120    165.136   -123.950   2.5154    
