!
! 05-APR-2020 19:45:26
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 9.4 11.74 /OUTPUT serpens_hcn10_blue3_smm4.txt
!
 1     33.286   -211.850  0.35213    
 2     47.936   -211.850  0.43423    
 3     62.586   -211.850  0.51992    
 4     77.236   -211.850  0.48705    
 5     91.886   -211.850  0.67559    
 6    106.536   -211.850   1.2589    
 7    121.186   -211.850   1.8881    
 8    135.836   -211.850   2.0664    
 9    150.486   -211.850   1.4945    
 10    165.136   -211.850   1.6654    
 11    179.786   -211.850   1.7352    
 12    194.436   -211.850   2.0116    
 13    209.086   -211.850   1.6468    
 14    223.736   -211.850   1.5389    
 15    238.386   -211.850   1.0601    
 16    238.386   -197.200   1.0054    
 17    223.736   -197.200   1.0572    
 18    209.086   -197.200   1.6285    
 19    194.436   -197.200   2.0083    
 20    179.786   -197.200   1.7376    
 21    165.136   -197.200   1.6667    
 22    150.486   -197.200   1.5162    
 23    135.836   -197.200   2.0726    
 24    121.186   -197.200   1.9193    
 25    106.536   -197.200   1.2671    
 26     91.886   -197.200  0.68020    
 27     77.236   -197.200  0.48391    
 28     62.586   -197.200  0.51877    
 29     47.936   -197.200  0.43723    
 30     33.286   -197.200  0.26302    
 31     18.636   -197.200  4.26792E-02
 32     18.636   -182.550  8.60292E-02
 33     33.286   -182.550  8.54220E-02
 34     47.936   -182.550  0.35462    
 35     62.586   -182.550  0.46508    
 36     77.236   -182.550  0.66252    
 37     91.886   -182.550  0.94678    
 38    106.536   -182.550   1.7355    
 39    121.186   -182.550   2.6525    
 40    135.836   -182.550   2.6771    
 41    150.486   -182.550   2.0942    
 42    165.136   -182.550   1.7225    
 43    179.786   -182.550   1.5811    
 44    194.436   -182.550   1.6221    
 45    209.086   -182.550   1.3063    
 46    223.736   -182.550  0.67859    
 47    238.386   -182.550  0.65572    
 48    238.386   -167.900  0.60050    
 49    223.736   -167.900  0.61286    
 50    209.086   -167.900   1.0043    
 51    194.436   -167.900   1.2221    
 52    179.786   -167.900   1.6649    
 53    165.136   -167.900   2.1609    
 54    150.486   -167.900   2.6567    
 55    135.836   -167.900   2.9457    
 56    121.186   -167.900   2.7101    
 57    106.536   -167.900   2.1106    
 58     91.886   -167.900   1.2991    
 59     77.236   -167.900  0.73858    
 60     62.586   -167.900  0.47763    
 61     47.936   -167.900  0.30771    
 62     33.286   -167.900  0.17085    
 63     18.636   -167.900  0.16325    
 64     18.636   -153.250  0.34370    
 65     33.286   -153.250  0.37624    
 66     47.936   -153.250  0.45279    
 67     62.586   -153.250  0.60598    
 68     77.236   -153.250  0.83862    
 69     91.886   -153.250   1.3521    
 70    106.536   -153.250   2.4161    
 71    121.186   -153.250   2.9112    
 72    135.836   -153.250   2.7694    
 73    150.486   -153.250   2.8781    
 74    165.136   -153.250   2.6928    
 75    179.786   -153.250   1.9682    
 76    194.436   -153.250   1.2957    
 77    209.086   -153.250   1.0399    
 78    223.736   -153.250  0.85012    
 79    238.386   -153.250  0.83937    
 80    238.386   -138.600  0.89533    
 81    223.736   -138.600  0.90766    
 82    209.086   -138.600   1.1649    
 83    194.436   -138.600   1.6528    
 84    179.786   -138.600   2.2230    
 85    165.136   -138.600   2.7714    
 86    150.486   -138.600   2.9187    
 87    135.836   -138.600   3.0323    
 88    121.186   -138.600   3.6185    
 89    106.536   -138.600   3.3494    
 90     91.886   -138.600   2.1263    
 91     77.236   -138.600   1.4982    
 92     62.586   -138.600   1.3998    
 93     47.936   -138.600   1.1041    
 94     33.286   -138.600   1.0252    
 95     18.636   -138.600   1.1342    
 96      3.986   -138.600   1.1547    
 97    -10.664   -138.600  0.84171    
 98    -25.314   -138.600  0.72109    
 99    -39.964   -138.600  0.49955    
 100    -54.614   -138.600  0.36027    
 101    -69.264   -138.600 -0.32131    
 102    -83.914   -138.600 -0.76445    
 103    -83.914   -123.950 -0.54391    
 104    -69.264   -123.950 -0.48754    
 105    -54.614   -123.950  0.35518    
 106    -39.964   -123.950  0.49872    
 107    -25.314   -123.950  0.72326    
 108    -10.664   -123.950  0.84260    
 109      3.986   -123.950   1.1525    
 110     18.636   -123.950   1.7949    
 111     33.286   -123.950   2.6378    
 112     47.936   -123.950   2.8690    
 113     62.586   -123.950   2.9253    
 114     77.236   -123.950   2.7164    
 115     91.886   -123.950   3.2656    
 116    106.536   -123.950   4.3670    
 117    121.186   -123.950   4.1415    
 118    135.836   -123.950   3.0968    
 119    150.486   -123.950   2.5215    
 120    165.136   -123.950   2.4834    
 121    179.786   -123.950   1.9753    
