!
! 25-JUL-2019 14:38:43
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 2.8 6.1 /OUTPUT serpens_hcn10_blue_int.txt
!
 1     33.286   -211.850 -0.23617    
 2     47.936   -211.850  0.25646    
 3     62.586   -211.850  0.25523    
 4     77.236   -211.850  0.62614    
 5     91.886   -211.850  0.57039    
 6    106.536   -211.850  0.93070    
 7    121.186   -211.850   1.3162    
 8    135.836   -211.850   1.3736    
 9    150.486   -211.850   1.3233    
 10    165.136   -211.850   1.2316    
 11    179.786   -211.850   1.2435    
 12    194.436   -211.850   1.4725    
 13    209.086   -211.850  0.60927    
 14    223.736   -211.850  0.57071    
 15    238.386   -211.850  0.28774    
 16    238.386   -197.200  0.34962    
 17    223.736   -197.200  0.34954    
 18    209.086   -197.200  0.58353    
 19    194.436   -197.200   1.4679    
 20    179.786   -197.200   1.2305    
 21    165.136   -197.200   1.2307    
 22    150.486   -197.200   1.3035    
 23    135.836   -197.200   1.4178    
 24    121.186   -197.200   1.3772    
 25    106.536   -197.200  0.93417    
 26     91.886   -197.200  0.57136    
 27     77.236   -197.200  0.62020    
 28     62.586   -197.200  0.25563    
 29     47.936   -197.200  0.29609    
 30     33.286   -197.200 -0.11403    
 31     18.636   -197.200  0.14692    
 32     18.636   -182.550  0.11337    
 33     33.286   -182.550  0.11742    
 34     47.936   -182.550  0.23671    
 35     62.586   -182.550  0.29198    
 36     77.236   -182.550  0.39733    
 37     91.886   -182.550  0.72785    
 38    106.536   -182.550   1.2369    
 39    121.186   -182.550   1.8844    
 40    135.836   -182.550   1.9085    
 41    150.486   -182.550   1.4220    
 42    165.136   -182.550   1.0800    
 43    179.786   -182.550  0.75446    
 44    194.436   -182.550  0.78031    
 45    209.086   -182.550  0.62498    
 46    223.736   -182.550  0.20316    
 47    238.386   -182.550  0.18024    
 48    238.386   -167.900  2.94778E-02
 49    223.736   -167.900  7.83814E-02
 50    209.086   -167.900  0.68954    
 51    194.436   -167.900  0.73169    
 52    179.786   -167.900  0.96619    
 53    165.136   -167.900   1.6470    
 54    150.486   -167.900   2.0136    
 55    135.836   -167.900   2.1072    
 56    121.186   -167.900   1.9593    
 57    106.536   -167.900   1.4222    
 58     91.886   -167.900  0.84211    
