!
! 18-DEC-2018 16:23:05
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 10.5 31 /OUTPUT serpens_hcn10_red.txt
!
 1     33.286   -211.850 -0.45433    
 2     47.936   -211.850  0.51122    
 3     62.586   -211.850  0.78018    
 4     77.236   -211.850  0.75218    
 5     91.886   -211.850   1.1547    
 6    106.536   -211.850   2.7474    
 7    121.186   -211.850   4.5569    
 8    135.836   -211.850   3.9963    
 9    150.486   -211.850   3.3285    
 10    165.136   -211.850   3.1755    
 11    179.786   -211.850   2.4652    
 12    194.436   -211.850   3.7109    
 13    209.086   -211.850   1.9525    
 14    223.736   -211.850   1.9679    
 15    238.386   -211.850   1.1273    
 16    238.386   -197.200   1.1069    
 17    223.736   -197.200   1.2120    
 18    209.086   -197.200   1.9430    
 19    194.436   -197.200   3.6919    
 20    179.786   -197.200   2.5379    
 21    165.136   -197.200   3.1756    
 22    150.486   -197.200   3.3823    
 23    135.836   -197.200   4.0642    
 24    121.186   -197.200   4.6495    
 25    106.536   -197.200   2.7921    
 26     91.886   -197.200   1.1797    
 27     77.236   -197.200  0.84837    
 28     62.586   -197.200  0.78027    
 29     47.936   -197.200  0.52903    
 30     33.286   -197.200 -0.64434    
 31     18.636   -197.200  -1.1923    
 32     18.636   -182.550 -0.25455    
 33     33.286   -182.550 -0.15692    
 34     47.936   -182.550  0.53318    
 35     62.586   -182.550  0.74660    
 36     77.236   -182.550   1.5260    
 37     91.886   -182.550   2.2058    
 38    106.536   -182.550   4.3505    
 39    121.186   -182.550   7.0249    
 40    135.836   -182.550   5.5702    
 41    150.486   -182.550   3.8708    
 42    165.136   -182.550   2.5817    
 43    179.786   -182.550   2.3610    
 44    194.436   -182.550   2.0049    
 45    209.086   -182.550   1.6070    
 46    223.736   -182.550  0.79332    
 47    238.386   -182.550  0.81146    
 48    238.386   -167.900  0.68556    
 49    223.736   -167.900  0.72804    
 50    209.086   -167.900   1.6386    
 51    194.436   -167.900   1.5887    
 52    179.786   -167.900   2.3109    
 53    165.136   -167.900   3.0325    
 54    150.486   -167.900   4.0892    
 55    135.836   -167.900   5.3548    
 56    121.186   -167.900   6.0219    
 57    106.536   -167.900   4.5312    
 58     91.886   -167.900   2.1682    
 59     77.236   -167.900   1.6464    
 60     62.586   -167.900   1.1744    
 61     47.936   -167.900  0.37823    
 62     33.286   -167.900  0.61281    
 63     18.636   -167.900  0.62415    
 64     18.636   -153.250  0.20245    
 65     33.286   -153.250  0.50462    
 66     47.936   -153.250  0.91130    
 67     62.586   -153.250   1.5245    
 68     77.236   -153.250   1.7896    
 69     91.886   -153.250   2.5492    
 70    106.536   -153.250   5.5857    
 71    121.186   -153.250   5.5982    
 72    135.836   -153.250   3.9898    
 73    150.486   -153.250   3.6047    
 74    165.136   -153.250   2.9456    
 75    179.786   -153.250   2.7494    
 76    194.436   -153.250   1.3251    
 77    209.086   -153.250   1.1856    
 78    223.736   -153.250  0.94956    
 79    238.386   -153.250  0.89728    
 80    238.386   -138.600   1.0072    
 81    223.736   -138.600   1.0190    
 82    209.086   -138.600   1.4966    
 83    194.436   -138.600   2.1169    
 84    179.786   -138.600   3.2038    
 85    165.136   -138.600   2.9773    
 86    150.486   -138.600   3.3761    
 87    135.836   -138.600   3.9678    
 88    121.186   -138.600   6.4519    
 89    106.536   -138.600   7.6370    
 90     91.886   -138.600   4.0936    
 91     77.236   -138.600   2.8859    
 92     62.586   -138.600   2.4706    
 93     47.936   -138.600   2.2024    
 94     33.286   -138.600   1.7119    
 95     18.636   -138.600   1.5961    
 96      3.986   -138.600   2.8789    
 97    -10.664   -138.600   1.9132    
 98    -25.314   -138.600   2.0149    
 99    -39.964   -138.600   1.6050    
 100    -54.614   -138.600   1.3952    
 101    -69.264   -138.600  0.81816    
 102    -83.914   -138.600  0.23042    
 103    -83.914   -123.950  0.29442    
 104    -69.264   -123.950  0.34490    
 105    -54.614   -123.950   1.3650    
 106    -39.964   -123.950   1.6029    
 107    -25.314   -123.950   2.0736    
 108    -10.664   -123.950   1.9077    
 109      3.986   -123.950   2.8137    
 110     18.636   -123.950   2.3040    
 111     33.286   -123.950   2.1830    
 112     47.936   -123.950   2.9277    
 113     62.586   -123.950   3.2247    
 114     77.236   -123.950   3.4500    
 115     91.886   -123.950   4.5185    
 116    106.536   -123.950   6.6059    
 117    121.186   -123.950   6.2772    
 118    135.836   -123.950   4.5397    
 119    150.486   -123.950   3.2324    
 120    165.136   -123.950   3.0976    
 121    179.786   -123.950   2.0872    
 122    194.436   -123.950   1.6466    
 123    209.086   -123.950  0.98047    
 124    223.736   -123.950  0.24683    
 125    238.386   -123.950  0.18234    
 126    238.386   -109.300  0.19093    
 127    223.736   -109.300  0.22814    
 128    209.086   -109.300   1.0719    
 129    194.436   -109.300   1.6297    
 130    179.786   -109.300   2.9867    
 131    165.136   -109.300   2.8585    
 132    150.486   -109.300   3.3272    
 133    135.836   -109.300   3.7257    
 134    121.186   -109.300   4.9587    
 135    106.536   -109.300   6.0036    
 136     91.886   -109.300   4.6231    
 137     77.236   -109.300   3.8132    
 138     62.586   -109.300   4.5539    
 139     47.936   -109.300   3.6358    
 140     33.286   -109.300   2.7229    
 141     18.636   -109.300   2.2112    
 142      3.986   -109.300   2.1096    
 143    -10.664   -109.300   1.6378    
 144    -25.314   -109.300   2.1260    
 145    -39.964   -109.300   1.4638    
 146    -54.614   -109.300   1.1787    
 147    -69.264   -109.300  0.45770    
 148    -83.914   -109.300  0.40440    
 149    -83.914    -94.650  0.12523    
 150    -69.264    -94.650  0.20346    
 151    -54.614    -94.650   1.2074    
 152    -39.964    -94.650   2.0684    
 153    -25.314    -94.650   1.8620    
