!
! 05-APR-2020 19:44:50
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 1.435 4.5 /OUTPUT serpens_hcn10_red1.txt
!
 1     33.286   -211.850 -0.49011    
 2     47.936   -211.850  1.43863E-02
 3     62.586   -211.850 -4.06374E-02
 4     77.236   -211.850  0.22882    
 5     91.886   -211.850  8.36200E-02
 6    106.536   -211.850  0.36646    
 7    121.186   -211.850  0.56420    
 8    135.836   -211.850  0.52114    
 9    150.486   -211.850  0.49652    
 10    165.136   -211.850  0.76777    
 11    179.786   -211.850  0.72365    
 12    194.436   -211.850  0.89191    
 13    209.086   -211.850  0.19365    
 14    223.736   -211.850 -7.86634E-02
 15    238.386   -211.850 -9.92246E-02
 16    238.386   -197.200 -5.32031E-02
 17    223.736   -197.200 -6.82802E-02
 18    209.086   -197.200  0.17437    
 19    194.436   -197.200  0.88489    
 20    179.786   -197.200  0.69942    
 21    165.136   -197.200  0.76593    
 22    150.486   -197.200  0.49009    
 23    135.836   -197.200  0.53599    
 24    121.186   -197.200  0.59920    
 25    106.536   -197.200  0.36359    
 26     91.886   -197.200  8.07013E-02
 27     77.236   -197.200  0.20793    
 28     62.586   -197.200 -4.07698E-02
 29     47.936   -197.200  3.45384E-02
 30     33.286   -197.200 -0.34197    
 31     18.636   -197.200 -1.07850E-02
 32     18.636   -182.550 -0.17863    
 33     33.286   -182.550 -0.14331    
 34     47.936   -182.550  0.11279    
 35     62.586   -182.550 -0.12909    
 36     77.236   -182.550  9.52115E-03
 37     91.886   -182.550  0.30554    
 38    106.536   -182.550  0.43811    
 39    121.186   -182.550  0.83256    
 40    135.836   -182.550  0.84027    
 41    150.486   -182.550  0.48161    
 42    165.136   -182.550  0.35404    
 43    179.786   -182.550  0.16301    
 44    194.436   -182.550  9.47885E-02
 45    209.086   -182.550 -0.15623    
 46    223.736   -182.550 -0.25959    
 47    238.386   -182.550 -0.28021    
 48    238.386   -167.900 -0.15717    
 49    223.736   -167.900 -0.12778    
 50    209.086   -167.900  0.25074    
 51    194.436   -167.900  0.10115    
 52    179.786   -167.900  0.13457    
 53    165.136   -167.900  0.22911    
 54    150.486   -167.900  0.57713    
 55    135.836   -167.900  0.88197    
 56    121.186   -167.900  0.83446    
 57    106.536   -167.900  0.44139    
 58     91.886   -167.900  0.21856    
 59     77.236   -167.900  0.12719    
 60     62.586   -167.900  0.21840    
 61     47.936   -167.900  2.67352E-02
 62     33.286   -167.900  3.58659E-02
 63     18.636   -167.900  4.15280E-02
 64     18.636   -153.250  0.27480    
 65     33.286   -153.250  0.31293    
 66     47.936   -153.250  0.12569    
 67     62.586   -153.250  0.35773    
 68     77.236   -153.250  0.21854    
 69     91.886   -153.250  0.11091    
 70    106.536   -153.250  0.51165    
 71    121.186   -153.250  0.63429    
 72    135.836   -153.250  0.59705    
 73    150.486   -153.250  0.60165    
 74    165.136   -153.250  0.36605    
 75    179.786   -153.250  0.15166    
 76    194.436   -153.250 -6.24386E-03
 77    209.086   -153.250  7.16439E-02
 78    223.736   -153.250 -0.10418    
 79    238.386   -153.250 -0.13105    
 80    238.386   -138.600  4.78177E-02
 81    223.736   -138.600  7.28284E-02
 82    209.086   -138.600  0.19193    
 83    194.436   -138.600  9.71592E-02
 84    179.786   -138.600  0.19717    
 85    165.136   -138.600  0.20569    
 86    150.486   -138.600  0.34747    
 87    135.836   -138.600  0.50584    
 88    121.186   -138.600  0.78133    
 89    106.536   -138.600  0.78638    
 90     91.886   -138.600  0.71493    
 91     77.236   -138.600  0.56114    
 92     62.586   -138.600  0.82557    
 93     47.936   -138.600  0.55315    
 94     33.286   -138.600  0.73721    
 95     18.636   -138.600  0.79787    
 96      3.986   -138.600  0.77212    
 97    -10.664   -138.600  0.34966    
 98    -25.314   -138.600  0.18989    
 99    -39.964   -138.600  2.15200E-02
 100    -54.614   -138.600  7.67112E-02
 101    -69.264   -138.600 -0.11476    
 102    -83.914   -138.600 -0.13217    
 103    -83.914   -123.950 -9.72738E-02
 104    -69.264   -123.950 -9.59837E-02
 105    -54.614   -123.950  7.10858E-02
 106    -39.964   -123.950  2.41830E-02
 107    -25.314   -123.950  0.19196    
 108    -10.664   -123.950  0.34582    
 109      3.986   -123.950  0.77110    
 110     18.636   -123.950   1.7132    
 111     33.286   -123.950   3.1602    
 112     47.936   -123.950   3.5338    
 113     62.586   -123.950   3.7064    
 114     77.236   -123.950   2.8641    
 115     91.886   -123.950   2.4372    
 116    106.536   -123.950   2.1398    
 117    121.186   -123.950   1.2236    
 118    135.836   -123.950  0.50803    
 119    150.486   -123.950  0.22361    
 120    165.136   -123.950  0.11310    
 121    179.786   -123.950  0.11591    
 122    194.436   -123.950  0.12962    
 123    209.086   -123.950  0.31050    
 124    223.736   -123.950 -4.97836E-02
 125    238.386   -123.950 -7.06360E-02
 126    238.386   -109.300 -0.17779    
 127    223.736   -109.300 -0.16725    
 128    209.086   -109.300  0.19206    
 129    194.436   -109.300  0.16742    
 130    179.786   -109.300  0.41092    
 131    165.136   -109.300  0.46978    
 132    150.486   -109.300  0.35869    
 133    135.836   -109.300  0.42480    
 134    121.186   -109.300   1.1055    
 135    106.536   -109.300   2.2500    
 136     91.886   -109.300   2.9441    
 137     77.236   -109.300   4.2186    
 138     62.586   -109.300   5.8517    
 139     47.936   -109.300   5.6239    
 140     33.286   -109.300   4.3549    
 141     18.636   -109.300   2.3327    
 142      3.986   -109.300  0.81939    
 143    -10.664   -109.300  0.33838    
 144    -25.314   -109.300  0.23402    
 145    -39.964   -109.300  0.20374    
 146    -54.614   -109.300  0.10955    
 147    -69.264   -109.300  7.01495E-03
 148    -83.914   -109.300  7.79051E-03
 149    -83.914    -94.650  3.60048E-03
 150    -69.264    -94.650  1.54506E-02
 151    -54.614    -94.650  0.21038    
 152    -39.964    -94.650  0.25147    
 153    -25.314    -94.650  0.20354    
 154    -10.664    -94.650  0.62929    
 155      3.986    -94.650  0.89121    
 156     18.636    -94.650   1.5330    
 157     33.286    -94.650   2.6493    
 158     47.936    -94.650   3.9331    
 159     62.586    -94.650   4.1616    
 160     77.236    -94.650   2.5993    
 161     91.886    -94.650   1.4236    
 162    106.536    -94.650   1.0838    
 163    121.186    -94.650  0.72642    
 164    135.836    -94.650  0.78030    
 165    150.486    -94.650  0.93976    
 166    165.136    -94.650   1.0369    
 167    179.786    -94.650  0.91516    
 168    194.436    -94.650  0.63040    
