!
! 05-APR-2020 19:45:06
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 1.435 4 /OUTPUT serpens_hcn10_red1_smm4.txt
!
 1     33.286   -211.850 -0.34410    
 2     47.936   -211.850  3.86945E-02
 3     62.586   -211.850 -8.59975E-03
 4     77.236   -211.850  0.23984    
 5     91.886   -211.850  7.18228E-02
 6    106.536   -211.850  0.40863    
 7    121.186   -211.850  0.51471    
 8    135.836   -211.850  0.40905    
 9    150.486   -211.850  0.38019    
 10    165.136   -211.850  0.59232    
 11    179.786   -211.850  0.61307    
 12    194.436   -211.850  0.71799    
 13    209.086   -211.850  0.22901    
 14    223.736   -211.850  7.36391E-02
 15    238.386   -211.850  0.13028    
 16    238.386   -197.200  0.13151    
 17    223.736   -197.200  0.10900    
 18    209.086   -197.200  0.21213    
 19    194.436   -197.200  0.71135    
 20    179.786   -197.200  0.59152    
 21    165.136   -197.200  0.59165    
 22    150.486   -197.200  0.37442    
 23    135.836   -197.200  0.42086    
 24    121.186   -197.200  0.52742    
 25    106.536   -197.200  0.40257    
 26     91.886   -197.200  6.69929E-02
 27     77.236   -197.200  0.21744    
 28     62.586   -197.200 -8.80184E-03
 29     47.936   -197.200  4.06121E-02
 30     33.286   -197.200 -0.23056    
 31     18.636   -197.200  3.24569E-02
 32     18.636   -182.550 -0.19280    
 33     33.286   -182.550 -0.18197    
 34     47.936   -182.550  4.76864E-02
 35     62.586   -182.550 -9.10372E-02
 36     77.236   -182.550  5.35236E-02
 37     91.886   -182.550  0.26839    
 38    106.536   -182.550  0.35956    
 39    121.186   -182.550  0.61845    
 40    135.836   -182.550  0.66237    
 41    150.486   -182.550  0.35520    
 42    165.136   -182.550  0.27386    
 43    179.786   -182.550  0.11180    
 44    194.436   -182.550  5.03786E-02
 45    209.086   -182.550 -0.10855    
 46    223.736   -182.550 -0.18724    
 47    238.386   -182.550 -0.20285    
 48    238.386   -167.900 -5.64371E-02
 49    223.736   -167.900 -3.52744E-02
 50    209.086   -167.900  0.19273    
 51    194.436   -167.900  7.63618E-02
 52    179.786   -167.900  0.12193    
 53    165.136   -167.900  0.16433    
 54    150.486   -167.900  0.46175    
 55    135.836   -167.900  0.71400    
 56    121.186   -167.900  0.65217    
 57    106.536   -167.900  0.31727    
 58     91.886   -167.900  0.16532    
 59     77.236   -167.900  0.14625    
 60     62.586   -167.900  0.20173    
 61     47.936   -167.900  3.25185E-02
 62     33.286   -167.900  4.38468E-02
