!
! 05-APR-2020 19:45:11
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 8.5 9.4 /OUTPUT serpens_hcn10_red2_smm4.txt
!
 1     33.286   -211.850  0.16271    
 2     47.936   -211.850  8.27043E-02
 3     62.586   -211.850  0.12416    
 4     77.236   -211.850 -2.48992E-02
 5     91.886   -211.850  4.60525E-02
 6    106.536   -211.850  0.43414    
 7    121.186   -211.850  0.71604    
 8    135.836   -211.850  0.73472    
 9    150.486   -211.850  0.58730    
 10    165.136   -211.850  0.40876    
 11    179.786   -211.850  0.40699    
 12    194.436   -211.850  0.29494    
 13    209.086   -211.850  0.12747    
 14    223.736   -211.850  0.22654    
 15    238.386   -211.850  0.16012    
 16    238.386   -197.200  0.16594    
 17    223.736   -197.200  0.15833    
 18    209.086   -197.200  0.11797    
 19    194.436   -197.200  0.29192    
 20    179.786   -197.200  0.38555    
 21    165.136   -197.200  0.40742    
 22    150.486   -197.200  0.59321    
 23    135.836   -197.200  0.72085    
 24    121.186   -197.200  0.71587    
 25    106.536   -197.200  0.43467    
 26     91.886   -197.200  4.67791E-02
 27     77.236   -197.200 -9.95277E-03
 28     62.586   -197.200  0.12414    
 29     47.936   -197.200  8.60510E-02
 30     33.286   -197.200  0.12007    
 31     18.636   -197.200  1.49355E-02
 32     18.636   -182.550  0.13488    
 33     33.286   -182.550  9.34189E-02
 34     47.936   -182.550  0.12109    
 35     62.586   -182.550  0.10264    
 36     77.236   -182.550  5.48588E-02
 37     91.886   -182.550  7.57214E-02
 38    106.536   -182.550  0.35413    
 39    121.186   -182.550  0.73295    
 40    135.836   -182.550  0.88464    
 41    150.486   -182.550  0.58994    
 42    165.136   -182.550  0.28352    
 43    179.786   -182.550  0.15705    
 44    194.436   -182.550  3.88389E-02
 45    209.086   -182.550  9.63084E-02
 46    223.736   -182.550  8.39318E-02
 47    238.386   -182.550  8.98419E-02
 48    238.386   -167.900  7.16972E-03
 49    223.736   -167.900  2.57517E-02
 50    209.086   -167.900  0.10046    
 51    194.436   -167.900  6.00805E-02
 52    179.786   -167.900  8.28177E-02
 53    165.136   -167.900  0.30290    
 54    150.486   -167.900  0.47294    
 55    135.836   -167.900  0.72439    
 56    121.186   -167.900  0.70716    
 57    106.536   -167.900  0.39308    
 58     91.886   -167.900  0.24462    
 59     77.236   -167.900  0.18218    
 60     62.586   -167.900  0.10910    
 61     47.936   -167.900  0.20690    
 62     33.286   -167.900  0.28495    
 63     18.636   -167.900  0.28832    
 64     18.636   -153.250  0.32763    
 65     33.286   -153.250  0.33519    
 66     47.936   -153.250  0.23110    
 67     62.586   -153.250  0.22032    
 68     77.236   -153.250  0.16697    
 69     91.886   -153.250  0.29699    
 70    106.536   -153.250  0.52462    
 71    121.186   -153.250  0.63727    
 72    135.836   -153.250  0.56639    
 73    150.486   -153.250  0.42988    
 74    165.136   -153.250  0.27278    
 75    179.786   -153.250  0.13928    
 76    194.436   -153.250  0.13809    
 77    209.086   -153.250  0.13634    
 78    223.736   -153.250  2.34648E-02
 79    238.386   -153.250  1.35933E-02
 80    238.386   -138.600  5.76637E-02
 81    223.736   -138.600  6.77969E-02
 82    209.086   -138.600  0.15885    
 83    194.436   -138.600  0.23500    
 84    179.786   -138.600  0.17666    
 85    165.136   -138.600  0.16171    
 86    150.486   -138.600  0.26027    
 87    135.836   -138.600  0.57479    
 88    121.186   -138.600  0.74083    
 89    106.536   -138.600  0.52752    
 90     91.886   -138.600  0.29788    
 91     77.236   -138.600  0.25611    
 92     62.586   -138.600  0.22861    
 93     47.936   -138.600  0.34480    
 94     33.286   -138.600  0.30992    
 95     18.636   -138.600  0.31224    
 96      3.986   -138.600  0.23647    
 97    -10.664   -138.600  0.13769    
 98    -25.314   -138.600  0.23774    
 99    -39.964   -138.600  0.19155    
 100    -54.614   -138.600  0.13118    
 101    -69.264   -138.600  0.17804    
 102    -83.914   -138.600  0.17384    
 103    -83.914   -123.950  0.24128    
 104    -69.264   -123.950  0.24108    
 105    -54.614   -123.950  0.13660    
 106    -39.964   -123.950  0.19114    
 107    -25.314   -123.950  0.22737    
 108    -10.664   -123.950  0.13736    
 109      3.986   -123.950  0.24098    
 110     18.636   -123.950  0.30040    
 111     33.286   -123.950  0.35157    
 112     47.936   -123.950  0.36470    
 113     62.586   -123.950  0.31796    
 114     77.236   -123.950  0.26047    
 115     91.886   -123.950  0.26218    
 116    106.536   -123.950  0.40449    
 117    121.186   -123.950  0.53692    
 118    135.836   -123.950  0.45253    
 119    150.486   -123.950  0.19692    
 120    165.136   -123.950  0.14004    
 121    179.786   -123.950  7.45097E-02
 122    194.436   -123.950  0.16280    
 123    209.086   -123.950  0.10864    
 124    223.736   -123.950  0.17834    
 125    238.386   -123.950  0.18132    
 126    238.386   -109.300  8.69830E-02
 127    223.736   -109.300  9.32713E-02
 128    209.086   -109.300  0.16468    
 129    194.436   -109.300  0.26126    
 130    179.786   -109.300  0.26454    
 131    165.136   -109.300  0.24888    
 132    150.486   -109.300  0.33755    
 133    135.836   -109.300  0.28783    
 134    121.186   -109.300  0.35782    
 135    106.536   -109.300  0.30242    
 136     91.886   -109.300  0.28796    
 137     77.236   -109.300  0.31044    
 138     62.586   -109.300  0.44384    
 139     47.936   -109.300  0.46861    
 140     33.286   -109.300  0.40011    
 141     18.636   -109.300  0.35682    
 142      3.986   -109.300  0.25920    
 143    -10.664   -109.300  0.18833    
 144    -25.314   -109.300  0.21192    
 145    -39.964   -109.300  0.28097    
 146    -54.614   -109.300  0.26509    
 147    -69.264   -109.300  0.19480    
 148    -83.914   -109.300  0.19006    
 149    -83.914    -94.650  0.21759    
 150    -69.264    -94.650  0.23046    
 151    -54.614    -94.650  0.38732    
 152    -39.964    -94.650  0.26623    
 153    -25.314    -94.650  0.26154    
 154    -10.664    -94.650  0.21733    
 155      3.986    -94.650  0.26248    
 156     18.636    -94.650  0.26182    
 157     33.286    -94.650  0.32522    
 158     47.936    -94.650  0.36692    
 159     62.586    -94.650  0.36713    
 160     77.236    -94.650  0.33252    
 161     91.886    -94.650  0.28252    
 162    106.536    -94.650  0.24125    
 163    121.186    -94.650  0.24077    
 164    135.836    -94.650  0.29282    
 165    150.486    -94.650  0.33779    
 166    165.136    -94.650  0.34441    
 167    179.786    -94.650  0.34914    
 168    194.436    -94.650  0.37796    
 169    209.086    -94.650  0.24077    
 170    223.736    -94.650  9.08808E-02
 171    238.386    -94.650  7.87749E-02
 172    238.386    -80.000  0.39387    
 173    223.736    -80.000  0.38168    
 174    209.086    -80.000  0.43247    
 175    194.436    -80.000  0.50069    
 176    179.786    -80.000  0.52189    
 177    165.136    -80.000  0.44090    
 178    150.486    -80.000  0.39203    
 179    135.836    -80.000  0.23252    
 180    121.186    -80.000  0.21909    
 181    106.536    -80.000  0.23728    
 182     91.886    -80.000  0.16619    
 183     77.236    -80.000  0.19971    
 184     62.586    -80.000  0.21372    
 185     47.936    -80.000  0.23169    
 186     33.286    -80.000  0.28005    
