Position    Molecule    Pixels number     M_outflow [M_sun]      Mass loss [M_sun/yr]     R [AU]       t_dyn [yr]     F_outflow [M_sun/yr km/s

smm1 North    co65           23                2.886e-03                4.019e-06           7589             718                 1.007e-02
smm1 South    co65           74                7.472e-03                2.821e-06          27990            2648                 7.067e-03

smm1Sum/Ave    co65           95                1.036e-02                3.420e-06          35580            1683                 1.713e-02

smm1 North   hcn10            5                1.755e+02                2.444e-01           7589             718                 8.026e-13
smm1 South   hcn10            8                2.990e+02                1.129e-01          27990            2648                 3.707e-13

smm1Sum/Ave   hcn10           11                4.745e+02                1.787e-01          35580            1683                 1.173e-12


v2


smm1 red    co65            1                1.477e-02                4.988e-06          31296            2961                 1.638e-17
smm1 blue    co65            1                1.622e-02                6.203e-06          27630            2614                 2.037e-17

smm1Sum/Ave    co65            0                3.099e-02                5.596e-06          58927            2787                 3.675e-17

-----
small:
smm1 red   hcn10            1                1.837e+01                1.808e-02          10733            1015                 5.938e-14
smm1 blue   hcn10            1                8.448e+00                4.324e-03          20648            1953                 1.420e-14

smm1Sum/Ave   hcn10            0                2.681e+01                1.120e-02          31381            1484                 7.358e-14


smm1 red   hcn10            1                3.116e+00                3.068e-03          10733            1015                 1.007e-14
smm1 blue   hcn10            1                2.784e+01                1.425e-02          20648            1953                 4.679e-14

smm1Sum/Ave   hcn10            0                3.095e+01                8.658e-03          31381            1484                 5.686e-14
smm1 red    co65            1                1.759e-02                5.939e-06          31296            2961                 1.950e-17
smm1 blue    co65            1                1.931e-02                7.385e-06          27630            2614                 2.425e-17

smm1Sum/Ave    co65            0                3.690e-02                6.662e-06          58927            2787                 4.375e-17
smm1 red   hcn10            1                1.706e+00                1.680e-03          10733            1015                 5.517e-15
smm1 blue   hcn10            1                1.525e+01                7.804e-03          20648            1953                 2.563e-14

smm1Sum/Ave   hcn10            0                1.695e+01                4.742e-03          31381            1484                 3.114e-14
smm1 red   hcn10            1                3.116e+00                3.068e-03          10733            1015                 1.007e-14
smm1 blue   hcn10            1                2.784e+01                1.425e-02          20648            1953                 4.679e-14

smm1Sum/Ave   hcn10            0                3.095e+01                8.658e-03          31381            1484                 5.686e-14
smm1 red   hcn10            1                7.373e-01                7.260e-04          10733            1015                 2.384e-15
smm1 blue   hcn10            1                6.588e+00                3.372e-03          20648            1953                 1.107e-14

smm1Sum/Ave   hcn10            0                7.326e+00                2.049e-03          31381            1484                 1.346e-14
smm1 red   hcn10            1                1.205e+00                1.187e-03          10733            1015                 3.897e-15
smm1 blue   hcn10            1                1.077e+01                5.512e-03          20648            1953                 1.810e-14

smm1Sum/Ave   hcn10            0                1.197e+01                3.349e-03          31381            1484                 2.199e-14
smm1 red    co65            1                1.342e-03                4.533e-07          31296            2961                 1.488e-18
smm1 blue    co65            1                1.474e-03                5.637e-07          27630            2614                 1.851e-18

smm1Sum/Ave    co65            0                2.816e-03                5.085e-07          58927            2787                 3.339e-18
smm1 red    co65            1                1.238e-03                4.180e-07          31296            2961                 1.372e-18
smm1 blue    co65            1                1.359e-03                5.198e-07          27630            2614                 1.707e-18

smm1Sum/Ave    co65            0                2.597e-03                4.689e-07          58927            2787                 3.079e-18
smm1 red    co65            1                1.342e-03                4.533e-07          31296            2961                 1.488e-18
smm1 blue    co65            1                1.474e-03                5.637e-07          27630            2614                 1.851e-18

smm1Sum/Ave    co65            0                2.816e-03                5.085e-07          58927            2787                 3.339e-18
smm1 red   hcn10            1                6.377e-01                6.279e-04          10733            1015                 2.062e-15
smm1 blue   hcn10            1                5.698e+00                2.917e-03          20648            1953                 9.577e-15

smm1Sum/Ave   hcn10            0                6.336e+00                1.772e-03          31381            1484                 1.164e-14
smm1 red   hcn10            1                2.240e-01                2.206e-04          10733            1015                 7.242e-16
smm1 blue   hcn10            1                2.001e+00                1.024e-03          20648            1953                 3.364e-15

smm1Sum/Ave   hcn10            0                2.225e+00                6.225e-04          31381            1484                 4.088e-15
smm1 red   hcn10            1                1.205e+00                1.187e-03          10733            1015                 3.897e-15
