Protostar   Molecule   Pixel number  Flux
smm1   co65   2   77.591236
smm1   co65   3   56.275052
smm1   co65   5   172.852881
smm1   co65   6   146.260808
smm1   co65   7   100.226850
smm1   co65   8   70.788398
smm1   co65   11   138.619759
smm1   co65   12   102.249127
smm1   co65   13   75.326471
smm1   co65   14   67.176270
smm1   co65   16   101.451735
smm1   co65   17   85.006408
smm1   co65   18   68.925563
smm1   co65   19   59.050372
smm1   co65   21   74.808039
smm1   co65   22   65.611219
smm1   co65   23   55.807758
smm1   co65   24   46.202663
smm1   co65   27   52.341066
smm1   co65   28   44.491041
smm1   co65   29   38.228199
smm1   co65   32   49.062560
smm1   co65   33   40.119427
