Protostar   Molecule   Pixel number  Flux
smm1   co65   1   38.624985
smm1   co65   2   31.409512
smm1   co65   9   20.858027
smm1   co65   10   33.425507
smm1   co65   11   29.880863
smm1   co65   18   10.385230
smm1   co65   19   20.238236
smm1   co65   20   20.201384
smm1   co65   21   15.737352
smm1   co65   28   14.507442
smm1   co65   29   14.574604
smm1   co65   30   11.863028
smm1   co65   37   16.690727
smm1   co65   38   17.281273
smm1   co65   39   13.849944
smm1   co65   46   21.453877
smm1   co65   47   24.060060
smm1   co65   48   19.829142
smm1   co65   55   23.379599
smm1   co65   56   26.469817
smm1   co65   57   22.972916
smm1   co65   58   12.314799
smm1   co65   63   7.978926
smm1   co65   64   20.672871
smm1   co65   65   22.909368
smm1   co65   66   21.318023
smm1   co65   67   13.890429
smm1   co65   73   14.195287
smm1   co65   74   16.787647
smm1   co65   75   17.180124
smm1   co65   76   13.353175
smm1   co65   77   9.609947
smm1   co65   84   11.850432
smm1   co65   85   11.740452
smm1   co65   86   9.880123
smm1   co65   92   6.383854
smm1   co65   93   9.187476
smm1   co65   94   11.070553
smm1   co65   95   10.309779
smm1   co65   96   6.881245
smm1   co65   102   10.165733
smm1   co65   103   11.372270
smm1   co65   104   11.075298
smm1   co65   109   5.896443
smm1   co65   110   8.039359
smm1   co65   111   10.714660
smm1   co65   112   11.490939
smm1   co65   113   11.229169
smm1   co65   114   8.633299
smm1   co65   115   4.981377
smm1   co65   116   3.102523
smm1   co65   119   9.230918
smm1   co65   120   13.416224
smm1   co65   121   12.550867
smm1   co65   122   10.111810
smm1   co65   123   7.597576
smm1   co65   124   5.175623
smm1   co65   128   10.657835
smm1   co65   129   18.319447
smm1   co65   130   22.324291
smm1   co65   131   16.828221
smm1   co65   132   9.293103
smm1   co65   138   17.098469
smm1   co65   139   25.102260
smm1   co65   140   19.751020
smm1   co65   145   3.051550
smm1   co65   146   5.663509
smm1   co65   147   13.940732
smm1   co65   148   20.405700
smm1   co65   149   17.072131
smm1   co65   150   9.756361
smm1   co65   151   5.288440
smm1   co65   158   11.362804
smm1   co65   159   7.534867
smm1   co65   160   4.446650
smm1   co65   2   6.996461
smm1   co65   3   3.268698
smm1   co65   5   29.880863
smm1   co65   6   18.885885
smm1   co65   7   8.132688
smm1   co65   8   3.431044
smm1   co65   11   15.737352
smm1   co65   12   8.256985
smm1   co65   13   3.698007
smm1   co65   14   1.839464
smm1   co65   16   11.863028
smm1   co65   17   7.244635
smm1   co65   18   4.351256
smm1   co65   19   2.582440
smm1   co65   21   13.849944
smm1   co65   22   6.889550
smm1   co65   23   4.159394
smm1   co65   24   3.006381
smm1   co65   27   8.953473
smm1   co65   28   4.759723
smm1   co65   29   3.121184
smm1   co65   32   12.314799
smm1   co65   33   6.483674
