Protostar   Molecule   Pixel number  Flux
smm1   co65   1   5.307623
smm1   co65   2   4.100867
smm1   co65   9   3.051232
smm1   co65   10   4.506469
smm1   co65   11   3.162729
smm1   co65   18   1.620585
smm1   co65   19   2.625676
smm1   co65   20   2.138161
smm1   co65   21   1.094789
smm1   co65   28   1.252231
smm1   co65   29   0.956344
smm1   co65   30   0.921875
smm1   co65   37   -0.018972
smm1   co65   38   0.713951
smm1   co65   39   1.268607
smm1   co65   46   1.839356
smm1   co65   47   2.985933
smm1   co65   48   3.019651
smm1   co65   55   4.248274
smm1   co65   56   5.198632
smm1   co65   57   4.330986
smm1   co65   58   2.296282
smm1   co65   63   2.540049
smm1   co65   64   5.465415
smm1   co65   65   5.812714
smm1   co65   66   5.005494
smm1   co65   67   2.909908
smm1   co65   73   5.625373
smm1   co65   74   5.773890
smm1   co65   75   5.649681
smm1   co65   76   3.618343
smm1   co65   77   1.436960
smm1   co65   84   4.574859
smm1   co65   85   3.482082
smm1   co65   86   1.683812
smm1   co65   92   2.668980
smm1   co65   93   2.876268
smm1   co65   94   2.321327
smm1   co65   95   1.608982
smm1   co65   96   1.149508
smm1   co65   102   1.941893
smm1   co65   103   2.474707
smm1   co65   104   2.342053
smm1   co65   109   1.510186
smm1   co65   110   1.725442
smm1   co65   111   1.634661
smm1   co65   112   2.940680
smm1   co65   113   2.588925
smm1   co65   114   0.090756
smm1   co65   115   -0.057212
smm1   co65   116   0.642508
smm1   co65   119   0.926413
smm1   co65   120   1.427953
smm1   co65   121   1.172786
smm1   co65   122   0.825462
smm1   co65   123   1.155676
smm1   co65   124   0.787667
smm1   co65   128   2.074813
smm1   co65   129   2.445452
smm1   co65   130   4.734672
smm1   co65   131   4.233209
smm1   co65   132   1.599737
smm1   co65   138   1.899754
smm1   co65   139   4.295593
smm1   co65   140   4.363719
smm1   co65   145   -0.709930
smm1   co65   146   0.020218
smm1   co65   147   1.751125
smm1   co65   148   3.648097
smm1   co65   149   3.429195
smm1   co65   150   1.523607
smm1   co65   151   0.032805
smm1   co65   158   2.750449
smm1   co65   159   1.052153
smm1   co65   160   -0.242141
smm1   co65   2   1.340075
smm1   co65   3   0.343896
smm1   co65   5   3.162729
smm1   co65   6   1.421585
smm1   co65   7   -0.073996
smm1   co65   8   -0.902957
smm1   co65   11   1.094789
smm1   co65   12   -0.426143
smm1   co65   13   -0.393053
smm1   co65   14   0.441163
smm1   co65   16   0.921875
smm1   co65   17   0.138920
smm1   co65   18   0.029071
smm1   co65   19   0.246559
smm1   co65   21   1.268607
smm1   co65   22   0.062731
smm1   co65   23   -0.153408
smm1   co65   24   -0.342978
smm1   co65   27   0.747589
smm1   co65   28   -0.041337
smm1   co65   29   -0.154093
smm1   co65   32   2.296282
smm1   co65   33   1.058730
