!
! 19-DEC-2018 13:37:15
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -72.5 -69.5 /OUTPUT smm1_cn10_blue_1.txt
!
 1    238.386   -226.500  0.35041    
 2    223.736   -226.500  0.34893    
 3    209.086   -226.500  0.35019    
 4    194.436   -226.500  0.35870    
 5    179.786   -226.500  0.35361    
 6    165.136   -226.500  0.10025    
 7    150.486   -226.500  1.22581E-02
 8    135.836   -226.500  2.20722E-02
 9    121.186   -226.500  0.16703    
 10    106.536   -226.500  0.18485    
 11     91.886   -226.500  0.18656    
 12     77.236   -226.500  0.18667    
 13     33.286   -211.850 -0.12409    
 14     47.936   -211.850 -6.36795E-04
 15     62.586   -211.850 -3.46476E-02
 16     77.236   -211.850  0.11064    
 17     91.886   -211.850  0.17830    
 18    106.536   -211.850  0.17467    
 19    121.186   -211.850  0.14982    
 20    135.836   -211.850  9.05924E-02
 21    150.486   -211.850  0.11177    
 22    165.136   -211.850  8.17039E-02
 23    179.786   -211.850  0.26128    
 24    194.436   -211.850  0.28672    
 25    209.086   -211.850  0.28422    
 26    223.736   -211.850  0.28374    
 27    238.386   -211.850  0.32099    
 28    253.036   -211.850  0.37878    
 29    267.686   -211.850  0.28620    
 30    267.686   -197.200  0.37153    
 31    253.036   -197.200  0.37252    
 32    238.386   -197.200  0.32865    
 33    223.736   -197.200  0.21600    
 34    209.086   -197.200  0.31050    
 35    194.436   -197.200  0.29713    
 36    179.786   -197.200  0.22461    
 37    165.136   -197.200  0.13075    
 38    150.486   -197.200  0.15919    
 39    135.836   -197.200  0.11191    
 40    121.186   -197.200  0.23657    
 41    106.536   -197.200  0.29196    
 42     91.886   -197.200  0.18329    
 43     77.236   -197.200 -5.57628E-02
 44     62.586   -197.200 -2.62518E-02
 45     47.936   -197.200 -2.55312E-02
 46     33.286   -197.200 -0.10001    
 47     18.636   -197.200 -0.11946    
 48    -39.964   -182.550 -0.41555    
 49    -25.314   -182.550 -0.42168    
 50    -10.664   -182.550 -0.44596    
 51      3.986   -182.550 -0.33293    
 52     18.636   -182.550 -0.12317    
 53     33.286   -182.550 -0.11343    
 54     47.936   -182.550 -4.86960E-02
 55     62.586   -182.550 -1.72810E-02
 56     77.236   -182.550 -4.09494E-02
 57     91.886   -182.550 -1.13487E-03
 58    106.536   -182.550  0.18114    
 59    121.186   -182.550  0.21321    
 60    135.836   -182.550  8.20680E-02
 61    150.486   -182.550  0.23431    
 62    165.136   -182.550  0.29502    
 63    179.786   -182.550  0.35524    
 64    194.436   -182.550  0.48154    
 65    209.086   -182.550  0.38128    
 66    223.736   -182.550 -4.90274E-03
 67    238.386   -182.550  0.28584    
 68    253.036   -182.550  0.33076    
 69    267.686   -182.550  0.32816    
 70    267.686   -167.900  0.25206    
 71    253.036   -167.900  0.25726    
 72    238.386   -167.900  0.22343    
 73    223.736   -167.900 -5.60292E-02
 74    209.086   -167.900  0.10972    
 75    194.436   -167.900  0.33018    
 76    179.786   -167.900  0.29632    
 77    165.136   -167.900  0.35314    
 78    150.486   -167.900  0.35613    
 79    135.836   -167.900  0.16868    
 80    121.186   -167.900  8.43400E-02
 81    106.536   -167.900  0.11348    
 82     91.886   -167.900  5.37999E-02
 83     77.236   -167.900 -1.66990E-02
 84     62.586   -167.900  1.10517E-03
 85     47.936   -167.900 -3.51999E-02
 86     33.286   -167.900 -7.93635E-02
 87     18.636   -167.900 -6.48184E-02
 88      3.986   -167.900 -0.33336    
 89    -10.664   -167.900 -0.44401    
 90    -25.314   -167.900 -0.41968    
 91    -39.964   -167.900 -0.41700    
 92    -54.614   -167.900  6.95918E-02
 93    -69.264   -167.900  0.51573    
 94    -83.914   -167.900  0.75430    
 95    -98.564   -153.250  0.45764    
 96    -83.914   -153.250  0.50941    
 97    -69.264   -153.250  0.43727    
 98    -54.614   -153.250  0.17582    
 99    -39.964   -153.250 -0.32888    
 100    -25.314   -153.250 -0.40197    
 101    -10.664   -153.250 -0.43258    
 102      3.986   -153.250 -0.33116    
 103     18.636   -153.250 -6.35488E-02
 104     33.286   -153.250  0.14232    
 105     47.936   -153.250  0.13814    
 106     62.586   -153.250  6.93524E-02
 107     77.236   -153.250  2.32802E-02
 108     91.886   -153.250  0.15861    
 109    106.536   -153.250  0.23051    
 110    121.186   -153.250  0.22680    
 111    135.836   -153.250  0.32288    
 112    150.486   -153.250  0.41501    
 113    165.136   -153.250  0.37448    
 114    179.786   -153.250  0.32385    
 115    194.436   -153.250  0.34102    
 116    209.086   -153.250  0.11702    
 117    223.736   -153.250  7.52415E-03
 118    238.386   -153.250  0.20750    
 119    253.036   -153.250  0.25524    
 120    267.686   -153.250  0.25607    
 121    267.686   -138.600  0.39253    
 122    253.036   -138.600  0.37363    
 123    238.386   -138.600  0.26523    
 124    223.736   -138.600  0.10595    
 125    209.086   -138.600  0.23256    
 126    194.436   -138.600  0.31467    
 127    179.786   -138.600  0.35769    
 128    165.136   -138.600  0.44504    
 129    150.486   -138.600  0.53031    
 130    135.836   -138.600  0.42435    
 131    121.186   -138.600  0.28245    
 132    106.536   -138.600  0.22530    
 133     91.886   -138.600  0.17812    
 134     77.236   -138.600  9.63181E-02
 135     62.586   -138.600  0.10253    
 136     47.936   -138.600  0.20631    
 137     33.286   -138.600  0.12369    
 138     18.636   -138.600 -7.59144E-02
 139      3.986   -138.600 -0.29771    
 140    -10.664   -138.600 -0.34301    
 141    -25.314   -138.600 -0.27084    
 142    -39.964   -138.600 -9.20366E-02
 143    -54.614   -138.600  0.14838    
 144    -69.264   -138.600  0.29328    
 145    -83.914   -138.600  0.26428    
 146    -98.564   -138.600  0.15372    
 147    -98.564   -123.950 -8.42156E-02
 148    -83.914   -123.950 -4.98009E-04
 149    -69.264   -123.950  7.54858E-02
 150    -54.614   -123.950  7.07966E-02
 151    -39.964   -123.950 -3.23169E-03
 152    -25.314   -123.950 -1.95832E-02
 153    -10.664   -123.950 -9.63859E-02
 154      3.986   -123.950 -0.14873    
 155     18.636   -123.950 -5.09433E-02
 156     33.286   -123.950  4.46970E-02
 157     47.936   -123.950  8.45207E-02
 158     62.586   -123.950  6.27755E-02
 159     77.236   -123.950  3.82318E-02
 160     91.886   -123.950  0.15923    
 161    106.536   -123.950  0.23262    
 162    121.186   -123.950  0.31839    
 163    135.836   -123.950  0.40401    
 164    150.486   -123.950  0.40331    
 165    165.136   -123.950  0.34571    
 166    179.786   -123.950  0.31884    
 167    194.436   -123.950  0.32333    
 168    209.086   -123.950  0.30949    
 169    223.736   -123.950  3.85309E-02
 170    238.386   -123.950  0.17781    
 171    253.036   -123.950  0.32509    
 172    267.686   -123.950  0.35256    
 173    267.686   -109.300  0.21866    
 174    253.036   -109.300  0.20423    
 175    238.386   -109.300  0.11843    
 176    223.736   -109.300  7.62143E-02
 177    209.086   -109.300  0.37519    
 178    194.436   -109.300  0.20113    
 179    179.786   -109.300  0.15226    
 180    165.136   -109.300  0.26870    
 181    150.486   -109.300  0.38625    
 182    135.836   -109.300  0.42456    
 183    121.186   -109.300  0.38303    
 184    106.536   -109.300  0.25211    
 185     91.886   -109.300  0.16272    
 186     77.236   -109.300  6.77618E-02
 187     62.586   -109.300  0.12994    
 188     47.936   -109.300  0.11547    
 189     33.286   -109.300  1.99962E-02
 190     18.636   -109.300 -2.08068E-02
 191      3.986   -109.300 -0.10341    
 192    -10.664   -109.300 -9.53045E-03
 193    -25.314   -109.300 -4.09281E-02
 194    -39.964   -109.300  2.47054E-02
 195    -54.614   -109.300  1.15189E-02
 196    -69.264   -109.300 -8.70088E-02
 197    -83.914   -109.300 -0.13743    
 198    -98.564   -109.300 -0.16331    
 199    -98.564    -94.650 -0.26294    
 200    -83.914    -94.650 -0.24320    
 201    -69.264    -94.650 -0.16265    
 202    -54.614    -94.650  4.69647E-02
 203    -39.964    -94.650  9.63532E-02
 204    -25.314    -94.650 -3.46318E-02
 205    -10.664    -94.650  3.67456E-02
 206      3.986    -94.650  2.83056E-02
 207     18.636    -94.650  8.29737E-02
 208     33.286    -94.650  0.12928    
 209     47.936    -94.650  0.20554    
 210     62.586    -94.650  0.26399    
 211     77.236    -94.650  0.19043    
 212     91.886    -94.650  0.18397    
 213    106.536    -94.650  0.22399    
