!
! 19-DEC-2018 13:38:51
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 12.5 15.5 /OUTPUT smm1_cn10_blue_5.txt
!
 1    238.386   -226.500  0.37016    
 2    223.736   -226.500  0.38947    
 3    209.086   -226.500  0.38922    
 4    194.436   -226.500  0.38859    
 5    179.786   -226.500  0.44535    
 6    165.136   -226.500  0.87250    
 7    150.486   -226.500  0.94072    
 8    135.836   -226.500  0.54798    
 9    121.186   -226.500  0.42653    
 10    106.536   -226.500  0.43326    
 11     91.886   -226.500  0.43503    
 12     77.236   -226.500  0.43526    
 13     33.286   -211.850 -0.33659    
 14     47.936   -211.850 -2.00994E-02
 15     62.586   -211.850  0.28904    
 16     77.236   -211.850  0.54419    
 17     91.886   -211.850  0.57013    
 18    106.536   -211.850  0.56301    
 19    121.186   -211.850  0.51853    
 20    135.836   -211.850  0.49191    
 21    150.486   -211.850  0.76425    
 22    165.136   -211.850  0.73332    
 23    179.786   -211.850  0.57295    
 24    194.436   -211.850  0.61931    
 25    209.086   -211.850  0.63519    
 26    223.736   -211.850  0.63740    
 27    238.386   -211.850  0.43147    
 28    253.036   -211.850  0.32289    
 29    267.686   -211.850  0.11733    
 30    267.686   -197.200  0.41750    
 31    253.036   -197.200  0.41332    
 32    238.386   -197.200  0.35064    
 33    223.736   -197.200  0.56303    
 34    209.086   -197.200  0.76772    
 35    194.436   -197.200  0.72997    
 36    179.786   -197.200  0.59536    
 37    165.136   -197.200  0.65158    
 38    150.486   -197.200  0.64991    
 39    135.836   -197.200  0.64215    
 40    121.186   -197.200  0.62287    
 41    106.536   -197.200  0.60979    
 42     91.886   -197.200  0.58211    
 43     77.236   -197.200  0.47859    
 44     62.586   -197.200  0.27396    
 45     47.936   -197.200 -8.22632E-02
 46     33.286   -197.200 -0.35491    
 47     18.636   -197.200 -0.40562    
 48    -39.964   -182.550 -0.45065    
 49    -25.314   -182.550 -0.39756    
 50    -10.664   -182.550 -0.35147    
 51      3.986   -182.550 -0.25995    
 52     18.636   -182.550 -0.39601    
 53     33.286   -182.550 -0.36950    
 54     47.936   -182.550 -0.13579    
 55     62.586   -182.550  0.25086    
 56     77.236   -182.550  0.47381    
 57     91.886   -182.550  0.57185    
 58    106.536   -182.550  0.87893    
 59    121.186   -182.550  0.93178    
 60    135.836   -182.550  0.78965    
 61    150.486   -182.550  0.76716    
 62    165.136   -182.550  0.78388    
 63    179.786   -182.550  0.71102    
 64    194.436   -182.550  0.71112    
 65    209.086   -182.550  0.73005    
 66    223.736   -182.550  0.29985    
 67    238.386   -182.550  0.41955    
 68    253.036   -182.550  0.51445    
 69    267.686   -182.550  0.52405    
 70    267.686   -167.900  0.62117    
 71    253.036   -167.900  0.60344    
 72    238.386   -167.900  0.48525    
 73    223.736   -167.900  0.37723    
