!
! 19-DEC-2018 13:39:34
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -38.5 -35.5 /OUTPUT smm1_cn10_red_2.txt
!
 1    238.386   -226.500  4.33248E-03
 2    223.736   -226.500  2.58380E-02
 3    209.086   -226.500  2.30077E-02
 4    194.436   -226.500  1.71693E-03
 5    179.786   -226.500 -9.02881E-02
 6    165.136   -226.500  6.44115E-02
 7    150.486   -226.500  7.32744E-02
 8    135.836   -226.500 -4.45910E-02
 9    121.186   -226.500  0.26597    
 10    106.536   -226.500  0.35662    
 11     91.886   -226.500  0.36855    
 12     77.236   -226.500  0.37020    
 13     33.286   -211.850 -0.23167    
 14     47.936   -211.850 -7.15771E-02
 15     62.586   -211.850 -0.13127    
 16     77.236   -211.850  0.16668    
 17     91.886   -211.850  0.26530    
 18    106.536   -211.850  0.25412    
 19    121.186   -211.850  0.17839    
 20    135.836   -211.850  1.14242E-02
 21    150.486   -211.850  0.14966    
 22    165.136   -211.850 -1.47117E-02
 23    179.786   -211.850 -5.17733E-02
 24    194.436   -211.850  0.10164    
 25    209.086   -211.850  0.13625    
 26    223.736   -211.850  0.14093    
 27    238.386   -211.850  0.24580    
 28    253.036   -211.850  0.38103    
 29    267.686   -211.850  0.60071    
 30    267.686   -197.200  0.28184    
 31    253.036   -197.200  0.27702    
 32    238.386   -197.200  0.23389    
 33    223.736   -197.200  0.23965    
 34    209.086   -197.200  0.28248    
 35    194.436   -197.200  0.24300    
 36    179.786   -197.200  6.51718E-02
 37    165.136   -197.200  2.80565E-03
 38    150.486   -197.200  0.17700    
 39    135.836   -197.200  9.26933E-02
 40    121.186   -197.200  0.14427    
 41    106.536   -197.200  0.16735    
 42     91.886   -197.200  7.41592E-02
 43     77.236   -197.200 -7.77065E-02
 44     62.586   -197.200 -9.71789E-02
 45     47.936   -197.200 -1.62554E-02
 46     33.286   -197.200  1.57805E-03
 47     18.636   -197.200  3.83255E-03
