!
! 19-DEC-2018 13:39:56
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -14 -11.5 /OUTPUT smm1_cn10_red_3.txt
!
 1    238.386   -226.500  7.70683E-02
 2    223.736   -226.500  7.84917E-02
 3    209.086   -226.500  7.62322E-02
 4    194.436   -226.500  5.93145E-02
 5    179.786   -226.500 -8.43877E-03
 6    165.136   -226.500  0.16399    
 7    150.486   -226.500 -7.41529E-02
 8    135.836   -226.500 -0.33324    
 9    121.186   -226.500 -0.16927    
 10    106.536   -226.500 -0.14998    
 11     91.886   -226.500 -0.14833    
 12     77.236   -226.500 -0.14820    
 13     33.286   -211.850 -0.31337    
 14     47.936   -211.850 -0.22987    
 15     62.586   -211.850 -0.23210    
 16     77.236   -211.850 -0.13299    
 17     91.886   -211.850 -0.16972    
 18    106.536   -211.850 -0.16463    
 19    121.186   -211.850 -0.13431    
 20    135.836   -211.850 -0.12039    
 21    150.486   -211.850 -5.54239E-03
 22    165.136   -211.850  8.88492E-02
 23    179.786   -211.850  5.31263E-04
 24    194.436   -211.850  4.14852E-02
 25    209.086   -211.850  5.37729E-02
 26    223.736   -211.850  5.54741E-02
 27    238.386   -211.850  0.10717    
 28    253.036   -211.850  0.20526    
 29    267.686   -211.850  0.17691    
 30    267.686   -197.200  0.21888    
 31    253.036   -197.200  0.21649    
 32    238.386   -197.200  0.16285    
 33    223.736   -197.200  0.12536    
 34    209.086   -197.200  0.22356    
 35    194.436   -197.200  0.20615    
 36    179.786   -197.200  0.13334    
 37    165.136   -197.200  8.06284E-02
 38    150.486   -197.200  3.22768E-03
 39    135.836   -197.200  2.53571E-02
 40    121.186   -197.200  9.59267E-02
 41    106.536   -197.200  0.11828    
 42     91.886   -197.200  0.13891    
 43     77.236   -197.200 -3.15483E-02
 44     62.586   -197.200 -0.18810    
 45     47.936   -197.200 -0.15901    
 46     33.286   -197.200 -0.15790    
 47     18.636   -197.200 -0.16438    
 48    -39.964   -182.550 -0.24776    
 49    -25.314   -182.550 -0.31693    
 50    -10.664   -182.550 -0.21897    
 51      3.986   -182.550 -4.23993E-02
 52     18.636   -182.550 -0.12896    
 53     33.286   -182.550 -0.12175    
 54     47.936   -182.550 -9.49761E-02
 55     62.586   -182.550 -0.10889    
 56     77.236   -182.550 -1.50913E-02
 57     91.886   -182.550  0.17868    
 58    106.536   -182.550  0.32433    
 59    121.186   -182.550  0.30496    
 60    135.836   -182.550  9.10643E-02
 61    150.486   -182.550 -5.72933E-05
 62    165.136   -182.550  0.11946    
 63    179.786   -182.550  0.16193    
 64    194.436   -182.550  0.25905    
 65    209.086   -182.550  0.15136    
 66    223.736   -182.550  5.77157E-02
 67    238.386   -182.550  0.16853    
 68    253.036   -182.550  0.22410    
 69    267.686   -182.550  0.22948    
 70    267.686   -167.900  0.19914    
 71    253.036   -167.900  0.18868    
 72    238.386   -167.900  0.14209    
 73    223.736   -167.900  0.15560    
 74    209.086   -167.900  1.36166E-02
 75    194.436   -167.900  0.20102    
 76    179.786   -167.900  0.10574    
 77    165.136   -167.900  2.70291E-02
 78    150.486   -167.900  4.08222E-02
 79    135.836   -167.900  0.20787    
 80    121.186   -167.900  0.32132    
 81    106.536   -167.900  0.30216    
 82     91.886   -167.900  0.19589    
 83     77.236   -167.900  5.59358E-02
 84     62.586   -167.900  2.00614E-02
 85     47.936   -167.900 -3.94518E-02
 86     33.286   -167.900 -8.71561E-02
 87     18.636   -167.900 -8.81732E-02
 88      3.986   -167.900 -4.22803E-02
 89    -10.664   -167.900 -0.21795    
 90    -25.314   -167.900 -0.31522    
 91    -39.964   -167.900 -0.24957    
 92    -54.614   -167.900 -0.13919    
 93    -69.264   -167.900  0.18784    
 94    -83.914   -167.900  0.35307    
 95    -98.564   -153.250  0.30907    
 96    -83.914   -153.250  0.29299    
 97    -69.264   -153.250  0.17330    
 98    -54.614   -153.250 -0.11638    
 99    -39.964   -153.250 -0.24005    
 100    -25.314   -153.250 -0.30581    
 101    -10.664   -153.250 -0.21245    
 102      3.986   -153.250 -4.26437E-02
 103     18.636   -153.250 -8.42491E-02
 104     33.286   -153.250 -6.97745E-02
 105     47.936   -153.250  3.41784E-02
 106     62.586   -153.250  0.12915    
 107     77.236   -153.250  0.16703    
 108     91.886   -153.250  0.21163    
 109    106.536   -153.250  0.37616    
 110    121.186   -153.250  0.48746    
 111    135.836   -153.250  0.39884    
 112    150.486   -153.250  0.15756    
 113    165.136   -153.250  7.62592E-02
 114    179.786   -153.250  0.10576    
 115    194.436   -153.250  0.13498    
 116    209.086   -153.250  5.91701E-02
 117    223.736   -153.250  0.22566    
 118    238.386   -153.250  6.47864E-02
 119    253.036   -153.250  5.54114E-02
 120    267.686   -153.250  6.33517E-02
 121    267.686   -138.600 -5.60720E-02
 122    253.036   -138.600 -4.85924E-02
 123    238.386   -138.600  1.51722E-02
 124    223.736   -138.600  0.11228    
 125    209.086   -138.600 -1.79936E-02
 126    194.436   -138.600  2.78940E-02
 127    179.786   -138.600  7.09384E-02
 128    165.136   -138.600  0.11663    
 129    150.486   -138.600  0.19499    
 130    135.836   -138.600  0.45498    
 131    121.186   -138.600  0.55930    
 132    106.536   -138.600  0.39190    
 133     91.886   -138.600  0.17700    
 134     77.236   -138.600  0.11319    
 135     62.586   -138.600  0.10763    
 136     47.936   -138.600  2.68333E-02
 137     33.286   -138.600 -8.81578E-02
 138     18.636   -138.600 -6.39365E-02
 139      3.986   -138.600 -4.60005E-02
 140    -10.664   -138.600 -0.18170    
 141    -25.314   -138.600 -0.24144    
 142    -39.964   -138.600 -0.20101    
 143    -54.614   -138.600 -9.32433E-02
 144    -69.264   -138.600  0.15429    
 145    -83.914   -138.600  0.23648    
 146    -98.564   -138.600  0.22631    
 147    -98.564   -123.950  0.15159    
 148    -83.914   -123.950  0.15919    
 149    -69.264   -123.950  0.11563    
 150    -54.614   -123.950 -4.13913E-02
 151    -39.964   -123.950 -0.11245    
 152    -25.314   -123.950 -9.65184E-02
 153    -10.664   -123.950 -0.13452    
 154      3.986   -123.950 -6.77595E-02
 155     18.636   -123.950  8.00603E-03
 156     33.286   -123.950  2.71148E-02
 157     47.936   -123.950 -6.96980E-04
 158     62.586   -123.950  0.11183    
 159     77.236   -123.950  0.11296    
 160     91.886   -123.950  0.21075    
 161    106.536   -123.950  0.42158    
 162    121.186   -123.950  0.55043    
 163    135.836   -123.950  0.40137    
 164    150.486   -123.950  0.19766    
 165    165.136   -123.950  0.15678    
 166    179.786   -123.950  7.82939E-02
 167    194.436   -123.950  6.79079E-03
 168    209.086   -123.950  4.90828E-02
 169    223.736   -123.950  9.14897E-02
 170    238.386   -123.950  0.15139    
 171    253.036   -123.950  0.18462    
 172    267.686   -123.950  0.19356    
 173    267.686   -109.300  0.29462    
 174    253.036   -109.300  0.26110    
 175    238.386   -109.300  0.14116    
 176    223.736   -109.300  0.11225    
 177    209.086   -109.300  0.10354    
 178    194.436   -109.300  6.21387E-02
 179    179.786   -109.300  9.47252E-02
 180    165.136   -109.300  0.11171    
 181    150.486   -109.300  0.14772    
 182    135.836   -109.300  0.28667    
 183    121.186   -109.300  0.35190    
 184    106.536   -109.300  0.33635    
 185     91.886   -109.300  0.25351    
 186     77.236   -109.300  0.15156    
 187     62.586   -109.300  0.11996    
 188     47.936   -109.300 -3.81712E-03
 189     33.286   -109.300  4.38612E-02
 190     18.636   -109.300  4.28142E-02
 191      3.986   -109.300 -3.85114E-02
 192    -10.664   -109.300 -5.92730E-02
 193    -25.314   -109.300  1.68112E-02
