!
! 04-MAR-2019 18:07:12
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -2.6 5.0 /OUTPUT smm1_hcn10_blue.txt
!
 1     33.286   -211.850 -0.84065    
 2     47.936   -211.850   1.0546    
 3     62.586   -211.850  0.34332    
 4     77.236   -211.850  0.89829    
 5     91.886   -211.850  0.75090    
 6    106.536   -211.850   1.0083    
 7    121.186   -211.850   1.5117    
 8    135.836   -211.850   2.2252    
 9    150.486   -211.850   2.1308    
 10    165.136   -211.850   2.7100    
 11    179.786   -211.850   3.0185    
 12    194.436   -211.850   2.9407    
 13    209.086   -211.850   1.2076    
 14    223.736   -211.850  0.62510    
 15    238.386   -211.850  0.32998    
 16    238.386   -197.200  0.40491    
 17    223.736   -197.200  0.43123    
 18    209.086   -197.200   1.1837    
 19    194.436   -197.200   2.9315    
 20    179.786   -197.200   2.9757    
 21    165.136   -197.200   2.7047    
 22    150.486   -197.200   2.1231    
 23    135.836   -197.200   2.2267    
 24    121.186   -197.200   1.5797    
 25    106.536   -197.200   1.0130    
 26     91.886   -197.200  0.75115    
 27     77.236   -197.200  0.88511    
 28     62.586   -197.200  0.34028    
 29     47.936   -197.200   1.0136    
 30     33.286   -197.200 -0.82458    
 31     18.636   -197.200 -0.87217    
 32     18.636   -182.550 -0.20080    
 33     33.286   -182.550 -0.16866    
 34     47.936   -182.550  0.21870    
 35     62.586   -182.550 -0.10649    
 36     77.236   -182.550  0.61966    
 37     91.886   -182.550  0.97509    
 38    106.536   -182.550   1.2869    
 39    121.186   -182.550   2.2111    
 40    135.836   -182.550   2.7294    
 41    150.486   -182.550   2.3876    
 42    165.136   -182.550   2.0124    
 43    179.786   -182.550   1.8899    
 44    194.436   -182.550   1.3297    
 45    209.086   -182.550  0.84872    
 46    223.736   -182.550  0.58552    
 47    238.386   -182.550  0.54098    
 48    238.386   -167.900  0.50307    
 49    223.736   -167.900  0.56742    
 50    209.086   -167.900   1.2451    
 51    194.436   -167.900   1.4371    
 52    179.786   -167.900   1.5613    
 53    165.136   -167.900   2.1023    
 54    150.486   -167.900   2.7598    
 55    135.836   -167.900   2.9016    
 56    121.186   -167.900   2.2239    
 57    106.536   -167.900   1.7178    
 58     91.886   -167.900  0.71298    
 59     77.236   -167.900  0.36096    
 60     62.586   -167.900  0.58449    
 61     47.936   -167.900  0.26760    
 62     33.286   -167.900  0.33224    
 63     18.636   -167.900  0.34760    
 64     18.636   -153.250   1.1347    
 65     33.286   -153.250   1.2593    
 66     47.936   -153.250  0.62164    
 67     62.586   -153.250   1.0435    
 68     77.236   -153.250  0.77840    
 69     91.886   -153.250   1.2124    
 70    106.536   -153.250   1.8121    
 71    121.186   -153.250   2.1997    
 72    135.836   -153.250   2.2612    
 73    150.486   -153.250   3.2529    
 74    165.136   -153.250   3.2324    
 75    179.786   -153.250   2.0588    
 76    194.436   -153.250   1.4626    
 77    209.086   -153.250  0.93123    
 78    223.736   -153.250  0.91771    
 79    238.386   -153.250  0.89498    
 80    238.386   -138.600  0.97027    
 81    223.736   -138.600   1.0165    
 82    209.086   -138.600   1.5400    
 83    194.436   -138.600   1.4378    
