!
! 19-DEC-2018 15:09:29
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -3 -0.5 /OUTPUT smm1_hcn10_blue_1.txt
!
 1     33.286   -211.850  0.18542    
 2     47.936   -211.850  0.12307    
 3     62.586   -211.850  0.32739    
 4     77.236   -211.850  0.22275    
 5     91.886   -211.850  6.53147E-02
 6    106.536   -211.850  0.13726    
 7    121.186   -211.850  0.19880    
 8    135.836   -211.850  0.66828    
 9    150.486   -211.850  0.51025    
 10    165.136   -211.850  0.69578    
 11    179.786   -211.850   1.0681    
 12    194.436   -211.850  0.99244    
 13    209.086   -211.850  0.59461    
 14    223.736   -211.850  0.61185    
 15    238.386   -211.850  0.41590    
 16    238.386   -197.200  0.42504    
 17    223.736   -197.200  0.44351    
 18    209.086   -197.200  0.58904    
 19    194.436   -197.200  0.99121    
 20    179.786   -197.200   1.0560    
 21    165.136   -197.200  0.69536    
 22    150.486   -197.200  0.51336    
 23    135.836   -197.200  0.64658    
 24    121.186   -197.200  0.24185    
 25    106.536   -197.200  0.13770    
 26     91.886   -197.200  6.46822E-02
 27     77.236   -197.200  0.21922    
 28     62.586   -197.200  0.32594    
 29     47.936   -197.200  0.13136    
 30     33.286   -197.200  8.42833E-02
 31     18.636   -197.200 -0.17473    
 32     18.636   -182.550  4.06431E-02
 33     33.286   -182.550  6.98219E-02
 34     47.936   -182.550  0.15453    
 35     62.586   -182.550  0.14628    
 36     77.236   -182.550  0.13994    
 37     91.886   -182.550  0.27072    
 38    106.536   -182.550  0.13798    
 39    121.186   -182.550  0.54087    
 40    135.836   -182.550  0.53547    
 41    150.486   -182.550  0.66112    
 42    165.136   -182.550  0.73990    
 43    179.786   -182.550  0.64649    
 44    194.436   -182.550  0.75564    
 45    209.086   -182.550  0.59460    
 46    223.736   -182.550  0.46084    
 47    238.386   -182.550  0.46016    
 48    238.386   -167.900  0.40396    
 49    223.736   -167.900  0.40124    
 50    209.086   -167.900  0.55845    
 51    194.436   -167.900  0.62156    
 52    179.786   -167.900  0.66586    
 53    165.136   -167.900  0.98397    
 54    150.486   -167.900  0.98192    
 55    135.836   -167.900  0.59833    
 56    121.186   -167.900  0.44001    
 57    106.536   -167.900  0.42014    
 58     91.886   -167.900  6.71372E-02
 59     77.236   -167.900  0.10995    
 60     62.586   -167.900  7.28137E-02
 61     47.936   -167.900  0.13291    
 62     33.286   -167.900  0.14361    
 63     18.636   -167.900  0.14582    
 64     18.636   -153.250  9.83740E-02
 65     33.286   -153.250  0.10856    
 66     47.936   -153.250 -5.15291E-02
 67     62.586   -153.250  1.96198E-02
 68     77.236   -153.250  5.85483E-02
 69     91.886   -153.250  0.28809    
 70    106.536   -153.250  0.33831    
 71    121.186   -153.250  0.60934    
 72    135.836   -153.250  0.84417    
 73    150.486   -153.250   1.3180    
 74    165.136   -153.250   1.6356    
 75    179.786   -153.250  0.95081    
 76    194.436   -153.250  0.66142    
 77    209.086   -153.250  0.37704    
 78    223.736   -153.250  0.56485    
 79    238.386   -153.250  0.58565    
 80    238.386   -138.600  0.28908    
 81    223.736   -138.600  0.30210    
 82    209.086   -138.600  0.59290    
 83    194.436   -138.600  0.67523    
 84    179.786   -138.600   1.3443    
 85    165.136   -138.600   1.6082    
 86    150.486   -138.600   1.6091    
 87    135.836   -138.600   1.0425    
 88    121.186   -138.600  0.97067    
 89    106.536   -138.600  0.64298    
 90     91.886   -138.600  0.45260    
 91     77.236   -138.600  0.32479    
 92     62.586   -138.600  0.12436    
 93     47.936   -138.600  0.26270    
 94     33.286   -138.600  0.37890    
 95     18.636   -138.600  0.40875    
 96      3.986   -138.600  0.27532    
 97    -10.664   -138.600  7.71080E-02
 98    -25.314   -138.600  4.29588E-02
 99    -39.964   -138.600  9.87785E-02
 100    -54.614   -138.600 -0.25711    
 101    -69.264   -138.600  3.83167E-02
 102    -83.914   -138.600  6.58453E-02
 103    -83.914   -123.950  0.10863    
 104    -69.264   -123.950  0.10030    
 105    -54.614   -123.950 -0.24753    
 106    -39.964   -123.950  9.77157E-02
 107    -25.314   -123.950  6.28120E-02
 108    -10.664   -123.950  7.76690E-02
 109      3.986   -123.950  0.28754    
 110     18.636   -123.950  0.74556    
 111     33.286   -123.950   1.0634    
 112     47.936   -123.950   1.1445    
 113     62.586   -123.950   1.0525    
 114     77.236   -123.950  0.89543    
 115     91.886   -123.950  0.94151    
 116    106.536   -123.950   1.3365    
 117    121.186   -123.950   1.1299    
 118    135.836   -123.950  0.97080    
 119    150.486   -123.950   1.3136    
 120    165.136   -123.950   1.4595    
 121    179.786   -123.950   1.0026    
 122    194.436   -123.950  0.54584    
 123    209.086   -123.950  0.46309    
 124    223.736   -123.950  0.38850    
 125    238.386   -123.950  0.38262    
 126    238.386   -109.300  0.11956    
 127    223.736   -109.300  0.12739    
 128    209.086   -109.300  0.23240    
 129    194.436   -109.300  0.38758    
 130    179.786   -109.300  0.72259    
 131    165.136   -109.300  0.77897    
 132    150.486   -109.300   1.0404    
 133    135.836   -109.300  0.90407    
 134    121.186   -109.300   1.0941    
 135    106.536   -109.300   1.2224    
 136     91.886   -109.300   1.1986    
 137     77.236   -109.300   1.3349    
 138     62.586   -109.300   1.5982    
 139     47.936   -109.300   1.7488    
 140     33.286   -109.300   1.4885    
 141     18.636   -109.300  0.90780    
 142      3.986   -109.300  0.37480    
 143    -10.664   -109.300  0.16643    
 144    -25.314   -109.300  0.20591    
 145    -39.964   -109.300  2.28094E-03
 146    -54.614   -109.300  6.68127E-03
 147    -69.264   -109.300  0.16307    
 148    -83.914   -109.300  0.16766    
 149    -83.914    -94.650 -3.68823E-02
 150    -69.264    -94.650 -3.36697E-02
 151    -54.614    -94.650  4.69072E-02
 152    -39.964    -94.650  0.20431    
 153    -25.314    -94.650  0.18003    
 154    -10.664    -94.650  0.45119    
 155      3.986    -94.650  0.36748    
 156     18.636    -94.650  0.78548    
 157     33.286    -94.650  0.90834    
 158     47.936    -94.650   1.2091    
 159     62.586    -94.650   1.3119    
 160     77.236    -94.650  0.96056    
 161     91.886    -94.650  0.71781    
 162    106.536    -94.650  0.73192    
 163    121.186    -94.650  0.79584    
 164    135.836    -94.650  0.77820    
 165    150.486    -94.650  0.83978    
 166    165.136    -94.650  0.36397    
 167    179.786    -94.650  0.36562    
 168    194.436    -94.650  2.16088E-02
 169    209.086    -94.650  0.20059    
 170    223.736    -94.650  3.33958E-02
 171    238.386    -94.650  3.03443E-02
 172    238.386    -80.000 -5.02733E-02
 173    223.736    -80.000 -4.35887E-02
 174    209.086    -80.000  4.98329E-02
 175    194.436    -80.000  8.79867E-02
 176    179.786    -80.000  0.30533    
 177    165.136    -80.000  0.44625    
 178    150.486    -80.000  0.83336    
 179    135.836    -80.000  0.91312    
 180    121.186    -80.000  0.70197    
 181    106.536    -80.000  0.42587    
 182     91.886    -80.000  0.44584    
 183     77.236    -80.000  0.45175    
 184     62.586    -80.000  0.38717    
 185     47.936    -80.000  0.34495    
 186     33.286    -80.000  0.38591    
 187     18.636    -80.000  0.40463    
 188      3.986    -80.000  0.42105    
 189    -10.664    -80.000  0.34405    
 190    -25.314    -80.000  0.10212    
 191    -39.964    -80.000  5.91713E-02
 192    -54.614    -80.000 -6.37690E-03
 193    -69.264    -80.000 -0.17624    
 194    -83.914    -80.000 -0.18322    
 195    -83.914    -65.350  0.32124    
 196    -69.264    -65.350  0.30443    
 197    -54.614    -65.350  2.59440E-02
 198    -39.964    -65.350  3.81131E-02
 199    -25.314    -65.350  0.15737    
 200    -10.664    -65.350  0.46407    
 201      3.986    -65.350  0.54511    
 202     18.636    -65.350  0.34246    
 203     33.286    -65.350  0.37165    
 204     47.936    -65.350  0.15904    
 205     62.586    -65.350  0.14663    
 206     77.236    -65.350  6.54817E-03
 207     91.886    -65.350 -6.46454E-02
 208    106.536    -65.350  0.10990    
 209    121.186    -65.350  0.55155    
 210    135.836    -65.350  0.78143    
 211    150.486    -65.350  0.59267    
 212    165.136    -65.350  0.25507    
 213    179.786    -65.350  0.14106    
 214    194.436    -65.350  0.29727    
 215    209.086    -65.350  0.22423    
 216    223.736    -65.350  5.91936E-02
 217    238.386    -65.350  6.39284E-02
 218    238.386    -50.700 -8.25060E-02
 219    223.736    -50.700 -7.62581E-02
 220    209.086    -50.700  0.11805    
 221    194.436    -50.700 -9.10606E-02
 222    179.786    -50.700  7.91972E-02
 223    165.136    -50.700  0.15777    
 224    150.486    -50.700  0.46675    
 225    135.836    -50.700  0.63483    
 226    121.186    -50.700  0.38423    
 227    106.536    -50.700  0.25984    
 228     91.886    -50.700  0.12572    
 229     77.236    -50.700  0.10115    
 230     62.586    -50.700  0.13989    
 231     47.936    -50.700  0.17104    
 232     33.286    -50.700  0.45169    
 233     18.636    -50.700  0.59301    
 234      3.986    -50.700  0.66270    
 235    -10.664    -50.700  0.22992    
 236    -25.314    -50.700  0.13086    
 237    -39.964    -50.700  0.18355    
 238    -54.614    -50.700  0.17162    
 239    -69.264    -50.700  0.12946    
 240    -83.914    -50.700  0.13346    
 241    -83.914    -36.050  0.15974    
 242    -69.264    -36.050  0.16456    
 243    -54.614    -36.050  0.18833    
 244    -39.964    -36.050  0.39767    
 245    -25.314    -36.050  0.38905    
 246    -10.664    -36.050  0.18389    
 247      3.986    -36.050  0.37631    
 248     18.636    -36.050  0.16010    
 249     33.286    -36.050  0.21841    
 250     47.936    -36.050  0.18785    
 251     62.586    -36.050  0.10339    
 252     77.236    -36.050  2.47014E-02
 253     91.886    -36.050  0.13048    
 254    106.536    -36.050  0.18303    
 255    121.186    -36.050  0.19667    
 256    135.836    -36.050  0.36705    
 257    150.486    -36.050  0.17711    
 258    165.136    -36.050  0.10363    
 259    179.786    -36.050  0.11022    
 260    194.436    -36.050  9.47798E-02
 261    209.086    -36.050 -3.52887E-02
 262    223.736    -36.050  0.21856    
 263    238.386    -36.050  0.24235    
 264    238.386    -21.400 -0.14638    
 265    223.736    -21.400 -0.12753    
 266    209.086    -21.400  0.11008    
 267    194.436    -21.400  3.53750E-02
 268    179.786    -21.400  0.14105    
 269    165.136    -21.400  8.38669E-02
 270    150.486    -21.400  0.35481    
 271    135.836    -21.400  0.19925    
 272    121.186    -21.400  0.17703    
 273    106.536    -21.400  0.19514    
 274     91.886    -21.400  0.21649    
 275     77.236    -21.400  0.20053    
 276     62.586    -21.400  0.25842    
 277     47.936    -21.400  0.33206    
 278     33.286    -21.400  0.21595    
 279     18.636    -21.400  0.10281    
 280      3.986    -21.400  0.43381    
 281    -10.664    -21.400  0.21946    
 282    -25.314    -21.400  0.37498    
 283    -39.964    -21.400  0.36265    
 284    -54.614    -21.400  0.27532    
 285    -69.264    -21.400  9.98063E-02
 286    -83.914    -21.400  8.70786E-02
 287    -83.914     -6.750  0.20873    
 288    -69.264     -6.750  0.21819    
 289    -54.614     -6.750  0.38402    
 290    -39.964     -6.750  0.43349    
 291    -25.314     -6.750  0.38734    
 292    -10.664     -6.750  0.21434    
 293      3.986     -6.750  0.39327    
