!
! 19-DEC-2018 15:10:01
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 10 12 /OUTPUT smm1_hcn10_blue_3.txt
!
 1     33.286   -211.850  0.33088    
 2     47.936   -211.850  0.40115    
 3     62.586   -211.850  0.70062    
 4     77.236   -211.850  0.53526    
 5     91.886   -211.850  0.80752    
 6    106.536   -211.850   1.1340    
 7    121.186   -211.850   1.8024    
 8    135.836   -211.850   2.0577    
 9    150.486   -211.850   1.6769    
 10    165.136   -211.850   1.8815    
 11    179.786   -211.850   1.9439    
 12    194.436   -211.850   2.0276    
 13    209.086   -211.850   1.5953    
 14    223.736   -211.850   1.5090    
 15    238.386   -211.850   1.2658    
 16    238.386   -197.200   1.1981    
 17    223.736   -197.200   1.2246    
 18    209.086   -197.200   1.5827    
 19    194.436   -197.200   2.0260    
 20    179.786   -197.200   1.9490    
 21    165.136   -197.200   1.8843    
 22    150.486   -197.200   1.6951    
 23    135.836   -197.200   2.0649    
 24    121.186   -197.200   1.8177    
 25    106.536   -197.200   1.1416    
 26     91.886   -197.200  0.81402    
 27     77.236   -197.200  0.53500    
 28     62.586   -197.200  0.69902    
 29     47.936   -197.200  0.40196    
 30     33.286   -197.200  0.27974    
 31     18.636   -197.200  0.15595    
 32     18.636   -182.550  0.15673    
 33     33.286   -182.550  0.12345    
 34     47.936   -182.550  0.36114    
 35     62.586   -182.550  0.55019    
 36     77.236   -182.550  0.76606    
 37     91.886   -182.550   1.0330    
 38    106.536   -182.550   1.7476    
 39    121.186   -182.550   2.4149    
 40    135.836   -182.550   2.5667    
 41    150.486   -182.550   2.3101    
 42    165.136   -182.550   2.1066    
 43    179.786   -182.550   1.8838    
 44    194.436   -182.550   1.7623    
 45    209.086   -182.550   1.4197    
 46    223.736   -182.550  0.87590    
 47    238.386   -182.550  0.85545    
 48    238.386   -167.900  0.68231    
 49    223.736   -167.900  0.69885    
 50    209.086   -167.900   1.1518    
 51    194.436   -167.900   1.4436    
 52    179.786   -167.900   2.0008    
 53    165.136   -167.900   2.4764    
 54    150.486   -167.900   2.7741    
 55    135.836   -167.900   2.7948    
 56    121.186   -167.900   2.5608    
 57    106.536   -167.900   2.1133    
 58     91.886   -167.900   1.3792    
 59     77.236   -167.900  0.85411    
 60     62.586   -167.900  0.54187    
 61     47.936   -167.900  0.28686    
 62     33.286   -167.900  0.26495    
 63     18.636   -167.900  0.25956    
 64     18.636   -153.250  0.44090    
 65     33.286   -153.250  0.45095    
 66     47.936   -153.250  0.52858    
 67     62.586   -153.250  0.65131    
 68     77.236   -153.250  0.96668    
 69     91.886   -153.250   1.4199    
 70    106.536   -153.250   2.3657    
 71    121.186   -153.250   2.7554    
 72    135.836   -153.250   2.6353    
 73    150.486   -153.250   2.9255    
 74    165.136   -153.250   2.8095    
 75    179.786   -153.250   2.2748    
 76    194.436   -153.250   1.4574    
 77    209.086   -153.250   1.2139    
 78    223.736   -153.250   1.0305    
 79    238.386   -153.250   1.0175    
 80    238.386   -138.600   1.0711    
 81    223.736   -138.600   1.0759    
 82    209.086   -138.600   1.2523    
 83    194.436   -138.600   1.8338    
 84    179.786   -138.600   2.3815    
 85    165.136   -138.600   2.8911    
 86    150.486   -138.600   2.9662    
 87    135.836   -138.600   2.9596    
 88    121.186   -138.600   3.4908    
 89    106.536   -138.600   3.3716    
 90     91.886   -138.600   2.3279    
 91     77.236   -138.600   1.6122    
 92     62.586   -138.600   1.4516    
 93     47.936   -138.600   1.1187    
 94     33.286   -138.600  0.97113    
 95     18.636   -138.600   1.0516    
 96      3.986   -138.600   1.3222    
 97    -10.664   -138.600  0.97903    
 98    -25.314   -138.600  0.86068    
 99    -39.964   -138.600  0.64986    
 100    -54.614   -138.600  0.49722    
 101    -69.264   -138.600  1.14809E-02
 102    -83.914   -138.600 -0.33629    
 103    -83.914   -123.950 -0.25038    
 104    -69.264   -123.950 -0.20655    
 105    -54.614   -123.950  0.48988    
 106    -39.964   -123.950  0.65060    
 107    -25.314   -123.950  0.86379    
 108    -10.664   -123.950  0.97999    
 109      3.986   -123.950   1.3151    
 110     18.636   -123.950   1.6720    
