!
! 04-MAR-2019 19:21:25
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 8.9 10. /OUTPUT smm1_hcn10_maincomp_red.txt
!
 1     33.286   -211.850  0.23463    
 2     47.936   -211.850  7.26904E-02
 3     62.586   -211.850  4.05638E-02
 4     77.236   -211.850 -1.36529E-02
 5     91.886   -211.850 -5.87527E-02
 6    106.536   -211.850  0.49728    
 7    121.186   -211.850  0.67602    
 8    135.836   -211.850  0.68797    
 9    150.486   -211.850  0.38282    
 10    165.136   -211.850  0.25510    
 11    179.786   -211.850  0.28375    
 12    194.436   -211.850  0.41163    
 13    209.086   -211.850  0.28283    
 14    223.736   -211.850  0.37820    
 15    238.386   -211.850  0.17519    
 16    238.386   -197.200  0.20782    
 17    223.736   -197.200  0.21398    
 18    209.086   -197.200  0.27086    
 19    194.436   -197.200  0.40785    
 20    179.786   -197.200  0.27255    
 21    165.136   -197.200  0.25439    
 22    150.486   -197.200  0.39689    
 23    135.836   -197.200  0.68928    
 24    121.186   -197.200  0.70419    
 25    106.536   -197.200  0.50036    
 26     91.886   -197.200 -5.47799E-02
 27     77.236   -197.200  1.60374E-03
 28     62.586   -197.200  4.07452E-02
 29     47.936   -197.200  8.52747E-02
 30     33.286   -197.200  0.14045    
 31     18.636   -197.200 -9.16918E-02
 32     18.636   -182.550  3.61414E-02
 33     33.286   -182.550  6.02575E-03
 34     47.936   -182.550  7.62677E-02
 35     62.586   -182.550  8.02484E-02
 36     77.236   -182.550  4.23158E-02
 37     91.886   -182.550  7.37918E-02
 38    106.536   -182.550  0.43960    
 39    121.186   -182.550  0.97939    
 40    135.836   -182.550   1.0482    
 41    150.486   -182.550  0.52865    
 42    165.136   -182.550  0.20573    
 43    179.786   -182.550  8.12405E-02
 44    194.436   -182.550  8.73297E-02
 45    209.086   -182.550  9.99211E-02
 46    223.736   -182.550  1.70289E-02
 47    238.386   -182.550  1.82964E-02
 48    238.386   -167.900  1.36438E-02
 49    223.736   -167.900  2.09535E-02
 50    209.086   -167.900  2.87985E-02
 51    194.436   -167.900 -8.32219E-04
 52    179.786   -167.900  4.05103E-02
 53    165.136   -167.900  0.25579    
 54    150.486   -167.900  0.62820    
 55    135.836   -167.900   1.0156    
 56    121.186   -167.900  0.93078    
 57    106.536   -167.900  0.57112    
 58     91.886   -167.900  0.28179    
 59     77.236   -167.900  0.17478    
 60     62.586   -167.900  7.63373E-02
 61     47.936   -167.900  0.13365    
 62     33.286   -167.900  0.14012    
 63     18.636   -167.900  0.14130    
 64     18.636   -153.250  0.21130    
 65     33.286   -153.250  0.23033    
 66     47.936   -153.250  0.12757    
 67     62.586   -153.250  0.23295    
 68     77.236   -153.250  0.16726    
 69     91.886   -153.250  0.34652    
 70    106.536   -153.250  0.74203    
 71    121.186   -153.250  0.93758    
 72    135.836   -153.250  0.85165    
 73    150.486   -153.250  0.56473    
 74    165.136   -153.250  0.35324    
 75    179.786   -153.250  5.73931E-02
 76    194.436   -153.250  7.42032E-02
 77    209.086   -153.250  0.11061    
 78    223.736   -153.250 -4.52927E-02
 79    238.386   -153.250 -5.70167E-02
 80    238.386   -138.600  5.86428E-03
 81    223.736   -138.600  2.01041E-02
 82    209.086   -138.600  0.11980    
 83    194.436   -138.600  0.14219    
 84    179.786   -138.600  0.15615    
 85    165.136   -138.600  0.26645    
 86    150.486   -138.600  0.45381    
 87    135.836   -138.600  0.85890    
 88    121.186   -138.600   1.1350    
 89    106.536   -138.600  0.89213    
 90     91.886   -138.600  0.48032    
 91     77.236   -138.600  0.37840    
 92     62.586   -138.600  0.38125    
 93     47.936   -138.600  0.43987    
 94     33.286   -138.600  0.40160    
 95     18.636   -138.600  0.44875    
 96      3.986   -138.600  0.28073    
 97    -10.664   -138.600  0.18707    
 98    -25.314   -138.600  0.30960    
 99    -39.964   -138.600  7.07025E-02
 100    -54.614   -138.600  8.53985E-02
 101    -69.264   -138.600 -0.10288    
 102    -83.914   -138.600 -0.27847    
 103    -83.914   -123.950 -0.10783    
 104    -69.264   -123.950 -8.75209E-02
 105    -54.614   -123.950  8.93184E-02
 106    -39.964   -123.950  7.03300E-02
 107    -25.314   -123.950  0.29493    
 108    -10.664   -123.950  0.18751    
 109      3.986   -123.950  0.28459    
 110     18.636   -123.950  0.57284    
 111     33.286   -123.950  0.80313    
 112     47.936   -123.950  0.92655    
 113     62.586   -123.950  0.82424    
 114     77.236   -123.950  0.74382    
 115     91.886   -123.950  0.68503    
 116    106.536   -123.950  0.98346    
 117    121.186   -123.950  0.99982    
 118    135.836   -123.950  0.74246    
 119    150.486   -123.950  0.31677    
 120    165.136   -123.950  0.18455    
 121    179.786   -123.950  0.11562    
 122    194.436   -123.950  0.12329    
 123    209.086   -123.950 -1.90800E-03
 124    223.736   -123.950  0.21222    
 125    238.386   -123.950  0.22561    
 126    238.386   -109.300  0.14406    
 127    223.736   -109.300  0.13518    
 128    209.086   -109.300  0.14908    
 129    194.436   -109.300  0.26625    
 130    179.786   -109.300  0.33875    
 131    165.136   -109.300  0.29975    
 132    150.486   -109.300  0.39462    
 133    135.836   -109.300  0.51159    
 134    121.186   -109.300  0.74220    
 135    106.536   -109.300  0.86096    
 136     91.886   -109.300  0.98840    
 137     77.236   -109.300   1.0403    
 138     62.586   -109.300   1.1851    
 139     47.936   -109.300   1.1996    
 140     33.286   -109.300  0.97467    
 141     18.636   -109.300  0.58196    
 142      3.986   -109.300  0.36378    
 143    -10.664   -109.300  0.22223    
 144    -25.314   -109.300  0.22385    
 145    -39.964   -109.300  0.22889    
 146    -54.614   -109.300  0.19050    
 147    -69.264   -109.300  3.26225E-02
 148    -83.914   -109.300  1.87969E-02
 149    -83.914    -94.650  7.91122E-02
 150    -69.264    -94.650  8.73777E-02
 151    -54.614    -94.650  0.26895    
 152    -39.964    -94.650  0.18426    
 153    -25.314    -94.650  0.23255    
 154    -10.664    -94.650  0.29632    
 155      3.986    -94.650  0.33051    
 156     18.636    -94.650  0.42062    
 157     33.286    -94.650  0.65995    
 158     47.936    -94.650  0.83270    
 159     62.586    -94.650  0.90800    
 160     77.236    -94.650  0.90059    
 161     91.886    -94.650  0.68289    
 162    106.536    -94.650  0.57965    
 163    121.186    -94.650  0.51534    
 164    135.836    -94.650  0.51157    
 165    150.486    -94.650  0.50980    
 166    165.136    -94.650  0.52279    
 167    179.786    -94.650  0.31316    
 168    194.436    -94.650  0.42383    
 169    209.086    -94.650  0.12941    
 170    223.736    -94.650  9.31513E-02
 171    238.386    -94.650  9.13821E-02
 172    238.386    -80.000  0.27606    
 173    223.736    -80.000  0.26661    
 174    209.086    -80.000  0.31110    
 175    194.436    -80.000  0.43461    
 176    179.786    -80.000  0.46430    
 177    165.136    -80.000  0.48337    
 178    150.486    -80.000  0.54558    
 179    135.836    -80.000  0.40731    
 180    121.186    -80.000  0.22780    
 181    106.536    -80.000  0.31348    
 182     91.886    -80.000  0.32054    
 183     77.236    -80.000  0.39895    
 184     62.586    -80.000  0.42263    
 185     47.936    -80.000  0.32567    
 186     33.286    -80.000  0.28288    
 187     18.636    -80.000  0.37082    
 188      3.986    -80.000  0.34063    
 189    -10.664    -80.000  0.25363    
 190    -25.314    -80.000  0.32637    
 191    -39.964    -80.000  0.32314    
 192    -54.614    -80.000  0.26977    
 193    -69.264    -80.000  7.75266E-02
 194    -83.914    -80.000  7.21961E-02
 195    -83.914    -65.350  0.10769    
 196    -69.264    -65.350  0.11562    
 197    -54.614    -65.350  0.28553    
 198    -39.964    -65.350  0.40435    
 199    -25.314    -65.350  0.45764    
 200    -10.664    -65.350  0.41986    
 201      3.986    -65.350  0.46630    
 202     18.636    -65.350  0.47409    
 203     33.286    -65.350  0.32716    
 204     47.936    -65.350  0.20832    
 205     62.586    -65.350  0.22665    
 206     77.236    -65.350  0.13582    
 207     91.886    -65.350  0.22576    
 208    106.536    -65.350  0.27703    
 209    121.186    -65.350  0.29363    
 210    135.836    -65.350  0.26865    
 211    150.486    -65.350  0.25121    
 212    165.136    -65.350  0.29313    
 213    179.786    -65.350  0.49457    
 214    194.436    -65.350  0.63510    
 215    209.086    -65.350  0.62590    
 216    223.736    -65.350  0.25642    
 217    238.386    -65.350  0.23211    
 218    238.386    -50.700  0.63754    
 219    223.736    -50.700  0.66217    
 220    209.086    -50.700   1.0647    
 221    194.436    -50.700  0.98871    
 222    179.786    -50.700  0.64203    
 223    165.136    -50.700  0.25415    
 224    150.486    -50.700  0.28986    
 225    135.836    -50.700  0.24914    
 226    121.186    -50.700  0.25764    
 227    106.536    -50.700  0.35349    
 228     91.886    -50.700  0.21933    
 229     77.236    -50.700  0.14857    
 230     62.586    -50.700  0.25818    
 231     47.936    -50.700  0.28669    
 232     33.286    -50.700  0.47153    
 233     18.636    -50.700  0.76530    
 234      3.986    -50.700  0.63655    
 235    -10.664    -50.700  0.52604    
 236    -25.314    -50.700  0.70551    
 237    -39.964    -50.700  0.58181    
 238    -54.614    -50.700  0.41495    
 239    -69.264    -50.700  0.18579    
 240    -83.914    -50.700  0.17233    
 241    -83.914    -36.050  6.35045E-02
 242    -69.264    -36.050  8.27365E-02
 243    -54.614    -36.050  0.35155    
 244    -39.964    -36.050  0.67681    
 245    -25.314    -36.050  0.76820    
 246    -10.664    -36.050  0.67402    
 247      3.986    -36.050  0.82240    
 248     18.636    -36.050  0.79009    
 249     33.286    -36.050  0.47443    
 250     47.936    -36.050  0.23512    
 251     62.586    -36.050  0.23845    
 252     77.236    -36.050  8.60267E-02
 253     91.886    -36.050  0.16404    
 254    106.536    -36.050  0.17148    
 255    121.186    -36.050  0.31064    
 256    135.836    -36.050  0.25208    
 257    150.486    -36.050  0.10611    
 258    165.136    -36.050  0.29530    
 259    179.786    -36.050  0.56365    
 260    194.436    -36.050  0.93355    
 261    209.086    -36.050   1.2244    
 262    223.736    -36.050  0.98159    
 263    238.386    -36.050  0.96406    
 264    238.386    -21.400  0.94840    
 265    223.736    -21.400  0.92368    
 266    209.086    -21.400  0.85588    
 267    194.436    -21.400  0.54799    
 268    179.786    -21.400  0.44337    
 269    165.136    -21.400  0.28062    
 270    150.486    -21.400  0.28320    
 271    135.836    -21.400  0.32905    
 272    121.186    -21.400  0.31000    
 273    106.536    -21.400  0.16731    
 274     91.886    -21.400  0.19430    
 275     77.236    -21.400  0.24585    
 276     62.586    -21.400  0.33286    
 277     47.936    -21.400  0.46871    
 278     33.286    -21.400  0.58970    
 279     18.636    -21.400  0.79718    
 280      3.986    -21.400  0.92793    
 281    -10.664    -21.400  0.84248    
 282    -25.314    -21.400  0.72924    
 283    -39.964    -21.400  0.52072    
 284    -54.614    -21.400  0.28436    
 285    -69.264    -21.400  3.87449E-02
 286    -83.914    -21.400  1.56961E-02
 287    -83.914     -6.750  0.22957    
 288    -69.264     -6.750  0.23633    
 289    -54.614     -6.750  0.36247    
 290    -39.964     -6.750  0.51205    
 291    -25.314     -6.750  0.70956    
 292    -10.664     -6.750   1.0333    
 293      3.986     -6.750   1.1080    
 294     18.636     -6.750  0.78703    
 295     33.286     -6.750  0.56699    
 296     47.936     -6.750  0.52402    
 297     62.586     -6.750  0.32965    
 298     77.236     -6.750  0.22525    
 299     91.886     -6.750  0.18060    
 300    106.536     -6.750  0.17692    
 301    121.186     -6.750  0.19279    
 302    135.836     -6.750  0.18247    
 303    150.486     -6.750  0.32649    
 304    165.136     -6.750  0.30561    
 305    179.786     -6.750  0.28994    
 306    194.436     -6.750  0.21148    
 307    209.086     -6.750  0.19038    
 308    223.736     -6.750  8.54633E-02
 309    238.386     -6.750  0.96987    
 310    223.736      7.900  3.22760E-02
 311    209.086      7.900  0.13532    
 312    194.436      7.900  0.17957    
 313    179.786      7.900  0.27697    
 314    165.136      7.900  0.31128    
 315    150.486      7.900  0.29961    
 316    135.836      7.900  0.15541    
 317    121.186      7.900  0.15510    
 318    106.536      7.900  0.17283    
 319     91.886      7.900  0.18443    
 320     77.236      7.900  0.20659    
 321     62.586      7.900  0.34780    
 322     47.936      7.900  0.49472    
 323     33.286      7.900  0.55744    
 324     18.636      7.900  0.78586    
 325      3.986      7.900  0.97288    
 326    -10.664      7.900   1.0396    
 327    -25.314      7.900  0.69102    
 328    -39.964      7.900  0.47388    
 329    -54.614      7.900  0.41973    
 330    -69.264      7.900  0.33290    
 331    -83.914      7.900  0.32497    
 332    -83.914     22.550  0.19052    
 333    -69.264     22.550  0.20264    
 334    -54.614     22.550  0.26522    
 335    -39.964     22.550  0.34724    
 336    -25.314     22.550  0.41554    
 337    -10.664     22.550  0.78318    
 338      3.986     22.550  0.84749    
 339     18.636     22.550  0.84573    
 340     33.286     22.550   1.0046    
 341     47.936     22.550  0.74931    
 342     62.586     22.550  0.39877    
 343     77.236     22.550  0.39999    
 344     91.886     22.550  0.18442    
 345    106.536     22.550  0.17404    
 346    121.186     22.550  0.15594    
 347    135.836     22.550  0.15305    
 348    150.486     22.550  0.30121    
 349    165.136     22.550  0.31041    
 350    179.786     22.550  0.27748    
 351    194.436     22.550  0.17935    
 352    209.086     22.550  0.13486    
 353     77.236     37.200  0.22529    
 354     62.586     37.200  0.23117    
 355     47.936     37.200  0.61553    
 356     33.286     37.200  0.85910    
 357     18.636     37.200  0.76136    
 358      3.986     37.200  0.73978    
 359    -10.664     37.200  0.82509    
 360    -25.314     37.200  0.53848    
 361    -39.964     37.200  0.38103    
 362    -54.614     37.200  0.36040    
 363    -69.264     37.200  8.84689E-02
 364    -83.914     37.200  6.90982E-02
 365    -83.914     51.850  0.15401    
 366    -69.264     51.850  0.16439    
 367    -54.614     51.850  0.24367    
 368    -39.964     51.850  0.35939    
 369    -25.314     51.850  0.84844    
 370    -10.664     51.850   1.1116    
 371      3.986     51.850  0.72033    
 372     18.636     51.850  0.42190    
 373     33.286     51.850  0.34335    
 374     47.936     51.850  0.29719    
 375     62.586     51.850  3.00251E-02
 376     77.236     51.850  1.47762E-02
 377     77.236     66.500 -8.17285E-02
 378     62.586     66.500 -7.92635E-02
 379     47.936     66.500  1.23276E-02
 380     33.286     66.500  0.20634    
 381     18.636     66.500  0.27195    
 382      3.986     66.500  0.85606    
 383    -10.664     66.500   1.9849    
 384    -25.314     66.500   1.9253    
 385    -39.964     66.500   1.0376    
 386    -54.614     66.500  0.71561    
 387    -69.264     66.500  0.60837    
 388    -83.914     66.500  0.60750    
 389    -83.914     81.150   1.1446    
 390    -69.264     81.150   1.1389    
 391    -54.614     81.150  0.98871    
 392    -39.964     81.150   1.6842    
 393    -25.314     81.150   2.5001    
 394    -10.664     81.150   2.2195    
 395      3.986     81.150  0.84301    
 396     18.636     81.150  0.24425    
 397     33.286     81.150  4.98194E-02
 398     47.936     81.150  0.16885    
 399     62.586     81.150 -5.76873E-02
 400     77.236     81.150 -6.41070E-02
 401     77.236     95.800 -5.45631E-03
 402     62.586     95.800  5.77436E-03
 403     47.936     95.800  0.10389    
 404     33.286     95.800  0.11926    
 405     18.636     95.800  0.26063    
 406      3.986     95.800  0.63498    
 407    -10.664     95.800   1.6540    
 408    -25.314     95.800   2.3267    
 409    -39.964     95.800   1.7510    
 410    -54.614     95.800   1.2067    
 411    -69.264     95.800   1.3814    
 412    -83.914     95.800   1.3908    
 413    -83.914    110.450   1.5080    
 414    -69.264    110.450   1.4727    
 415    -54.614    110.450  0.91691    
 416    -39.964    110.450   1.2523    
 417    -25.314    110.450   1.3600    
 418    -10.664    110.450  0.82519    
 419      3.986    110.450  0.33480    
 420     18.636    110.450  0.17390    
 421     33.286    110.450  0.23554    
 422     47.936    110.450  0.14970    
 423     62.586    110.450  0.13173    
 424     77.236    110.450  0.13246    
 425     77.236    125.100  3.33338E-02
 426     62.586    125.100  1.66152E-02
 427     47.936    125.100  0.15158    
 428     33.286    125.100  0.29215    
 429     18.636    125.100  0.36864    
 430      3.986    125.100  0.36703    
 431    -10.664    125.100  0.41530    
 432    -25.314    125.100  0.60536    
 433    -39.964    125.100  0.54717    
 434    -54.614    125.100  0.55434    
 435    -69.264    125.100  0.99659    
 436    -83.914    125.100   1.0319    
 437    -83.914    139.750  0.26940    
 438    -69.264    139.750  0.26853    
 439    -54.614    139.750  0.30208    
 440    -39.964    139.750  0.49274    
 441    -25.314    139.750  0.40414    
 442    -10.664    139.750  0.21997    
 443      3.986    139.750  0.31439    
 444     18.636    139.750  0.26348    
 445     33.286    139.750  0.22084    
 446     47.936    139.750  0.20516    
 447     62.586    139.750 -5.71811E-03
 448     77.236    139.750  1.73259E-02
 449     62.586    154.400  0.31750    
 450     47.936    154.400  0.19439    
 451     33.286    154.400  0.16118    
 452     18.636    154.400  0.35829    
 453      3.986    154.400  0.40920    
 454    -10.664    154.400  0.26480    
 455    -25.314    154.400  0.47895    
 456    -39.964    154.400  0.30756    
 457    -54.614    154.400  0.24681    
 458    -69.264    154.400  0.31578    
 459    -83.914    154.400  0.22341    
 460    -69.264    169.050  0.31644    
 461    -54.614    169.050  0.24680    
 462    -39.964    169.050  0.30755    
 463    -25.314    169.050  0.47896    
 464    -10.664    169.050  0.26481    
 465      3.986    169.050  0.40920    
 466     18.636    169.050  0.35831    
 467     33.286    169.050  0.16118    
 468     47.936    169.050  0.19439    
 469     62.586    169.050  0.31851    
