!
! 04-MAR-2019 18:07:42
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 14.9 16.5 /OUTPUT smm1_hcn10_red.txt
!
 1     33.286   -211.850  1.74644E-03
 2     47.936   -211.850  7.41543E-02
 3     62.586   -211.850  8.45016E-02
 4     77.236   -211.850  5.41299E-02
 5     91.886   -211.850  0.11524    
 6    106.536   -211.850  0.51159    
 7    121.186   -211.850  0.71369    
 8    135.836   -211.850  0.53983    
 9    150.486   -211.850  0.17083    
 10    165.136   -211.850  0.22508    
 11    179.786   -211.850  2.78836E-02
 12    194.436   -211.850  0.18776    
 13    209.086   -211.850 -3.08766E-02
 14    223.736   -211.850 -2.54591E-02
 15    238.386   -211.850 -0.29632    
 16    238.386   -197.200 -0.23065    
 17    223.736   -197.200 -0.20070    
 18    209.086   -197.200 -3.10444E-02
 19    194.436   -197.200  0.18581    
 20    179.786   -197.200  4.69324E-02
 21    165.136   -197.200  0.22422    
 22    150.486   -197.200  0.17310    
 23    135.836   -197.200  0.55832    
 24    121.186   -197.200  0.74567    
 25    106.536   -197.200  0.51778    
 26     91.886   -197.200  0.11947    
 27     77.236   -197.200  5.86109E-02
 28     62.586   -197.200  8.36189E-02
 29     47.936   -197.200  8.73446E-02
 30     33.286   -197.200  3.68576E-03
 31     18.636   -197.200 -5.03905E-03
 32     18.636   -182.550 -8.49861E-02
 33     33.286   -182.550 -4.96961E-02
 34     47.936   -182.550  3.75397E-02
 35     62.586   -182.550 -5.87827E-03
 36     77.236   -182.550  8.22487E-02
 37     91.886   -182.550  0.30235    
 38    106.536   -182.550  0.72457    
 39    121.186   -182.550   1.1969    
 40    135.836   -182.550  0.94860    
 41    150.486   -182.550  0.30452    
 42    165.136   -182.550  3.27712E-02
 43    179.786   -182.550 -4.29565E-02
 44    194.436   -182.550  4.48120E-02
 45    209.086   -182.550  4.40373E-02
 46    223.736   -182.550 -0.16506    
 47    238.386   -182.550 -0.16865    
 48    238.386   -167.900  4.30954E-02
 49    223.736   -167.900  4.71199E-02
 50    209.086   -167.900  4.96455E-02
 51    194.436   -167.900  5.27379E-02
 52    179.786   -167.900  4.40243E-02
 53    165.136   -167.900  6.18095E-02
 54    150.486   -167.900  0.31953    
 55    135.836   -167.900  0.88114    
 56    121.186   -167.900   1.0910    
 57    106.536   -167.900  0.60456    
 58     91.886   -167.900  0.23113    
 59     77.236   -167.900  6.13975E-02
 60     62.586   -167.900  0.10352    
 61     47.936   -167.900  7.67696E-02
 62     33.286   -167.900 -6.91009E-02
 63     18.636   -167.900 -7.14837E-02
 64     18.636   -153.250 -4.01413E-02
 65     33.286   -153.250 -1.96124E-02
 66     47.936   -153.250  2.65324E-02
 67     62.586   -153.250  0.12280    
 68     77.236   -153.250  4.45422E-02
 69     91.886   -153.250  0.17501    
 70    106.536   -153.250  0.69441    
 71    121.186   -153.250  0.77522    
 72    135.836   -153.250  0.64243    
 73    150.486   -153.250  0.27369    
 74    165.136   -153.250  0.15523    
 75    179.786   -153.250  0.14868    
 76    194.436   -153.250 -1.99197E-02
 77    209.086   -153.250  1.90889E-02
 78    223.736   -153.250  0.12695    
 79    238.386   -153.250  0.13497    
 80    238.386   -138.600  0.10740    
 81    223.736   -138.600  0.10084    
 82    209.086   -138.600  7.04842E-02
 83    194.436   -138.600 -8.86436E-02
 84    179.786   -138.600  5.60650E-02
 85    165.136   -138.600  0.13806    
 86    150.486   -138.600  0.13275    
 87    135.836   -138.600  0.37014    
 88    121.186   -138.600  0.64010    
 89    106.536   -138.600  0.78945    
 90     91.886   -138.600  0.30619    
