!
! 19-DEC-2018 15:08:24
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 0.5 3 /OUTPUT smm1_hcn10_red_1.txt
!
 1     33.286   -211.850 -0.30160    
 2     47.936   -211.850  0.24845    
 3     62.586   -211.850  2.86368E-02
 4     77.236   -211.850  0.20652    
 5     91.886   -211.850  0.25278    
 6    106.536   -211.850  0.47398    
 7    121.186   -211.850  0.49665    
 8    135.836   -211.850  0.46705    
 9    150.486   -211.850  0.48426    
 10    165.136   -211.850  0.71962    
 11    179.786   -211.850  0.66713    
 12    194.436   -211.850  0.62585    
 13    209.086   -211.850  0.28872    
 14    223.736   -211.850 -3.03937E-02
 15    238.386   -211.850  4.05677E-03
 16    238.386   -197.200  2.48200E-02
 17    223.736   -197.200  3.06163E-02
 18    209.086   -197.200  0.28803    
 19    194.436   -197.200  0.62044    
 20    179.786   -197.200  0.63651    
 21    165.136   -197.200  0.71616    
 22    150.486   -197.200  0.48469    
 23    135.836   -197.200  0.47626    
 24    121.186   -197.200  0.48811    
 25    106.536   -197.200  0.46918    
 26     91.886   -197.200  0.25098    
 27     77.236   -197.200  0.20161    
 28     62.586   -197.200  2.86010E-02
 29     47.936   -197.200  0.22962    
 30     33.286   -197.200 -0.28138    
 31     18.636   -197.200 -0.25168    
 32     18.636   -182.550 -9.32520E-02
 33     33.286   -182.550 -0.10002    
 34     47.936   -182.550  0.12895    
 35     62.586   -182.550 -3.52612E-02
 36     77.236   -182.550  0.15606    
 37     91.886   -182.550  0.29332    
 38    106.536   -182.550  0.39958    
 39    121.186   -182.550  0.53330    
 40    135.836   -182.550  0.55504    
 41    150.486   -182.550  0.45569    
 42    165.136   -182.550  0.31940    
 43    179.786   -182.550  0.16785    
 44    194.436   -182.550  0.18141    
 45    209.086   -182.550  7.24788E-03
 46    223.736   -182.550  0.16972    
 47    238.386   -182.550  0.17118    
 48    238.386   -167.900  0.22631    
 49    223.736   -167.900  0.23355    
 50    209.086   -167.900  0.31393    
 51    194.436   -167.900  0.19585    
 52    179.786   -167.900  0.17995    
 53    165.136   -167.900  0.22075    
 54    150.486   -167.900  0.44005    
 55    135.836   -167.900  0.75311    
 56    121.186   -167.900  0.63465    
 57    106.536   -167.900  0.31795    
 58     91.886   -167.900  0.26759    
 59     77.236   -167.900  0.19209    
 60     62.586   -167.900  0.32158    
 61     47.936   -167.900  0.15582    
 62     33.286   -167.900  0.12773    
 63     18.636   -167.900  0.13119    
 64     18.636   -153.250  0.41450    
 65     33.286   -153.250  0.47101    
 66     47.936   -153.250  0.43681    
 67     62.586   -153.250  0.51215    
 68     77.236   -153.250  0.41672    
 69     91.886   -153.250  0.32706    
 70    106.536   -153.250  0.49122    
 71    121.186   -153.250  0.64569    
 72    135.836   -153.250  0.51538    
 73    150.486   -153.250  0.39016    
 74    165.136   -153.250  0.46826    
 75    179.786   -153.250  0.22756    
 76    194.436   -153.250  0.27096    
 77    209.086   -153.250  0.17376    
 78    223.736   -153.250  6.77103E-02
 79    238.386   -153.250  6.00447E-02
 80    238.386   -138.600  7.00573E-02
 81    223.736   -138.600  8.41561E-02
 82    209.086   -138.600  0.22078    
 83    194.436   -138.600  0.24389    
 84    179.786   -138.600  0.20801    
 85    165.136   -138.600  0.37925    
 86    150.486   -138.600  0.52360    
 87    135.836   -138.600  0.58870    
 88    121.186   -138.600  0.66855    
 89    106.536   -138.600  0.60987    
 90     91.886   -138.600  0.62746    
 91     77.236   -138.600  0.51755    
 92     62.586   -138.600  0.66450    
 93     47.936   -138.600  0.42049    
 94     33.286   -138.600  0.53825    
 95     18.636   -138.600  0.50565    
 96      3.986   -138.600  0.48184    
 97    -10.664   -138.600  0.23538    
 98    -25.314   -138.600  0.40666    
 99    -39.964   -138.600  0.26148    
 100    -54.614   -138.600  0.23145    
 101    -69.264   -138.600  3.51161E-03
 102    -83.914   -138.600 -4.07085E-02
 103    -83.914   -123.950  4.34642E-03
 104    -69.264   -123.950  2.18500E-02
 105    -54.614   -123.950  0.23465    
 106    -39.964   -123.950  0.25837    
 107    -25.314   -123.950  0.38566    
 108    -10.664   -123.950  0.23374    
 109      3.986   -123.950  0.47395    
 110     18.636   -123.950  0.73306    
 111     33.286   -123.950   1.4610    
 112     47.936   -123.950   1.6214    
 113     62.586   -123.950   1.5282    
 114     77.236   -123.950   1.0963    
 115     91.886   -123.950  0.96181    
 116    106.536   -123.950   1.0971    
 117    121.186   -123.950  0.86235    
 118    135.836   -123.950  0.67565    
 119    150.486   -123.950  0.44546    
 120    165.136   -123.950  0.39435    
 121    179.786   -123.950  0.26880    
 122    194.436   -123.950  0.14090    
 123    209.086   -123.950  0.25016    
 124    223.736   -123.950  4.58412E-02
 125    238.386   -123.950  2.69763E-02
 126    238.386   -109.300 -0.14579    
 127    223.736   -109.300 -0.12513    
 128    209.086   -109.300  0.29264    
 129    194.436   -109.300  0.29124    
 130    179.786   -109.300  0.33479    
 131    165.136   -109.300  0.43404    
 132    150.486   -109.300  0.36233    
 133    135.836   -109.300  0.44953    
 134    121.186   -109.300  0.66938    
 135    106.536   -109.300   1.2009    
 136     91.886   -109.300   1.4643    
 137     77.236   -109.300   1.7262    
 138     62.586   -109.300   2.4836    
 139     47.936   -109.300   2.5720    
 140     33.286   -109.300   2.0728    
 141     18.636   -109.300   1.2452    
 142      3.986   -109.300  0.33197    
 143    -10.664   -109.300  0.25212    
 144    -25.314   -109.300  0.18474    
 145    -39.964   -109.300  8.92917E-02
 146    -54.614   -109.300  9.80692E-02
 147    -69.264   -109.300  0.21667    
 148    -83.914   -109.300  0.23108    
 149    -83.914    -94.650  0.17993    
 150    -69.264    -94.650  0.18410    
 151    -54.614    -94.650  0.28465    
 152    -39.964    -94.650  0.38349    
 153    -25.314    -94.650  0.24982    
 154    -10.664    -94.650  0.38609    
 155      3.986    -94.650  0.40288    
 156     18.636    -94.650  0.82457    
 157     33.286    -94.650   1.1616    
 158     47.936    -94.650   1.7950    
 159     62.586    -94.650   1.8896    
 160     77.236    -94.650   1.1223    
 161     91.886    -94.650  0.64677    
 162    106.536    -94.650  0.63639    
 163    121.186    -94.650  0.59905    
 164    135.836    -94.650  0.45579    
 165    150.486    -94.650  0.61620    
 166    165.136    -94.650  0.65103    
 167    179.786    -94.650  0.51900    
 168    194.436    -94.650  0.33621    
 169    209.086    -94.650  0.21199    
 170    223.736    -94.650  0.23431    
 171    238.386    -94.650  0.24250    
 172    238.386    -80.000  0.21232    
 173    223.736    -80.000  0.21184    
 174    209.086    -80.000  0.33114    
 175    194.436    -80.000  0.50435    
 176    179.786    -80.000  0.80089    
 177    165.136    -80.000  0.84546    
 178    150.486    -80.000  0.76660    
 179    135.836    -80.000  0.48676    
 180    121.186    -80.000  0.38265    
 181    106.536    -80.000  0.36753    
 182     91.886    -80.000  0.36834    
 183     77.236    -80.000  0.41968    
 184     62.586    -80.000  0.59088    
 185     47.936    -80.000  0.55556    
 186     33.286    -80.000  0.50505    
 187     18.636    -80.000  0.41922    
 188      3.986    -80.000  0.44494    
 189    -10.664    -80.000  0.32768    
 190    -25.314    -80.000  0.36752    
 191    -39.964    -80.000  0.43973    
 192    -54.614    -80.000  0.32229    
 193    -69.264    -80.000  0.17803    
 194    -83.914    -80.000  0.16505    
 195    -83.914    -65.350  0.55371    
 196    -69.264    -65.350  0.55721    
 197    -54.614    -65.350  0.51757    
 198    -39.964    -65.350  0.48169    
 199    -25.314    -65.350  0.49855    
 200    -10.664    -65.350  0.56949    
 201      3.986    -65.350  0.59255    
 202     18.636    -65.350  0.44302    
 203     33.286    -65.350  0.34309    
 204     47.936    -65.350  0.20352    
 205     62.586    -65.350  0.22632    
 206     77.236    -65.350  0.22103    
 207     91.886    -65.350  0.14400    
 208    106.536    -65.350  0.17280    
 209    121.186    -65.350  0.23756    
 210    135.836    -65.350  0.47704    
 211    150.486    -65.350  0.73993    
 212    165.136    -65.350  0.47947    
 213    179.786    -65.350  0.61644    
 214    194.436    -65.350  0.46348    
 215    209.086    -65.350  0.36866    
 216    223.736    -65.350  0.33805    
 217    238.386    -65.350  0.34884    
 218    238.386    -50.700  0.73257    
 219    223.736    -50.700  0.71243    
 220    209.086    -50.700  0.56150    
 221    194.436    -50.700  0.52781    
 222    179.786    -50.700  0.56777    
 223    165.136    -50.700  0.37463    
 224    150.486    -50.700  0.46419    
 225    135.836    -50.700  0.45944    
 226    121.186    -50.700  0.18530    
 227    106.536    -50.700  0.42083    
 228     91.886    -50.700  0.19832    
 229     77.236    -50.700 -1.74664E-02
 230     62.586    -50.700  0.13099    
 231     47.936    -50.700  0.14293    
 232     33.286    -50.700  0.16125    
 233     18.636    -50.700  0.58588    
 234      3.986    -50.700  0.61601    
 235    -10.664    -50.700  0.52518    
 236    -25.314    -50.700  0.69853    
 237    -39.964    -50.700  0.56889    
 238    -54.614    -50.700  0.49532    
 239    -69.264    -50.700  0.28639    
 240    -83.914    -50.700  0.26757    
 241    -83.914    -36.050  0.42603    
 242    -69.264    -36.050  0.41541    
 243    -54.614    -36.050  0.41487    
 244    -39.964    -36.050  0.53261    
 245    -25.314    -36.050  0.81136    
 246    -10.664    -36.050  0.70423    
 247      3.986    -36.050  0.64494    
 248     18.636    -36.050  0.35598    
 249     33.286    -36.050  0.14057    
 250     47.936    -36.050  0.15637    
 251     62.586    -36.050  0.15716    
 252     77.236    -36.050  0.13767    
 253     91.886    -36.050  5.57613E-02
 254    106.536    -36.050  0.22193    
 255    121.186    -36.050  0.14628    
 256    135.836    -36.050  0.31486    
 257    150.486    -36.050  0.45703    
 258    165.136    -36.050  0.44775    
 259    179.786    -36.050  0.46180    
 260    194.436    -36.050  0.58854    
 261    209.086    -36.050  0.70423    
 262    223.736    -36.050  0.84673    
 263    238.386    -36.050  0.85906    
 264    238.386    -21.400  0.53596    
 265    223.736    -21.400  0.54282    
 266    209.086    -21.400  0.43938    
 267    194.436    -21.400  0.36776    
 268    179.786    -21.400  0.42825    
 269    165.136    -21.400  0.31434    
 270    150.486    -21.400  0.38835    
 271    135.836    -21.400  0.32216    
 272    121.186    -21.400  0.29744    
 273    106.536    -21.400  0.25001    
 274     91.886    -21.400  0.16413    
 275     77.236    -21.400  0.29267    
 276     62.586    -21.400  0.26237    
 277     47.936    -21.400  0.22717    
 278     33.286    -21.400  0.28423    
 279     18.636    -21.400  0.59953    
 280      3.986    -21.400  0.95976    
 281    -10.664    -21.400  0.70035    
 282    -25.314    -21.400  0.70347    
 283    -39.964    -21.400  0.59157    
 284    -54.614    -21.400  0.36004    
 285    -69.264    -21.400  0.16460    
 286    -83.914    -21.400  0.16306    
 287    -83.914     -6.750  0.36235    
 288    -69.264     -6.750  0.38750    
 289    -54.614     -6.750  0.71337    
 290    -39.964     -6.750  0.80931    
 291    -25.314     -6.750  0.84413    
 292    -10.664     -6.750  0.76373    
 293      3.986     -6.750  0.90070    
 294     18.636     -6.750  0.62752    
 295     33.286     -6.750  0.46597    
 296     47.936     -6.750  0.36831    
 297     62.586     -6.750  0.34593    
 298     77.236     -6.750  0.31450    
 299     91.886     -6.750  0.19702    
 300    106.536     -6.750  0.20086    
 301    121.186     -6.750  0.35664    
 302    135.836     -6.750  0.10442    
 303    150.486     -6.750  0.22929    
 304    165.136     -6.750  0.36312    
 305    179.786     -6.750  0.17296    
 306    194.436     -6.750  0.14366    
 307    209.086     -6.750  0.26104    
 308    223.736     -6.750  0.72172    
 309    238.386     -6.750  0.35179    
 310    223.736      7.900  0.74592    
 311    209.086      7.900  0.30511    
 312    194.436      7.900  0.13066    
 313    179.786      7.900  0.14049    
 314    165.136      7.900  0.32172    
 315    150.486      7.900  0.18156    
 316    135.836      7.900  1.88841E-03
 317    121.186      7.900  0.39389    
 318    106.536      7.900  0.15327    
 319     91.886      7.900  0.19564    
 320     77.236      7.900  0.28281    
 321     62.586      7.900  0.27368    
 322     47.936      7.900  0.44045    
 323     33.286      7.900  0.47148    
 324     18.636      7.900  0.65618    
 325      3.986      7.900  0.70724    
 326    -10.664      7.900  0.79677    
 327    -25.314      7.900  0.67018    
 328    -39.964      7.900  0.74161    
 329    -54.614      7.900  0.68929    
 330    -69.264      7.900  0.43018    
 331    -83.914      7.900  0.42520    
 332    -83.914     22.550  0.33094    
 333    -69.264     22.550  0.34636    
 334    -54.614     22.550  0.65420    
 335    -39.964     22.550  0.52841    
 336    -25.314     22.550  0.55955    
 337    -10.664     22.550  0.34860    
 338      3.986     22.550  0.56040    
 339     18.636     22.550  0.50489    
 340     33.286     22.550  0.45044    
 341     47.936     22.550  0.36769    
 342     62.586     22.550  0.44236    
 343     77.236     22.550  0.47525    
 344     91.886     22.550  0.19638    
 345    106.536     22.550  0.15161    
 346    121.186     22.550  0.40054    
 347    135.836     22.550 -9.69483E-04
 348    150.486     22.550  0.18296    
 349    165.136     22.550  0.32348    
 350    179.786     22.550  0.14009    
 351    194.436     22.550  0.13074    
 352    209.086     22.550  0.30773    
 353     77.236     37.200  0.34618    
 354     62.586     37.200  0.34795    
 355     47.936     37.200  0.52360    
 356     33.286     37.200  0.57972    
 357     18.636     37.200  0.65707    
 358      3.986     37.200  0.63518    
 359    -10.664     37.200  0.50510    
 360    -25.314     37.200  0.58035    
 361    -39.964     37.200  0.41962    
 362    -54.614     37.200  0.62584    
 363    -69.264     37.200  0.50144    
 364    -83.914     37.200  0.48045    
 365    -83.914     51.850  0.31369    
 366    -69.264     51.850  0.32931    
 367    -54.614     51.850  0.59855    
 368    -39.964     51.850  0.50555    
 369    -25.314     51.850  0.71531    
 370    -10.664     51.850  0.94435    
 371      3.986     51.850  0.47068    
 372     18.636     51.850  0.30430    
 373     33.286     51.850  0.16553    
 374     47.936     51.850  0.30216    
 375     62.586     51.850 -6.63486E-03
 376     77.236     51.850 -5.70224E-02
 377     77.236     66.500  0.10028    
 378     62.586     66.500  9.98365E-02
 379     47.936     66.500  0.27898    
 380     33.286     66.500  0.35857    
 381     18.636     66.500  0.28056    
 382      3.986     66.500  0.73149    
 383    -10.664     66.500   1.1255    
 384    -25.314     66.500   1.2052    
 385    -39.964     66.500  0.91920    
 386    -54.614     66.500  0.67084    
 387    -69.264     66.500  0.38922    
 388    -83.914     66.500  0.36886    
 389    -83.914     81.150  0.63689    
 390    -69.264     81.150  0.65908    
 391    -54.614     81.150   1.0021    
 392    -39.964     81.150   1.4552    
 393    -25.314     81.150   1.9444    
 394    -10.664     81.150   1.3236    
 395      3.986     81.150  0.53003    
 396     18.636     81.150  0.20188    
 397     33.286     81.150  0.35199    
 398     47.936     81.150  0.56207    
 399     62.586     81.150  0.14326    
