!
! 19-DEC-2018 15:08:51
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 9 10 /OUTPUT smm1_hcn10_red_2.txt
!
 1     33.286   -211.850  0.24402    
 2     47.936   -211.850  7.51854E-02
 3     62.586   -211.850  2.22314E-02
 4     77.236   -211.850  1.17899E-03
 5     91.886   -211.850 -6.64167E-02
 6    106.536   -211.850  0.45045    
 7    121.186   -211.850  0.60275    
 8    135.836   -211.850  0.62588    
 9    150.486   -211.850  0.34808    
 10    165.136   -211.850  0.23857    
 11    179.786   -211.850  0.25480    
 12    194.436   -211.850  0.38975    
 13    209.086   -211.850  0.28527    
 14    223.736   -211.850  0.34358    
 15    238.386   -211.850  0.10453    
 16    238.386   -197.200  0.14469    
 17    223.736   -197.200  0.15701    
 18    209.086   -197.200  0.27372    
 19    194.436   -197.200  0.38631    
 20    179.786   -197.200  0.24479    
 21    165.136   -197.200  0.23768    
 22    150.486   -197.200  0.36045    
 23    135.836   -197.200  0.62803    
 24    121.186   -197.200  0.63093    
 25    106.536   -197.200  0.45339    
 26     91.886   -197.200 -6.26348E-02
 27     77.236   -197.200  1.45970E-02
 28     62.586   -197.200  2.23841E-02
 29     47.936   -197.200  8.67874E-02
 30     33.286   -197.200  0.13964    
 31     18.636   -197.200 -0.11760    
 32     18.636   -182.550  4.37581E-02
 33     33.286   -182.550  1.77438E-02
 34     47.936   -182.550  7.63709E-02
 35     62.586   -182.550  5.62385E-02
 36     77.236   -182.550  4.61041E-02
 37     91.886   -182.550  6.99597E-02
 38    106.536   -182.550  0.40359    
 39    121.186   -182.550  0.89468    
 40    135.836   -182.550  0.95922    
 41    150.486   -182.550  0.46222    
 42    165.136   -182.550  0.18301    
 43    179.786   -182.550  7.53001E-02
 44    194.436   -182.550  9.19170E-02
 45    209.086   -182.550  0.10338    
 46    223.736   -182.550 -5.28908E-03
 47    238.386   -182.550 -5.70553E-03
 48    238.386   -167.900  3.01597E-02
 49    223.736   -167.900  3.50025E-02
 50    209.086   -167.900  2.39249E-02
 51    194.436   -167.900 -3.19095E-03
 52    179.786   -167.900  3.92837E-02
 53    165.136   -167.900  0.22138    
 54    150.486   -167.900  0.58054    
 55    135.836   -167.900  0.93363    
 56    121.186   -167.900  0.84244    
 57    106.536   -167.900  0.53350    
 58     91.886   -167.900  0.25572    
 59     77.236   -167.900  0.15468    
 60     62.586   -167.900  7.89681E-02
 61     47.936   -167.900  0.12804    
 62     33.286   -167.900  0.11060    
 63     18.636   -167.900  0.11126    
 64     18.636   -153.250  0.15464    
 65     33.286   -153.250  0.17684    
 66     47.936   -153.250  0.12022    
 67     62.586   -153.250  0.21538    
 68     77.236   -153.250  0.14788    
 69     91.886   -153.250  0.31978    
 70    106.536   -153.250  0.68653    
 71    121.186   -153.250  0.86150    
 72    135.836   -153.250  0.78231    
 73    150.486   -153.250  0.51122    
 74    165.136   -153.250  0.32826    
 75    179.786   -153.250  3.25973E-02
 76    194.436   -153.250  5.51948E-02
 77    209.086   -153.250  0.10233    
 78    223.736   -153.250 -4.65903E-02
 79    238.386   -153.250 -5.70578E-02
 80    238.386   -138.600  7.61774E-04
 81    223.736   -138.600  1.21913E-02
 82    209.086   -138.600  9.88164E-02
 83    194.436   -138.600  0.11028    
 84    179.786   -138.600  0.14534    
 85    165.136   -138.600  0.25511    
 86    150.486   -138.600  0.42219    
 87    135.836   -138.600  0.78258    
 88    121.186   -138.600   1.0526    
 89    106.536   -138.600  0.83239    
 90     91.886   -138.600  0.43258    
 91     77.236   -138.600  0.35387    
 92     62.586   -138.600  0.35162    
 93     47.936   -138.600  0.39377    
 94     33.286   -138.600  0.37793    
 95     18.636   -138.600  0.42012    
 96      3.986   -138.600  0.25295    
 97    -10.664   -138.600  0.16197    
 98    -25.314   -138.600  0.29026    
 99    -39.964   -138.600  7.41533E-02
 100    -54.614   -138.600  5.96240E-02
 101    -69.264   -138.600 -0.10434    
 102    -83.914   -138.600 -0.26445    
 103    -83.914   -123.950 -0.11106    
 104    -69.264   -123.950 -9.26615E-02
 105    -54.614   -123.950  6.33345E-02
 106    -39.964   -123.950  7.33614E-02
 107    -25.314   -123.950  0.27541    
 108    -10.664   -123.950  0.16249    
 109      3.986   -123.950  0.25741    
 110     18.636   -123.950  0.53908    
 111     33.286   -123.950  0.76589    
 112     47.936   -123.950  0.88979    
 113     62.586   -123.950  0.79359    
 114     77.236   -123.950  0.71972    
 115     91.886   -123.950  0.64535    
 116    106.536   -123.950  0.94439    
 117    121.186   -123.950  0.94020    
 118    135.836   -123.950  0.68178    
 119    150.486   -123.950  0.29159    
 120    165.136   -123.950  0.18255    
 121    179.786   -123.950  9.88177E-02
 122    194.436   -123.950  0.10387    
 123    209.086   -123.950 -1.07675E-02
 124    223.736   -123.950  0.18078    
 125    238.386   -123.950  0.19271    
 126    238.386   -109.300  0.11708    
 127    223.736   -109.300  0.10755    
 128    209.086   -109.300  0.13282    
 129    194.436   -109.300  0.24503    
 130    179.786   -109.300  0.30851    
 131    165.136   -109.300  0.26971    
 132    150.486   -109.300  0.36107    
 133    135.836   -109.300  0.48932    
 134    121.186   -109.300  0.69194    
 135    106.536   -109.300  0.83718    
 136     91.886   -109.300  0.94772    
 137     77.236   -109.300   1.0119    
 138     62.586   -109.300   1.1344    
 139     47.936   -109.300   1.1565    
 140     33.286   -109.300  0.94248    
 141     18.636   -109.300  0.55900    
 142      3.986   -109.300  0.33912    
 143    -10.664   -109.300  0.21515    
 144    -25.314   -109.300  0.19531    
 145    -39.964   -109.300  0.18651    
 146    -54.614   -109.300  0.15818    
 147    -69.264   -109.300  1.63803E-02
 148    -83.914   -109.300  3.70080E-03
 149    -83.914    -94.650  4.84397E-02
 150    -69.264    -94.650  5.55207E-02
 151    -54.614    -94.650  0.22758    
 152    -39.964    -94.650  0.14453    
 153    -25.314    -94.650  0.20141    
 154    -10.664    -94.650  0.28414    
 155      3.986    -94.650  0.30969    
 156     18.636    -94.650  0.39583    
 157     33.286    -94.650  0.63384    
 158     47.936    -94.650  0.80248    
 159     62.586    -94.650  0.86647    
 160     77.236    -94.650  0.87034    
 161     91.886    -94.650  0.65399    
 162    106.536    -94.650  0.55073    
 163    121.186    -94.650  0.49113    
 164    135.836    -94.650  0.48894    
 165    150.486    -94.650  0.47874    
 166    165.136    -94.650  0.46438    
 167    179.786    -94.650  0.28501    
 168    194.436    -94.650  0.38162    
 169    209.086    -94.650  0.10361    
 170    223.736    -94.650  8.06926E-02
 171    238.386    -94.650  8.17490E-02
 172    238.386    -80.000  0.23046    
 173    223.736    -80.000  0.22219    
 174    209.086    -80.000  0.25876    
 175    194.436    -80.000  0.37978    
 176    179.786    -80.000  0.39614    
 177    165.136    -80.000  0.43416    
 178    150.486    -80.000  0.49638    
 179    135.836    -80.000  0.38183    
 180    121.186    -80.000  0.21153    
 181    106.536    -80.000  0.28807    
 182     91.886    -80.000  0.30275    
 183     77.236    -80.000  0.37470    
 184     62.586    -80.000  0.40934    
 185     47.936    -80.000  0.29852    
 186     33.286    -80.000  0.25449    
 187     18.636    -80.000  0.32728    
 188      3.986    -80.000  0.31331    
 189    -10.664    -80.000  0.23073    
 190    -25.314    -80.000  0.28491    
 191    -39.964    -80.000  0.28177    
 192    -54.614    -80.000  0.21200    
 193    -69.264    -80.000  3.07601E-02
 194    -83.914    -80.000  2.52715E-02
 195    -83.914    -65.350  6.25475E-02
 196    -69.264    -65.350  7.03697E-02
 197    -54.614    -65.350  0.24280    
 198    -39.964    -65.350  0.34763    
 199    -25.314    -65.350  0.37055    
 200    -10.664    -65.350  0.35761    
 201      3.986    -65.350  0.42062    
 202     18.636    -65.350  0.44531    
 203     33.286    -65.350  0.29248    
 204     47.936    -65.350  0.18580    
 205     62.586    -65.350  0.19493    
 206     77.236    -65.350  0.11652    
 207     91.886    -65.350  0.19156    
 208    106.536    -65.350  0.24017    
 209    121.186    -65.350  0.26404    
 210    135.836    -65.350  0.24021    
 211    150.486    -65.350  0.21429    
 212    165.136    -65.350  0.24849    
 213    179.786    -65.350  0.42872    
 214    194.436    -65.350  0.57091    
 215    209.086    -65.350  0.56198    
 216    223.736    -65.350  0.19984    
 217    238.386    -65.350  0.17665    
 218    238.386    -50.700  0.55875    
 219    223.736    -50.700  0.58109    
 220    209.086    -50.700  0.95805    
 221    194.436    -50.700  0.89306    
 222    179.786    -50.700  0.56304    
 223    165.136    -50.700  0.23464    
 224    150.486    -50.700  0.26965    
 225    135.836    -50.700  0.21497    
 226    121.186    -50.700  0.22960    
 227    106.536    -50.700  0.33151    
 228     91.886    -50.700  0.19118    
 229     77.236    -50.700  0.12536    
 230     62.586    -50.700  0.22128    
 231     47.936    -50.700  0.26650    
 232     33.286    -50.700  0.42804    
 233     18.636    -50.700  0.70636    
 234      3.986    -50.700  0.56873    
 235    -10.664    -50.700  0.42657    
 236    -25.314    -50.700  0.57533    
 237    -39.964    -50.700  0.49062    
 238    -54.614    -50.700  0.34478    
 239    -69.264    -50.700  0.14427    
 240    -83.914    -50.700  0.13158    
 241    -83.914    -36.050  2.13134E-02
 242    -69.264    -36.050  3.95612E-02
 243    -54.614    -36.050  0.29757    
 244    -39.964    -36.050  0.59331    
 245    -25.314    -36.050  0.64132    
 246    -10.664    -36.050  0.54799    
 247      3.986    -36.050  0.69628    
 248     18.636    -36.050  0.69870    
 249     33.286    -36.050  0.40801    
 250     47.936    -36.050  0.20334    
 251     62.586    -36.050  0.21602    
 252     77.236    -36.050  7.09297E-02
 253     91.886    -36.050  0.13741    
 254    106.536    -36.050  0.14686    
 255    121.186    -36.050  0.27079    
 256    135.836    -36.050  0.21458    
 257    150.486    -36.050  8.48814E-02
 258    165.136    -36.050  0.24621    
 259    179.786    -36.050  0.50301    
 260    194.436    -36.050  0.81693    
 261    209.086    -36.050   1.0946    
 262    223.736    -36.050  0.85781    
 263    238.386    -36.050  0.84247    
 264    238.386    -21.400  0.81965    
 265    223.736    -21.400  0.79707    
 266    209.086    -21.400  0.73446    
 267    194.436    -21.400  0.46754    
 268    179.786    -21.400  0.37604    
 269    165.136    -21.400  0.23625    
 270    150.486    -21.400  0.23976    
 271    135.836    -21.400  0.28148    
 272    121.186    -21.400  0.25655    
 273    106.536    -21.400  0.13608    
 274     91.886    -21.400  0.16916    
 275     77.236    -21.400  0.22689    
 276     62.586    -21.400  0.29283    
 277     47.936    -21.400  0.40693    
 278     33.286    -21.400  0.51119    
 279     18.636    -21.400  0.68467    
 280      3.986    -21.400  0.76884    
 281    -10.664    -21.400  0.71672    
 282    -25.314    -21.400  0.62388    
 283    -39.964    -21.400  0.48454    
 284    -54.614    -21.400  0.24938    
 285    -69.264    -21.400  2.68992E-02
 286    -83.914    -21.400  6.62340E-03
 287    -83.914     -6.750  0.20826    
 288    -69.264     -6.750  0.21289    
 289    -54.614     -6.750  0.31967    
 290    -39.964     -6.750  0.46241    
 291    -25.314     -6.750  0.61638    
 292    -10.664     -6.750  0.85847    
 293      3.986     -6.750  0.92378    
 294     18.636     -6.750  0.66485    
 295     33.286     -6.750  0.46674    
 296     47.936     -6.750  0.45735    
 297     62.586     -6.750  0.28727    
 298     77.236     -6.750  0.19135    
 299     91.886     -6.750  0.16142    
 300    106.536     -6.750  0.14769    
 301    121.186     -6.750  0.16706    
 302    135.836     -6.750  0.13875    
 303    150.486     -6.750  0.27219    
 304    165.136     -6.750  0.26358    
 305    179.786     -6.750  0.23290    
 306    194.436     -6.750  0.16814    
 307    209.086     -6.750  0.14522    
 308    223.736     -6.750  4.54626E-02
 309    238.386     -6.750  0.83267    
 310    223.736      7.900 -2.10875E-03
 311    209.086      7.900  9.09021E-02
 312    194.436      7.900  0.14860    
 313    179.786      7.900  0.22399    
 314    165.136      7.900  0.27133    
 315    150.486      7.900  0.24639    
 316    135.836      7.900  0.11111    
 317    121.186      7.900  0.12862    
 318    106.536      7.900  0.14659    
 319     91.886      7.900  0.16547    
 320     77.236      7.900  0.18065    
 321     62.586      7.900  0.28731    
 322     47.936      7.900  0.43877    
 323     33.286      7.900  0.47307    
 324     18.636      7.900  0.66391    
 325      3.986      7.900  0.82880    
 326    -10.664      7.900  0.90475    
 327    -25.314      7.900  0.60739    
 328    -39.964      7.900  0.42306    
 329    -54.614      7.900  0.38152    
 330    -69.264      7.900  0.29162    
 331    -83.914      7.900  0.28507    
 332    -83.914     22.550  0.15427    
 333    -69.264     22.550  0.16617    
 334    -54.614     22.550  0.21693    
 335    -39.964     22.550  0.30359    
 336    -25.314     22.550  0.34804    
 337    -10.664     22.550  0.70044    
 338      3.986     22.550  0.75412    
 339     18.636     22.550  0.75261    
 340     33.286     22.550  0.89790    
 341     47.936     22.550  0.66433    
 342     62.586     22.550  0.34856    
 343     77.236     22.550  0.34712    
 344     91.886     22.550  0.16511    
 345    106.536     22.550  0.14785    
 346    121.186     22.550  0.12956    
 347    135.836     22.550  0.10847    
 348    150.486     22.550  0.24739    
 349    165.136     22.550  0.27059    
 350    179.786     22.550  0.22444    
 351    194.436     22.550  0.14871    
 352    209.086     22.550  9.00353E-02
 353     77.236     37.200  0.18608    
 354     62.586     37.200  0.19168    
 355     47.936     37.200  0.54463    
 356     33.286     37.200  0.74925    
 357     18.636     37.200  0.65828    
 358      3.986     37.200  0.66521    
 359    -10.664     37.200  0.74592    
 360    -25.314     37.200  0.45069    
 361    -39.964     37.200  0.32440    
 362    -54.614     37.200  0.31365    
 363    -69.264     37.200  5.18852E-02
 364    -83.914     37.200  3.33295E-02
 365    -83.914     51.850  0.10490    
 366    -69.264     51.850  0.11484    
 367    -54.614     51.850  0.18892    
 368    -39.964     51.850  0.28951    
 369    -25.314     51.850  0.74581    
 370    -10.664     51.850   1.0061    
 371      3.986     51.850  0.64455    
 372     18.636     51.850  0.35259    
 373     33.286     51.850  0.29657    
 374     47.936     51.850  0.25307    
 375     62.586     51.850  1.24447E-02
 376     77.236     51.850 -4.62593E-03
 377     77.236     66.500 -8.24806E-02
 378     62.586     66.500 -8.04370E-02
 379     47.936     66.500 -2.01430E-02
 380     33.286     66.500  0.17516    
 381     18.636     66.500  0.22463    
 382      3.986     66.500  0.76903    
 383    -10.664     66.500   1.7917    
 384    -25.314     66.500   1.7126    
 385    -39.964     66.500  0.87128    
 386    -54.614     66.500  0.60681    
 387    -69.264     66.500  0.52653    
 388    -83.914     66.500  0.52555    
 389    -83.914     81.150   1.0235    
 390    -69.264     81.150   1.0147    
 391    -54.614     81.150  0.81452    
 392    -39.964     81.150   1.4370    
 393    -25.314     81.150   2.2055    
 394    -10.664     81.150   1.9898    
 395      3.986     81.150  0.75813    
 396     18.636     81.150  0.20379    
 397     33.286     81.150  3.65324E-02
 398     47.936     81.150  0.13316    
 399     62.586     81.150 -8.05527E-02
 400     77.236     81.150 -8.69715E-02
 401     77.236     95.800 -3.39504E-02
 402     62.586     95.800 -2.17101E-02
 403     47.936     95.800  8.75636E-02
 404     33.286     95.800  8.75591E-02
 405     18.636     95.800  0.21536    
 406      3.986     95.800  0.56908    
 407    -10.664     95.800   1.4714    
 408    -25.314     95.800   2.0549    
 409    -39.964     95.800   1.5135    
 410    -54.614     95.800  0.99452    
 411    -69.264     95.800   1.1870    
 412    -83.914     95.800   1.1966    
 413    -83.914    110.450   1.3119    
 414    -69.264    110.450   1.2785    
 415    -54.614    110.450  0.75749    
 416    -39.964    110.450   1.0861    
 417    -25.314    110.450   1.1779    
 418    -10.664    110.450  0.68923    
 419      3.986    110.450  0.27058    
 420     18.636    110.450  0.13273    
 421     33.286    110.450  0.19630    
 422     47.936    110.450  0.10898    
 423     62.586    110.450  6.06408E-02
 424     77.236    110.450  6.02874E-02
 425     77.236    125.100  1.52255E-02
 426     62.586    125.100 -2.58605E-03
 427     47.936    125.100  0.11018    
 428     33.286    125.100  0.22191    
 429     18.636    125.100  0.29507    
 430      3.986    125.100  0.30848    
 431    -10.664    125.100  0.32798    
 432    -25.314    125.100  0.52341    
 433    -39.964    125.100  0.47778    
 434    -54.614    125.100  0.48698    
 435    -69.264    125.100  0.88281    
 436    -83.914    125.100  0.91555    
 437    -83.914    139.750  0.19494    
 438    -69.264    139.750  0.19507    
 439    -54.614    139.750  0.23598    
 440    -39.964    139.750  0.39816    
 441    -25.314    139.750  0.32969    
 442    -10.664    139.750  0.16402    
 443      3.986    139.750  0.24691    
 444     18.636    139.750  0.18006    
 445     33.286    139.750  0.17837    
 446     47.936    139.750  0.14237    
 447     62.586    139.750 -1.23047E-02
 448     77.236    139.750  1.51744E-02
 449     62.586    154.400  0.21954    
 450     47.936    154.400  0.10288    
 451     33.286    154.400  9.54186E-02
 452     18.636    154.400  0.29888    
 453      3.986    154.400  0.35783    
 454    -10.664    154.400  0.18270    
 455    -25.314    154.400  0.41227    
 456    -39.964    154.400  0.25137    
 457    -54.614    154.400  0.21466    
 458    -69.264    154.400  0.30082    
 459    -83.914    154.400  0.13985    
 460    -69.264    169.050  0.30199    
 461    -54.614    169.050  0.21465    
 462    -39.964    169.050  0.25136    
 463    -25.314    169.050  0.41228    
 464    -10.664    169.050  0.18270    
 465      3.986    169.050  0.35783    
 466     18.636    169.050  0.29890    
 467     33.286    169.050  9.54168E-02
 468     47.936    169.050  0.10288    
 469     62.586    169.050  0.22049    
