!
! 19-DEC-2018 15:09:09
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 14 17.5 /OUTPUT smm1_hcn10_red_3.txt
!
 1     33.286   -211.850  3.64762E-02
 2     47.936   -211.850 -7.94225E-02
 3     62.586   -211.850  0.11262    
 4     77.236   -211.850 -0.11050    
 5     91.886   -211.850  0.30934    
 6    106.536   -211.850  0.99185    
 7    121.186   -211.850   1.4769    
 8    135.836   -211.850   1.0251    
 9    150.486   -211.850  0.37988    
 10    165.136   -211.850  0.21997    
 11    179.786   -211.850 -3.86121E-02
 12    194.436   -211.850  0.29476    
 13    209.086   -211.850  4.84083E-02
 14    223.736   -211.850  7.07523E-02
 15    238.386   -211.850 -7.81828E-02
 16    238.386   -197.200 -1.91901E-02
 17    223.736   -197.200 -1.35310E-02
 18    209.086   -197.200  4.27902E-02
 19    194.436   -197.200  0.29041    
 20    179.786   -197.200 -9.54356E-03
 21    165.136   -197.200  0.22011    
 22    150.486   -197.200  0.38849    
 23    135.836   -197.200   1.0917    
 24    121.186   -197.200   1.5412    
 25    106.536   -197.200   1.0029    
 26     91.886   -197.200  0.30913    
 27     77.236   -197.200 -7.28068E-02
 28     62.586   -197.200  0.11196    
 29     47.936   -197.200 -4.60114E-02
 30     33.286   -197.200  5.38258E-02
 31     18.636   -197.200  8.31033E-02
 32     18.636   -182.550 -0.13936    
 33     33.286   -182.550 -8.17360E-02
 34     47.936   -182.550 -6.93776E-02
 35     62.586   -182.550  7.13210E-03
 36     77.236   -182.550  0.16633    
 37     91.886   -182.550  0.46288    
 38    106.536   -182.550   1.3772    
 39    121.186   -182.550   2.5150    
 40    135.836   -182.550   2.0751    
 41    150.486   -182.550  0.60471    
 42    165.136   -182.550 -5.27277E-02
 43    179.786   -182.550  5.81917E-02
 44    194.436   -182.550 -3.20608E-02
 45    209.086   -182.550  0.10288    
 46    223.736   -182.550 -0.14282    
 47    238.386   -182.550 -0.13607    
 48    238.386   -167.900 -2.89217E-02
 49    223.736   -167.900 -1.68225E-02
 50    209.086   -167.900  0.15418    
 51    194.436   -167.900  5.79764E-02
 52    179.786   -167.900  5.55224E-02
 53    165.136   -167.900  0.18006    
 54    150.486   -167.900  0.71707    
 55    135.836   -167.900   1.8114    
 56    121.186   -167.900   2.0633    
 57    106.536   -167.900   1.2100    
 58     91.886   -167.900  0.47554    
 59     77.236   -167.900  0.19914    
 60     62.586   -167.900  0.21252    
 61     47.936   -167.900  3.70270E-02
 62     33.286   -167.900 -0.14426    
 63     18.636   -167.900 -0.14880    
 64     18.636   -153.250 -0.30789    
 65     33.286   -153.250 -0.22978    
 66     47.936   -153.250  6.50765E-04
 67     62.586   -153.250  0.14497    
 68     77.236   -153.250  0.10679    
 69     91.886   -153.250  0.43083    
 70    106.536   -153.250   1.4792    
 71    121.186   -153.250   1.6393    
 72    135.836   -153.250   1.2291    
 73    150.486   -153.250  0.54313    
 74    165.136   -153.250  0.21846    
 75    179.786   -153.250  0.23301    
 76    194.436   -153.250  1.83570E-02
 77    209.086   -153.250 -4.72075E-02
 78    223.736   -153.250  0.27194    
 79    238.386   -153.250  0.29393    
 80    238.386   -138.600  0.15345    
 81    223.736   -138.600  0.14461    
 82    209.086   -138.600  0.12579    
 83    194.436   -138.600 -2.01482E-02
 84    179.786   -138.600  0.22809    
 85    165.136   -138.600  0.18144    
 86    150.486   -138.600  0.35706    
 87    135.836   -138.600  0.76308    
 88    121.186   -138.600   1.3917    
 89    106.536   -138.600   1.5663    
 90     91.886   -138.600  0.66207    
 91     77.236   -138.600  0.39982    
 92     62.586   -138.600  0.17072    
 93     47.936   -138.600  0.26999    
 94     33.286   -138.600  0.21707    
 95     18.636   -138.600  0.16898    
 96      3.986   -138.600 -2.50920E-03
 97    -10.664   -138.600  0.10405    
 98    -25.314   -138.600 -1.87153E-02
 99    -39.964   -138.600 -1.70783E-02
 100    -54.614   -138.600  1.18623E-02
 101    -69.264   -138.600 -2.82212E-02
 102    -83.914   -138.600 -0.11343    
 103    -83.914   -123.950 -0.16237    
 104    -69.264   -123.950 -0.13467    
 105    -54.614   -123.950  2.34664E-02
 106    -39.964   -123.950 -1.16192E-02
 107    -25.314   -123.950  7.87901E-03
 108    -10.664   -123.950  0.10156    
 109      3.986   -123.950 -9.56966E-03
 110     18.636   -123.950  0.23931    
 111     33.286   -123.950 -5.21731E-02
 112     47.936   -123.950  0.22313    
 113     62.586   -123.950  8.46397E-02
 114     77.236   -123.950  0.23622    
 115     91.886   -123.950  0.41532    
 116    106.536   -123.950  0.91526    
 117    121.186   -123.950  0.77069    
 118    135.836   -123.950  0.59386    
 119    150.486   -123.950  0.12955    
 120    165.136   -123.950  0.18088    
 121    179.786   -123.950 -8.40044E-03
 122    194.436   -123.950 -0.13978    
 123    209.086   -123.950 -2.56785E-03
 124    223.736   -123.950 -7.10853E-02
 125    238.386   -123.950 -7.65873E-02
 126    238.386   -109.300 -5.37994E-02
 127    223.736   -109.300 -4.68671E-02
 128    209.086   -109.300  6.18094E-02
 129    194.436   -109.300  1.25055E-02
 130    179.786   -109.300  0.29455    
 131    165.136   -109.300  0.23466    
 132    150.486   -109.300  8.83523E-02
 133    135.836   -109.300  0.20244    
 134    121.186   -109.300  0.49134    
 135    106.536   -109.300  0.70423    
 136     91.886   -109.300  0.49845    
 137     77.236   -109.300  0.28642    
 138     62.586   -109.300  0.26832    
 139     47.936   -109.300  0.15667    
 140     33.286   -109.300  9.40835E-02
 141     18.636   -109.300  0.16000    
 142      3.986   -109.300  7.73418E-02
 143    -10.664   -109.300  5.09006E-05
 144    -25.314   -109.300  0.16886    
 145    -39.964   -109.300  0.15737    
 146    -54.614   -109.300  6.96475E-02
 147    -69.264   -109.300  8.30684E-02
 148    -83.914   -109.300  8.21774E-02
 149    -83.914    -94.650 -7.74865E-02
 150    -69.264    -94.650 -4.92225E-02
 151    -54.614    -94.650  9.98948E-02
 152    -39.964    -94.650  0.24260    
 153    -25.314    -94.650  0.14825    
 154    -10.664    -94.650  5.44322E-02
 155      3.986    -94.650  8.13095E-02
 156     18.636    -94.650  4.43590E-03
 157     33.286    -94.650  1.15535E-02
 158     47.936    -94.650  6.28652E-02
 159     62.586    -94.650  0.37971    
 160     77.236    -94.650  0.29186    
 161     91.886    -94.650  0.50515    
 162    106.536    -94.650  0.43534    
 163    121.186    -94.650  0.29358    
 164    135.836    -94.650  0.29716    
 165    150.486    -94.650  0.22414    
 166    165.136    -94.650  0.35459    
 167    179.786    -94.650  5.75752E-02
 168    194.436    -94.650  6.21173E-02
 169    209.086    -94.650  0.15736    
 170    223.736    -94.650 -9.62428E-02
 171    238.386    -94.650 -0.10535    
 172    238.386    -80.000  0.18091    
 173    223.736    -80.000  0.18198    
 174    209.086    -80.000  0.16575    
 175    194.436    -80.000  0.17586    
 176    179.786    -80.000  0.17703    
 177    165.136    -80.000  0.37557    
 178    150.486    -80.000  0.24672    
 179    135.836    -80.000  0.16752    
 180    121.186    -80.000  0.18427    
 181    106.536    -80.000  0.25879    
 182     91.886    -80.000  0.30823    
 183     77.236    -80.000  0.32518    
 184     62.586    -80.000  0.10793    
 185     47.936    -80.000  0.13565    
 186     33.286    -80.000 -1.88889E-02
 187     18.636    -80.000  9.49206E-02
 188      3.986    -80.000  0.22375    
 189    -10.664    -80.000  0.31396    
 190    -25.314    -80.000  0.11003    
 191    -39.964    -80.000  0.17489    
 192    -54.614    -80.000  0.11048    
 193    -69.264    -80.000 -0.22179    
 194    -83.914    -80.000 -0.24554    
 195    -83.914    -65.350  9.81842E-02
 196    -69.264    -65.350  0.10580    
 197    -54.614    -65.350  0.16776    
 198    -39.964    -65.350  0.23996    
 199    -25.314    -65.350  0.16492    
 200    -10.664    -65.350  0.33567    
 201      3.986    -65.350  0.17182    
 202     18.636    -65.350 -3.58506E-02
 203     33.286    -65.350  0.10810    
 204     47.936    -65.350  5.24033E-02
 205     62.586    -65.350  0.27357    
 206     77.236    -65.350  0.11205    
 207     91.886    -65.350  6.82409E-02
 208    106.536    -65.350  0.21152    
 209    121.186    -65.350  0.20198    
 210    135.836    -65.350  0.23851    
 211    150.486    -65.350 -3.56669E-02
 212    165.136    -65.350  0.15047    
 213    179.786    -65.350  0.21729    
 214    194.436    -65.350  0.54297    
 215    209.086    -65.350  0.53615    
 216    223.736    -65.350  0.32852    
 217    238.386    -65.350  0.32104    
 218    238.386    -50.700  0.69853    
 219    223.736    -50.700  0.69725    
 220    209.086    -50.700  0.84337    
 221    194.436    -50.700  0.54871    
 222    179.786    -50.700  0.39555    
 223    165.136    -50.700  3.17375E-02
 224    150.486    -50.700  8.22949E-02
 225    135.836    -50.700  0.18340    
 226    121.186    -50.700  0.24204    
 227    106.536    -50.700  0.21382    
 228     91.886    -50.700  0.11147    
 229     77.236    -50.700  4.99758E-02
 230     62.586    -50.700  0.15535    
 231     47.936    -50.700  5.08048E-02
 232     33.286    -50.700 -1.90988E-02
 233     18.636    -50.700  0.20429    
 234      3.986    -50.700  0.15762    
 235    -10.664    -50.700  0.23498    
 236    -25.314    -50.700  0.17543    
 237    -39.964    -50.700  0.25976    
 238    -54.614    -50.700  0.17555    
 239    -69.264    -50.700 -0.15880    
 240    -83.914    -50.700 -0.19607    
 241    -83.914    -36.050 -6.91668E-02
 242    -69.264    -36.050 -4.70650E-02
 243    -54.614    -36.050  0.22542    
 244    -39.964    -36.050  0.35527    
 245    -25.314    -36.050  0.33511    
 246    -10.664    -36.050  0.25044    
 247      3.986    -36.050  0.31630    
 248     18.636    -36.050  0.23946    
 249     33.286    -36.050 -6.82487E-02
 250     47.936    -36.050  0.15377    
 251     62.586    -36.050  0.19899    
 252     77.236    -36.050  0.22496    
 253     91.886    -36.050  3.06949E-02
 254    106.536    -36.050  0.13729    
 255    121.186    -36.050  2.53007E-02
 256    135.836    -36.050  0.16791    
 257    150.486    -36.050  0.19607    
 258    165.136    -36.050  0.19615    
 259    179.786    -36.050  0.28962    
 260    194.436    -36.050  0.50569    
 261    209.086    -36.050  0.83556    
 262    223.736    -36.050  0.81672    
 263    238.386    -36.050  0.83657    
 264    238.386    -21.400  0.75138    
 265    223.736    -21.400  0.75796    
 266    209.086    -21.400  0.52107    
 267    194.436    -21.400  0.33785    
 268    179.786    -21.400  0.24237    
 269    165.136    -21.400  0.23073    
 270    150.486    -21.400  0.15483    
 271    135.836    -21.400  3.72005E-02
 272    121.186    -21.400  0.26098    
 273    106.536    -21.400  8.48415E-02
 274     91.886    -21.400  0.25057    
 275     77.236    -21.400  5.49941E-02
 276     62.586    -21.400  0.12789    
 277     47.936    -21.400  0.17247    
 278     33.286    -21.400  0.21768    
 279     18.636    -21.400  0.36493    
 280      3.986    -21.400  0.34397    
 281    -10.664    -21.400  0.27132    
 282    -25.314    -21.400  0.53103    
 283    -39.964    -21.400  0.33954    
 284    -54.614    -21.400  0.17920    
 285    -69.264    -21.400  9.32756E-02
 286    -83.914    -21.400  8.82083E-02
 287    -83.914     -6.750  0.13792    
 288    -69.264     -6.750  0.14459    
 289    -54.614     -6.750  0.30701    
 290    -39.964     -6.750  0.56194    
 291    -25.314     -6.750  0.73171    
 292    -10.664     -6.750  0.87914    
 293      3.986     -6.750  0.75640    
 294     18.636     -6.750  0.38201    
 295     33.286     -6.750  0.31167    
 296     47.936     -6.750  0.24894    
 297     62.586     -6.750  0.26423    
 298     77.236     -6.750  6.21893E-02
 299     91.886     -6.750  0.15365    
 300    106.536     -6.750  0.22792    
 301    121.186     -6.750  0.23717    
 302    135.836     -6.750  0.22603    
 303    150.486     -6.750  0.23883    
 304    165.136     -6.750  0.19294    
 305    179.786     -6.750  0.33946    
 306    194.436     -6.750  0.19854    
 307    209.086     -6.750  0.22573    
 308    223.736     -6.750  0.49470    
 309    238.386     -6.750  0.71136    
 310    223.736      7.900  0.47812    
 311    209.086      7.900  0.22782    
 312    194.436      7.900  0.14121    
 313    179.786      7.900  0.35349    
 314    165.136      7.900  0.20158    
 315    150.486      7.900  0.29438    
 316    135.836      7.900  0.22201    
 317    121.186      7.900  0.24633    
 318    106.536      7.900  0.23281    
 319     91.886      7.900  0.16347    
 320     77.236      7.900  1.63771E-02
 321     62.586      7.900  0.18026    
 322     47.936      7.900  0.27247    
 323     33.286      7.900  0.38325    
 324     18.636      7.900  0.56592    
 325      3.986      7.900  0.91567    
 326    -10.664      7.900  0.99737    
 327    -25.314      7.900  0.62234    
 328    -39.964      7.900  0.51633    
 329    -54.614      7.900  0.42402    
 330    -69.264      7.900  0.20835    
 331    -83.914      7.900  0.19870    
 332    -83.914     22.550 -0.22387    
 333    -69.264     22.550 -0.19506    
 334    -54.614     22.550  0.21265    
 335    -39.964     22.550  0.19275    
 336    -25.314     22.550  0.33781    
 337    -10.664     22.550  0.74398    
 338      3.986     22.550  0.89846    
 339     18.636     22.550  0.61139    
 340     33.286     22.550   1.0232    
 341     47.936     22.550  0.57921    
 342     62.586     22.550  0.62834    
 343     77.236     22.550  0.67454    
 344     91.886     22.550  0.16538    
 345    106.536     22.550  0.23022    
 346    121.186     22.550  0.24315    
 347    135.836     22.550  0.22628    
 348    150.486     22.550  0.29667    
 349    165.136     22.550  0.20164    
 350    179.786     22.550  0.35432    
 351    194.436     22.550  0.13956    
 352    209.086     22.550  0.22815    
 353     77.236     37.200  6.46957E-02
 354     62.586     37.200  6.84763E-02
 355     47.936     37.200  0.38989    
 356     33.286     37.200  0.71152    
 357     18.636     37.200  0.87012    
 358      3.986     37.200  0.82239    
 359    -10.664     37.200  0.62338    
 360    -25.314     37.200  0.43299    
 361    -39.964     37.200  0.12934    
 362    -54.614     37.200  0.11928    
 363    -69.264     37.200 -0.18392    
 364    -83.914     37.200 -0.20151    
