!
! 04-MAR-2019 20:03:06
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area -6.1 0.3 /OUTPUT smm1_hcn10_v2_blue.txt
!
 1     33.286   -211.850 -0.57649    
 2     47.936   -211.850  0.35040    
 3     62.586   -211.850  9.10069E-02
 4     77.236   -211.850  0.39371    
 5     91.886   -211.850 -9.88095E-02
 6    106.536   -211.850  0.31082    
 7    121.186   -211.850  0.54542    
 8    135.836   -211.850  0.87028    
 9    150.486   -211.850   1.0495    
 10    165.136   -211.850   1.4202    
 11    179.786   -211.850   2.0290    
 12    194.436   -211.850   1.9700    
 13    209.086   -211.850  0.94521    
 14    223.736   -211.850   1.0150    
 15    238.386   -211.850  0.23687    
 16    238.386   -197.200  0.44152    
 17    223.736   -197.200  0.51608    
 18    209.086   -197.200  0.93666    
 19    194.436   -197.200   1.9684    
 20    179.786   -197.200   2.0238    
 21    165.136   -197.200   1.4213    
 22    150.486   -197.200   1.0695    
 23    135.836   -197.200  0.87378    
 24    121.186   -197.200  0.55633    
 25    106.536   -197.200  0.31389    
 26     91.886   -197.200 -9.07837E-02
 27     77.236   -197.200  0.36382    
 28     62.586   -197.200  8.75923E-02
 29     47.936   -197.200  0.31916    
 30     33.286   -197.200 -0.69018    
 31     18.636   -197.200  -1.0234    
 32     18.636   -182.550 -0.33754    
 33     33.286   -182.550 -0.23262    
 34     47.936   -182.550  1.17193E-02
 35     62.586   -182.550 -0.25436    
 36     77.236   -182.550  0.13004    
 37     91.886   -182.550  0.34995    
 38    106.536   -182.550  0.32637    
 39    121.186   -182.550   1.0504    
 40    135.836   -182.550   1.0822    
 41    150.486   -182.550   1.5924    
 42    165.136   -182.550   1.5747    
 43    179.786   -182.550   1.3882    
 44    194.436   -182.550   1.0078    
 45    209.086   -182.550  0.81034    
 46    223.736   -182.550  0.67618    
 47    238.386   -182.550  0.67200    
 48    238.386   -167.900  0.51164    
 49    223.736   -167.900  0.54857    
 50    209.086   -167.900  0.82569    
 51    194.436   -167.900   1.0078    
 52    179.786   -167.900   1.1634    
 53    165.136   -167.900   1.6517    
 54    150.486   -167.900   1.6823    
 55    135.836   -167.900   1.1998    
 56    121.186   -167.900  0.81054    
 57    106.536   -167.900  0.74314    
 58     91.886   -167.900  6.90637E-02
 59     77.236   -167.900  0.13739    
 60     62.586   -167.900  7.16959E-02
 61     47.936   -167.900  8.11050E-02
 62     33.286   -167.900  0.13525    
 63     18.636   -167.900  0.13869    
 64     18.636   -153.250  2.32167E-02
 65     33.286   -153.250  0.11727    
 66     47.936   -153.250 -1.29205E-03
 67     62.586   -153.250  9.63105E-02
 68     77.236   -153.250  0.15462    
 69     91.886   -153.250  0.57360    
 70    106.536   -153.250  0.82218    
 71    121.186   -153.250  0.92707    
 72    135.836   -153.250   1.0786    
 73    150.486   -153.250   2.0391    
 74    165.136   -153.250   2.2825    
 75    179.786   -153.250   1.3149    
 76    194.436   -153.250  0.91762    
 77    209.086   -153.250  0.59296    
 78    223.736   -153.250  0.90831    
 79    238.386   -153.250  0.94052    
 80    238.386   -138.600  0.55173    
 81    223.736   -138.600  0.60211    
 82    209.086   -138.600   1.0438    
 83    194.436   -138.600   1.0128    
 84    179.786   -138.600   1.8345    
 85    165.136   -138.600   2.0311    
 86    150.486   -138.600   2.1314    
 87    135.836   -138.600   1.5009    
 88    121.186   -138.600   1.9022    
 89    106.536   -138.600   1.5560    
 90     91.886   -138.600   1.1910    
 91     77.236   -138.600  0.87609    
 92     62.586   -138.600  0.26550    
 93     47.936   -138.600  0.54686    
 94     33.286   -138.600  0.52802    
 95     18.636   -138.600  0.65001    
 96      3.986   -138.600  0.33343    
 97    -10.664   -138.600 -0.14685    
 98    -25.314   -138.600  5.08693E-02
 99    -39.964   -138.600  0.24769    
 100    -54.614   -138.600 -0.11050    
 101    -69.264   -138.600 -8.74555E-02
 102    -83.914   -138.600 -0.17652    
 103    -83.914   -123.950 -9.08673E-02
 104    -69.264   -123.950 -0.13140    
 105    -54.614   -123.950 -0.14423    
 106    -39.964   -123.950  0.25845    
 107    -25.314   -123.950  0.11108    
 108    -10.664   -123.950 -0.14092    
 109      3.986   -123.950  0.35614    
 110     18.636   -123.950   1.4669    
 111     33.286   -123.950   1.7284    
 112     47.936   -123.950   2.2444    
 113     62.586   -123.950   2.1583    
 114     77.236   -123.950   1.7489    
 115     91.886   -123.950   2.0212    
 116    106.536   -123.950   2.4619    
 117    121.186   -123.950   2.3406    
 118    135.836   -123.950   1.7894    
 119    150.486   -123.950   1.8481    
 120    165.136   -123.950   1.6997    
 121    179.786   -123.950   1.4362    
 122    194.436   -123.950  0.81158    
 123    209.086   -123.950  0.97893    
 124    223.736   -123.950  0.43925    
 125    238.386   -123.950  0.40292    
 126    238.386   -109.300  0.16497    
 127    223.736   -109.300  0.18334    
 128    209.086   -109.300  0.61433    
 129    194.436   -109.300   1.0998    
 130    179.786   -109.300   1.1268    
 131    165.136   -109.300   1.4198    
 132    150.486   -109.300   2.1629    
 133    135.836   -109.300   1.9215    
 134    121.186   -109.300   2.2902    
 135    106.536   -109.300   2.5217    
 136     91.886   -109.300   2.4209    
 137     77.236   -109.300   2.6186    
 138     62.586   -109.300   3.4741    
 139     47.936   -109.300   3.6810    
 140     33.286   -109.300   3.2670    
 141     18.636   -109.300   2.9744    
 142      3.986   -109.300  0.50406    
 143    -10.664   -109.300  0.53778    
 144    -25.314   -109.300  0.88660    
 145    -39.964   -109.300  0.79639    
 146    -54.614   -109.300 -0.11431    
 147    -69.264   -109.300  0.39936    
 148    -83.914   -109.300  0.49773    
 149    -83.914    -94.650 -8.52753E-02
 150    -69.264    -94.650 -0.16703    
 151    -54.614    -94.650 -0.30472    
 152    -39.964    -94.650   1.2044    
 153    -25.314    -94.650  0.67151    
 154    -10.664    -94.650   1.1452    
 155      3.986    -94.650  0.70036    
 156     18.636    -94.650   2.6920    
 157     33.286    -94.650   1.9810    
 158     47.936    -94.650   2.5455    
 159     62.586    -94.650   2.7145    
 160     77.236    -94.650   1.9126    
 161     91.886    -94.650   1.3141    
 162    106.536    -94.650   1.6066    
 163    121.186    -94.650   1.9376    
 164    135.836    -94.650   2.1136    
 165    150.486    -94.650   1.8946    
 166    165.136    -94.650  0.97316    
 167    179.786    -94.650  0.60592    
 168    194.436    -94.650  0.11084    
 169    209.086    -94.650  0.53155    
 170    223.736    -94.650  0.34609    
 171    238.386    -94.650  0.34482    
 172    238.386    -80.000 -0.36543    
 173    223.736    -80.000 -0.33260    
 174    209.086    -80.000  0.33339    
 175    194.436    -80.000  0.54197    
 176    179.786    -80.000   1.0037    
 177    165.136    -80.000   1.2939    
 178    150.486    -80.000   2.3157    
 179    135.836    -80.000   2.2595    
 180    121.186    -80.000   1.9257    
 181    106.536    -80.000   1.0540    
 182     91.886    -80.000   1.0325    
 183     77.236    -80.000  0.97709    
 184     62.586    -80.000   1.0653    
 185     47.936    -80.000  0.93265    
 186     33.286    -80.000  0.86669    
 187     18.636    -80.000  -2.0411    
 188      3.986    -80.000  0.59879    
 189    -10.664    -80.000  0.87119    
 190    -25.314    -80.000  0.44263    
 191    -39.964    -80.000  0.98619    
 192    -54.614    -80.000 -4.92224E-02
 193    -69.264    -80.000 -0.60911    
 194    -83.914    -80.000 -0.52548    
 195    -83.914    -65.350 -0.22649    
 196    -69.264    -65.350 -0.32002    
 197    -54.614    -65.350 -0.54077    
 198    -39.964    -65.350   1.1748    
 199    -25.314    -65.350  0.22909    
 200    -10.664    -65.350   1.0102    
 201      3.986    -65.350  0.48815    
 202     18.636    -65.350  -3.1478    
 203     33.286    -65.350  0.74517    
 204     47.936    -65.350  0.33286    
