!
! 19-DEC-2018 14:40:39
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -42 -40 /OUTPUT smm34_cn10_blue_2.txt
!
 1    238.386   -226.500 -0.18837    
 2    223.736   -226.500 -0.14880    
 3    209.086   -226.500 -0.14581    
 4    194.436   -226.500 -0.12068    
 5    179.786   -226.500  0.10893    
 6    165.136   -226.500  0.73502    
 7    150.486   -226.500  0.74835    
 8    135.836   -226.500  0.41439    
 9    121.186   -226.500  0.37358    
 10    106.536   -226.500  0.40763    
 11     91.886   -226.500  0.41317    
 12     77.236   -226.500  0.41402    
 13     33.286   -211.850  0.19930    
 14     47.936   -211.850 -9.45936E-02
 15     62.586   -211.850 -7.34426E-02
 16     77.236   -211.850  0.23438    
 17     91.886   -211.850  0.26417    
 18    106.536   -211.850  0.26449    
 19    121.186   -211.850  0.27090    
 20    135.836   -211.850  0.37296    
 21    150.486   -211.850  0.60453    
 22    165.136   -211.850  0.51747    
 23    179.786   -211.850  0.25121    
 24    194.436   -211.850  0.19764    
 25    209.086   -211.850  0.19375    
 26    223.736   -211.850  0.19334    
 27    238.386   -211.850  9.98089E-02
 28    253.036   -211.850  3.58602E-02
 29    267.686   -211.850  2.58066E-02
 30    267.686   -197.200  3.72792E-02
 31    253.036   -197.200  3.81049E-02
 32    238.386   -197.200  2.38011E-02
 33    223.736   -197.200  0.30792    
 34    209.086   -197.200  0.54473    
 35    194.436   -197.200  0.51618    
 36    179.786   -197.200  0.39792    
 37    165.136   -197.200  0.34231    
 38    150.486   -197.200  0.35870    
 39    135.836   -197.200  0.28500    
 40    121.186   -197.200  0.15158    
 41    106.536   -197.200  0.11844    
 42     91.886   -197.200  0.15050    
 43     77.236   -197.200  0.15867    
 44     62.586   -197.200 -6.80944E-02
 45     47.936   -197.200 -9.39626E-02
 46     33.286   -197.200 -3.40490E-02
 47     18.636   -197.200 -2.28661E-02
 48    -39.964   -182.550 -0.47230    
 49    -25.314   -182.550 -0.42895    
 50    -10.664   -182.550 -0.25855    
 51      3.986   -182.550 -0.19851    
 52     18.636   -182.550 -0.12965    
 53     33.286   -182.550 -0.12681    
 54     47.936   -182.550 -0.12776    
 55     62.586   -182.550 -5.92697E-02
 56     77.236   -182.550  0.16160    
 57     91.886   -182.550  0.21620    
 58    106.536   -182.550  0.27998    
 59    121.186   -182.550  0.35293    
 60    135.836   -182.550  0.36690    
 61    150.486   -182.550  0.32025    
 62    165.136   -182.550  0.36698    
 63    179.786   -182.550  0.34288    
 64    194.436   -182.550  0.39083    
 65    209.086   -182.550  0.37225    
 66    223.736   -182.550 -7.94893E-02
 67    238.386   -182.550  1.39257E-02
 68    253.036   -182.550  3.25593E-02
 69    267.686   -182.550  3.14693E-02
 70    267.686   -167.900  8.36182E-03
 71    253.036   -167.900  7.13617E-03
 72    238.386   -167.900 -1.40820E-02
 73    223.736   -167.900 -6.71740E-02
 74    209.086   -167.900  0.22969    
 75    194.436   -167.900  0.39704    
 76    179.786   -167.900  0.47072    
 77    165.136   -167.900  0.60818    
 78    150.486   -167.900  0.69194    
 79    135.836   -167.900  0.49352    
 80    121.186   -167.900  0.33185    
 81    106.536   -167.900  0.23162    
 82     91.886   -167.900  0.22996    
 83     77.236   -167.900  0.17268    
 84     62.586   -167.900 -2.87989E-02
 85     47.936   -167.900 -0.16903    
 86     33.286   -167.900 -0.21475    
 87     18.636   -167.900 -0.22573    
 88      3.986   -167.900 -0.19881    
 89    -10.664   -167.900 -0.25856    
 90    -25.314   -167.900 -0.42736    
 91    -39.964   -167.900 -0.45465    
 92    -54.614   -167.900 -0.13579    
 93    -69.264   -167.900 -0.14686    
 94    -83.914   -167.900 -0.32653    
 95    -98.564   -153.250 -0.28956    
 96    -83.914   -153.250 -0.23124    
 97    -69.264   -153.250 -0.12955    
 98    -54.614   -153.250 -4.50365E-02
 99    -39.964   -153.250 -0.36036    
 100    -25.314   -153.250 -0.41396    
 101    -10.664   -153.250 -0.25867    
 102      3.986   -153.250 -0.19854    
 103     18.636   -153.250 -0.22418    
 104     33.286   -153.250 -0.15497    
 105     47.936   -153.250 -0.12130    
 106     62.586   -153.250  3.48863E-02
 107     77.236   -153.250  0.19055    
 108     91.886   -153.250  0.25500    
 109    106.536   -153.250  0.32353    
 110    121.186   -153.250  0.45917    
 111    135.836   -153.250  0.78199    
 112    150.486   -153.250   1.2057    
 113    165.136   -153.250   1.1463    
 114    179.786   -153.250  0.78194    
 115    194.436   -153.250  0.51126    
 116    209.086   -153.250  0.24781    
 117    223.736   -153.250  4.51518E-02
 118    238.386   -153.250 -1.07267E-02
 119    253.036   -153.250 -3.07454E-03
