!
! 19-DEC-2018 14:41:03
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -18 -15.5 /OUTPUT smm34_cn10_blue_3.txt
!
 1    238.386   -226.500 -3.56614E-02
 2    223.736   -226.500 -2.48113E-02
 3    209.086   -226.500 -2.12949E-02
 4    194.436   -226.500  5.96848E-03
 5    179.786   -226.500  0.16415    
 6    165.136   -226.500  0.34974    
 7    150.486   -226.500  0.37867    
 8    135.836   -226.500  9.26908E-02
 9    121.186   -226.500  4.10062E-02
 10    106.536   -226.500  5.10197E-02
 11     91.886   -226.500  5.28231E-02
 12     77.236   -226.500  5.29564E-02
 13     33.286   -211.850 -4.60276E-02
 14     47.936   -211.850 -8.45461E-02
 15     62.586   -211.850 -0.13727    
 16     77.236   -211.850  5.12092E-02
 17     91.886   -211.850  0.11417    
 18    106.536   -211.850  0.10612    
 19    121.186   -211.850  5.59661E-02
 20    135.836   -211.850  3.35309E-02
 21    150.486   -211.850  0.39534    
 22    165.136   -211.850  0.33974    
 23    179.786   -211.850  0.17638    
 24    194.436   -211.850  0.11722    
 25    209.086   -211.850  0.10633    
 26    223.736   -211.850  0.10489    
 27    238.386   -211.850  0.11405    
 28    253.036   -211.850  0.12478    
 29    267.686   -211.850  0.10721    
 30    267.686   -197.200  0.16997    
 31    253.036   -197.200  0.17071    
 32    238.386   -197.200  0.17430    
 33    223.736   -197.200  0.13310    
 34    209.086   -197.200  0.13241    
 35    194.436   -197.200  0.13764    
 36    179.786   -197.200  0.15322    
 37    165.136   -197.200  0.19177    
 38    150.486   -197.200  0.29474    
 39    135.836   -197.200  4.19421E-02
 40    121.186   -197.200  9.95201E-02
 41    106.536   -197.200  0.16783    
 42     91.886   -197.200  0.17373    
 43     77.236   -197.200 -0.10560    
 44     62.586   -197.200 -0.13367    
 45     47.936   -197.200 -0.11151    
 46     33.286   -197.200 -0.14097    
 47     18.636   -197.200 -0.14527    
 48    -39.964   -182.550 -0.35285    
 49    -25.314   -182.550 -0.20356    
 50    -10.664   -182.550 -6.52193E-02
 51      3.986   -182.550 -0.10275    
 52     18.636   -182.550 -0.19796    
 53     33.286   -182.550 -0.19171    
 54     47.936   -182.550 -0.14459    
 55     62.586   -182.550 -0.11838    
 56     77.236   -182.550 -9.22863E-02
 57     91.886   -182.550  0.17935    
 58    106.536   -182.550  0.16342    
 59    121.186   -182.550  0.10817    
 60    135.836   -182.550  0.14166    
 61    150.486   -182.550  0.36481    
 62    165.136   -182.550  0.39884    
 63    179.786   -182.550  0.33090    
 64    194.436   -182.550  0.25346    
 65    209.086   -182.550  0.23513    
 66    223.736   -182.550  0.18638    
 67    238.386   -182.550  0.25654    
 68    253.036   -182.550  0.24607    
 69    267.686   -182.550  0.24338    
 70    267.686   -167.900  0.32618    
 71    253.036   -167.900  0.33457    
 72    238.386   -167.900  0.36397    
 73    223.736   -167.900  0.28046    
 74    209.086   -167.900  0.33378    
 75    194.436   -167.900  0.36017    
 76    179.786   -167.900  0.35156    
 77    165.136   -167.900  0.47900    
 78    150.486   -167.900  0.63031    
 79    135.836   -167.900  0.39141    
 80    121.186   -167.900  0.16658    
 81    106.536   -167.900  0.20336    
 82     91.886   -167.900  0.17271    
 83     77.236   -167.900 -6.46846E-02
 84     62.586   -167.900 -6.89580E-02
 85     47.936   -167.900 -0.15607    
 86     33.286   -167.900 -0.22264    
 87     18.636   -167.900 -0.15867    
 88      3.986   -167.900 -0.10221    
 89    -10.664   -167.900 -6.52200E-02
 90    -25.314   -167.900 -0.20198    
 91    -39.964   -167.900 -0.34107    
 92    -54.614   -167.900  4.66673E-02
 93    -69.264   -167.900  0.45252    
 94    -83.914   -167.900  0.66427    
 95    -98.564   -153.250  0.58525    
 96    -83.914   -153.250  0.53700    
 97    -69.264   -153.250  0.41423    
 98    -54.614   -153.250  0.14794    
 99    -39.964   -153.250 -0.28025    
 100    -25.314   -153.250 -0.19023    
 101    -10.664   -153.250 -6.49316E-02
 102      3.986   -153.250 -9.93039E-02
 103     18.636   -153.250 -0.14078    
 104     33.286   -153.250 -0.10190    
 105     47.936   -153.250 -2.83112E-02
 106     62.586   -153.250  4.74902E-02
 107     77.236   -153.250  4.51955E-03
 108     91.886   -153.250  0.15018    
 109    106.536   -153.250  0.25340    
 110    121.186   -153.250  0.33932    
 111    135.836   -153.250  0.59896    
 112    150.486   -153.250  0.95992    
 113    165.136   -153.250  0.81514    
 114    179.786   -153.250  0.54477    
 115    194.436   -153.250  0.52149    
 116    209.086   -153.250  0.47365    
 117    223.736   -153.250  0.38059    
 118    238.386   -153.250  0.40596    
 119    253.036   -153.250  0.35380    
 120    267.686   -153.250  0.33868    
 121    267.686   -138.600  0.44503    
 122    253.036   -138.600  0.42983    
 123    238.386   -138.600  0.36112    
 124    223.736   -138.600  0.28824    
 125    209.086   -138.600  0.39255    
 126    194.436   -138.600  0.64372    
 127    179.786   -138.600  0.77908    
 128    165.136   -138.600   1.0445    
 129    150.486   -138.600   1.0911    
 130    135.836   -138.600  0.68947    
 131    121.186   -138.600  0.50334    
 132    106.536   -138.600  0.36575    
 133     91.886   -138.600  0.19097    
 134     77.236   -138.600  0.12178    
 135     62.586   -138.600  0.18934    
 136     47.936   -138.600  4.13661E-02
 137     33.286   -138.600 -5.33465E-02
 138     18.636   -138.600 -0.10487    
 139      3.986   -138.600 -7.43427E-02
 140    -10.664   -138.600 -6.44133E-02
 141    -25.314   -138.600 -0.12184    
 142    -39.964   -138.600 -0.14040    
 143    -54.614   -138.600  0.12203    
 144    -69.264   -138.600  0.33125    
 145    -83.914   -138.600  0.39497    
 146    -98.564   -138.600  0.38541    
 147    -98.564   -123.950  0.12267    
 148    -83.914   -123.950  0.14709    
 149    -69.264   -123.950  0.14134    
 150    -54.614   -123.950  3.17957E-02
 151    -39.964   -123.950 -0.10537    
 152    -25.314   -123.950 -1.86591E-02
 153    -10.664   -123.950 -4.87134E-02
 154      3.986   -123.950 -3.70980E-03
 155     18.636   -123.950 -1.20698E-02
 156     33.286   -123.950  9.36521E-02
 157     47.936   -123.950  0.13578    
 158     62.586   -123.950  0.24800    
 159     77.236   -123.950  0.23016    
 160     91.886   -123.950  0.37220    
 161    106.536   -123.950  0.64835    
 162    121.186   -123.950  0.80852    
 163    135.836   -123.950  0.79150    
 164    150.486   -123.950  0.92754    
 165    165.136   -123.950  0.90775    
 166    179.786   -123.950  0.75971    
 167    194.436   -123.950  0.64035    
 168    209.086   -123.950  0.33465    
 169    223.736   -123.950  0.25021    
 170    238.386   -123.950  0.33813    
 171    253.036   -123.950  0.38561    
 172    267.686   -123.950  0.39345    
 173    267.686   -109.300  0.34740    
 174    253.036   -109.300  0.33062    
 175    238.386   -109.300  0.25936    
 176    223.736   -109.300  0.22190    
 177    209.086   -109.300  0.30465    
 178    194.436   -109.300  0.50354    
 179    179.786   -109.300  0.57991    
 180    165.136   -109.300  0.69685    
 181    150.486   -109.300  0.81884    
 182    135.836   -109.300  0.78928    
 183    121.186   -109.300  0.76787    
 184    106.536   -109.300  0.63600    
 185     91.886   -109.300  0.39375    
 186     77.236   -109.300  0.26302    
 187     62.586   -109.300  0.23823    
 188     47.936   -109.300  9.37859E-02
 189     33.286   -109.300  4.68127E-03
 190     18.636   -109.300 -1.79535E-02
 191      3.986   -109.300  2.46225E-02
 192    -10.664   -109.300  7.08443E-03
 193    -25.314   -109.300  1.86480E-02
 194    -39.964   -109.300 -9.39553E-02
 195    -54.614   -109.300 -8.03376E-02
 196    -69.264   -109.300 -0.11459    
 197    -83.914   -109.300 -0.13929    
 198    -98.564   -109.300 -0.14880    
 199    -98.564    -94.650 -8.68130E-02
 200    -83.914    -94.650 -8.74563E-02
 201    -69.264    -94.650 -8.23469E-02
 202    -54.614    -94.650 -5.59952E-02
 203    -39.964    -94.650 -1.70919E-02
 204    -25.314    -94.650  6.14237E-02
 205    -10.664    -94.650  2.90916E-02
 206      3.986    -94.650  3.41542E-02
 207     18.636    -94.650 -7.59071E-03
 208     33.286    -94.650 -0.10715    
 209     47.936    -94.650 -2.15677E-02
 210     62.586    -94.650  0.23088    
 211     77.236    -94.650  0.30244    
 212     91.886    -94.650  0.31521    
 213    106.536    -94.650  0.44626    
 214    121.186    -94.650  0.67579    
 215    135.836    -94.650  0.76194    
 216    150.486    -94.650  0.83049    
 217    165.136    -94.650  0.55144    
 218    179.786    -94.650  0.42891    
 219    194.436    -94.650  0.42367    
 220    209.086    -94.650  0.28820    
 221    223.736    -94.650  0.22610    
 222    238.386    -94.650  0.33369    
 223    253.036    -94.650  0.34492    
 224    267.686    -94.650  0.34280    
 225    267.686    -80.000  0.26111    
 226    253.036    -80.000  0.26497    
 227    238.386    -80.000  0.26301    
 228    223.736    -80.000  0.14061    
 229    209.086    -80.000  0.16457    
 230    194.436    -80.000  0.36483    
 231    179.786    -80.000  0.37431    
 232    165.136    -80.000  0.34439    
 233    150.486    -80.000  0.65408    
 234    135.836    -80.000  0.73708    
 235    121.186    -80.000  0.64032    
 236    106.536    -80.000  0.26855    
 237     91.886    -80.000  9.66526E-02
 238     77.236    -80.000  0.15825    
 239     62.586    -80.000  0.19769    
 240     47.936    -80.000  7.55517E-02
 241     33.286    -80.000  1.12560E-02
 242     18.636    -80.000  7.89549E-02
 243      3.986    -80.000  0.12177    
 244    -10.664    -80.000  0.11423    
 245    -25.314    -80.000 -8.42105E-03
 246    -39.964    -80.000  9.69359E-03
 247    -54.614    -80.000  1.84807E-02
 248    -69.264    -80.000 -0.10155    
 249    -83.914    -80.000 -0.15420    
 250    -98.564    -80.000 -0.16715    
 251    -98.564    -65.350 -0.23124    
 252    -83.914    -65.350 -0.22110    
 253    -69.264    -65.350 -0.17412    
 254    -54.614    -65.350 -2.53744E-02
 255    -39.964    -65.350  5.10651E-02
 256    -25.314    -65.350  8.01226E-02
 257    -10.664    -65.350  0.10172    
 258      3.986    -65.350  0.17387    
 259     18.636    -65.350  0.18295    
 260     33.286    -65.350  6.18288E-02
 261     47.936    -65.350  3.40757E-02
 262     62.586    -65.350  4.75316E-02
 263     77.236    -65.350  2.12679E-02
 264     91.886    -65.350  3.04372E-02
 265    106.536    -65.350  0.24596    
 266    121.186    -65.350  0.64588    
 267    135.836    -65.350  0.75310    
 268    150.486    -65.350  0.57477    
 269    165.136    -65.350  0.31955    
 270    179.786    -65.350  0.32421    
 271    194.436    -65.350  0.35221    
 272    209.086    -65.350  0.12250    
 273    223.736    -65.350  0.10954    
 274    238.386    -65.350  0.14879    
 275    253.036    -65.350  0.11327    
 276    267.686    -65.350  0.10526    
 277    267.686    -50.700  6.43771E-02
 278    253.036    -50.700  6.37179E-02
 279    238.386    -50.700  9.64572E-02
 280    223.736    -50.700  0.19681    
 281    209.086    -50.700  0.15025    
