!
! 19-DEC-2018 14:42:07
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 3 7.5 /OUTPUT smm34_cn10_blue_4.txt
!
 1    238.386   -226.500  0.84585    
 2    223.736   -226.500  0.84866    
 3    209.086   -226.500  0.84885    
 4    194.436   -226.500  0.85123    
 5    179.786   -226.500  0.90708    
 6    165.136   -226.500   1.2422    
 7    150.486   -226.500   1.6238    
 8    135.836   -226.500   1.2455    
 9    121.186   -226.500  0.84958    
 10    106.536   -226.500  0.82723    
 11     91.886   -226.500  0.82648    
 12     77.236   -226.500  0.82629    
 13     33.286   -211.850 -0.11773    
 14     47.936   -211.850 -2.38166E-02
 15     62.586   -211.850  0.20357    
 16     77.236   -211.850  0.67508    
 17     91.886   -211.850  0.76574    
 18    106.536   -211.850  0.76582    
 19    121.186   -211.850  0.77962    
 20    135.836   -211.850   1.0529    
 21    150.486   -211.850   1.4441    
 22    165.136   -211.850   1.1665    
 23    179.786   -211.850  0.81436    
 24    194.436   -211.850  0.85923    
 25    209.086   -211.850  0.88151    
 26    223.736   -211.850  0.88469    
 27    238.386   -211.850  0.48082    
 28    253.036   -211.850  0.13127    
 29    267.686   -211.850  0.14312    
 30    267.686   -197.200  0.14951    
 31    253.036   -197.200  0.14879    
 32    238.386   -197.200  0.17979    
 33    223.736   -197.200  0.75498    
 34    209.086   -197.200  0.98637    
 35    194.436   -197.200  0.95176    
 36    179.786   -197.200  0.84752    
 37    165.136   -197.200   1.0415    
 38    150.486   -197.200   1.1983    
 39    135.836   -197.200   1.1189    
 40    121.186   -197.200   1.0742    
 41    106.536   -197.200   1.0835    
 42     91.886   -197.200   1.0158    
 43     77.236   -197.200  0.45623    
 44     62.586   -197.200  0.18804    
 45     47.936   -197.200 -8.52577E-02
 46     33.286   -197.200 -0.26545    
 47     18.636   -197.200 -0.29625    
 48    -39.964   -182.550 -0.46168    
 49    -25.314   -182.550 -0.28363    
 50    -10.664   -182.550  5.43230E-02
 51      3.986   -182.550  0.26525    
 52     18.636   -182.550 -0.31543    
 53     33.286   -182.550 -0.30732    
 54     47.936   -182.550 -0.13873    
 55     62.586   -182.550  0.17824    
 56     77.236   -182.550  0.47409    
 57     91.886   -182.550  0.88838    
 58    106.536   -182.550   1.3456    
 59    121.186   -182.550   1.4192    
 60    135.836   -182.550   1.2606    
 61    150.486   -182.550   1.1715    
 62    165.136   -182.550  0.98655    
 63    179.786   -182.550  0.83356    
 64    194.436   -182.550  0.90211    
 65    209.086   -182.550  0.95435    
 66    223.736   -182.550  0.41437    
 67    238.386   -182.550  0.20653    
 68    253.036   -182.550  0.18407    
 69    267.686   -182.550  0.18737    
 70    267.686   -167.900  0.29723    
 71    253.036   -167.900  0.28976    
 72    238.386   -167.900  0.29113    
 73    223.736   -167.900  0.45855    
 74    209.086   -167.900  0.73479    
 75    194.436   -167.900  0.86763    
 76    179.786   -167.900   1.0451    
 77    165.136   -167.900   1.5298    
 78    150.486   -167.900   1.9150    
 79    135.836   -167.900   1.7985    
 80    121.186   -167.900   1.5329    
 81    106.536   -167.900   1.2265    
 82     91.886   -167.900  0.86485    
 83     77.236   -167.900  0.48978    
 84     62.586   -167.900  0.19377    
 85     47.936   -167.900 -0.13395    
 86     33.286   -167.900 -0.28258    
 87     18.636   -167.900  0.18539    
 88      3.986   -167.900  0.26784    
 89    -10.664   -167.900  5.45091E-02
 90    -25.314   -167.900 -0.28055    
 91    -39.964   -167.900 -0.43108    
 92    -54.614   -167.900 -0.28966    
 93    -69.264   -167.900 -0.41998    
 94    -83.914   -167.900 -0.54626    
 95    -98.564   -153.250 -0.55173    
 96    -83.914   -153.250 -0.50725    
 97    -69.264   -153.250 -0.41285    
 98    -54.614   -153.250 -0.22596    
 99    -39.964   -153.250 -0.32447    
 100    -25.314   -153.250 -0.26069    
 101    -10.664   -153.250  5.61490E-02
 102      3.986   -153.250  0.26765    
 103     18.636   -153.250  0.27893    
 104     33.286   -153.250  0.12244    
 105     47.936   -153.250  3.55168E-02
 106     62.586   -153.250  0.29489    
 107     77.236   -153.250  0.53983    
 108     91.886   -153.250  0.95409    
 109    106.536   -153.250   1.3947    
 110    121.186   -153.250   1.6476    
 111    135.836   -153.250   2.0144    
 112    150.486   -153.250   2.4545    
 113    165.136   -153.250   2.2943    
 114    179.786   -153.250   1.5603    
 115    194.436   -153.250   1.1036    
 116    209.086   -153.250  0.69388    
 117    223.736   -153.250  0.60706    
 118    238.386   -153.250  0.50987    
 119    253.036   -153.250  0.52540    
 120    267.686   -153.250  0.53460    
 121    267.686   -138.600  0.84586    
 122    253.036   -138.600  0.82853    
 123    238.386   -138.600  0.76287    
 124    223.736   -138.600  0.70789    
 125    209.086   -138.600  0.79846    
 126    194.436   -138.600   1.4681    
 127    179.786   -138.600   2.1485    
 128    165.136   -138.600   2.7338    
 129    150.486   -138.600   2.6112    
 130    135.836   -138.600   2.1922    
 131    121.186   -138.600   2.0377    
 132    106.536   -138.600   1.9125    
 133     91.886   -138.600   1.3467    
 134     77.236   -138.600  0.89720    
 135     62.586   -138.600  0.59802    
 136     47.936   -138.600  0.32120    
 137     33.286   -138.600  0.40019    
 138     18.636   -138.600  0.33574    
 139      3.986   -138.600  0.26410    
 140    -10.664   -138.600  6.91764E-02
 141    -25.314   -138.600 -0.13370    
 142    -39.964   -138.600 -6.70258E-02
 143    -54.614   -138.600 -0.20904    
 144    -69.264   -138.600 -0.38696    
 145    -83.914   -138.600 -0.46100    
 146    -98.564   -138.600 -0.47155    
 147    -98.564   -123.950 -0.27660    
 148    -83.914   -123.950 -0.28458    
 149    -69.264   -123.950 -0.25508    
 150    -54.614   -123.950 -0.14540    
 151    -39.964   -123.950 -4.53438E-02
 152    -25.314   -123.950  2.75253E-02
 153    -10.664   -123.950  8.57362E-02
 154      3.986   -123.950  0.22915    
 155     18.636   -123.950  0.49598    
 156     33.286   -123.950  0.75192    
 157     47.936   -123.950  0.81286    
 158     62.586   -123.950   1.1935    
 159     77.236   -123.950   1.6173    
 160     91.886   -123.950   2.1791    
 161    106.536   -123.950   2.9384    
 162    121.186   -123.950   2.8116    
 163    135.836   -123.950   2.5191    
 164    150.486   -123.950   2.4603    
 165    165.136   -123.950   2.4346    
 166    179.786   -123.950   2.0603    
 167    194.436   -123.950   1.5605    
 168    209.086   -123.950  0.82708    
 169    223.736   -123.950  0.55142    
 170    238.386   -123.950  0.52128    
 171    253.036   -123.950  0.60005    
 172    267.686   -123.950  0.62239    
 173    267.686   -109.300  0.36643    
 174    253.036   -109.300  0.35624    
 175    238.386   -109.300  0.34104    
 176    223.736   -109.300  0.45799    
 177    209.086   -109.300  0.59596    
 178    194.436   -109.300   1.1012    
 179    179.786   -109.300   1.6904    
 180    165.136   -109.300   2.2823    
 181    150.486   -109.300   2.6699    
 182    135.836   -109.300   2.7720    
 183    121.186   -109.300   2.9592    
 184    106.536   -109.300   2.9768    
 185     91.886   -109.300   2.3596    
 186     77.236   -109.300   1.8225    
 187     62.586   -109.300   1.3475    
 188     47.936   -109.300  0.92654    
 189     33.286   -109.300  0.75688    
 190     18.636   -109.300  0.52140    
 191      3.986   -109.300  0.32131    
 192    -10.664   -109.300  0.17675    
 193    -25.314   -109.300 -1.27414E-02
 194    -39.964   -109.300 -7.87520E-02
 195    -54.614   -109.300 -7.83024E-03
 196    -69.264   -109.300 -3.41326E-03
 197    -83.914   -109.300  7.21894E-03
 198    -98.564   -109.300  1.79749E-02
 199    -98.564    -94.650  1.79717E-02
 200    -83.914    -94.650  2.45785E-02
 201    -69.264    -94.650  4.98389E-02
 202    -54.614    -94.650  0.11103    
 203    -39.964    -94.650  9.49462E-02
 204    -25.314    -94.650  0.12165    
 205    -10.664    -94.650  0.30797    
 206      3.986    -94.650  0.49564    
 207     18.636    -94.650  0.54826    
 208     33.286    -94.650  0.59120    
 209     47.936    -94.650  0.65658    
 210     62.586    -94.650  0.98140    
 211     77.236    -94.650   1.3806    
 212     91.886    -94.650   1.5423    
 213    106.536    -94.650   2.0434    
 214    121.186    -94.650   2.5864    
 215    135.836    -94.650   2.9409    
 216    150.486    -94.650   2.9980    
 217    165.136    -94.650   2.2064    
 218    179.786    -94.650   1.4205    
 219    194.436    -94.650  0.94946    
 220    209.086    -94.650  0.57337    
 221    223.736    -94.650  0.37750    
 222    238.386    -94.650  0.26349    
 223    253.036    -94.650  0.14348    
 224    267.686    -94.650  0.11461    
 225    267.686    -80.000  0.16319    
 226    253.036    -80.000  0.20489    
 227    238.386    -80.000  0.38656    
 228    223.736    -80.000  0.46400    
 229    209.086    -80.000  0.55225    
 230    194.436    -80.000   1.0998    
 231    179.786    -80.000   1.3312    
 232    165.136    -80.000   1.8849    
 233    150.486    -80.000   2.8345    
 234    135.836    -80.000   2.9618    
 235    121.186    -80.000   2.3769    
