!
! 19-DEC-2018 14:42:22
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 12.5 15 /OUTPUT smm34_cn10_blue_5.txt
!
 1    238.386   -226.500  0.34815    
 2    223.736   -226.500  0.35634    
 3    209.086   -226.500  0.35642    
 4    194.436   -226.500  0.35786    
 5    179.786   -226.500  0.40167    
 6    165.136   -226.500  0.69874    
 7    150.486   -226.500  0.82613    
 8    135.836   -226.500  0.49428    
 9    121.186   -226.500  0.39062    
 10    106.536   -226.500  0.40114    
 11     91.886   -226.500  0.40340    
 12     77.236   -226.500  0.40372    
 13     33.286   -211.850 -0.39054    
 14     47.936   -211.850 -8.11716E-02
 15     62.586   -211.850  0.16341    
 16     77.236   -211.850  0.46916    
 17     91.886   -211.850  0.50995    
 18    106.536   -211.850  0.50195    
 19    121.186   -211.850  0.45129    
 20    135.836   -211.850  0.40468    
 21    150.486   -211.850  0.64775    
 22    165.136   -211.850  0.58091    
 23    179.786   -211.850  0.47662    
 24    194.436   -211.850  0.48478    
 25    209.086   -211.850  0.48861    
 26    223.736   -211.850  0.48913    
 27    238.386   -211.850  0.24528    
 28    253.036   -211.850  8.31374E-02
 29    267.686   -211.850 -0.10881    
 30    267.686   -197.200  0.17873    
 31    253.036   -197.200  0.17481    
 32    238.386   -197.200  0.13427    
 33    223.736   -197.200  0.34643    
 34    209.086   -197.200  0.49351    
 35    194.436   -197.200  0.47045    
 36    179.786   -197.200  0.38517    
 37    165.136   -197.200  0.41578    
 38    150.486   -197.200  0.45270    
 39    135.836   -197.200  0.45870    
 40    121.186   -197.200  0.48082    
 41    106.536   -197.200  0.48321    
 42     91.886   -197.200  0.46957    
 43     77.236   -197.200  0.36670    
 44     62.586   -197.200  0.16170    
 45     47.936   -197.200 -0.12020    
 46     33.286   -197.200 -0.35939    
 47     18.636   -197.200 -0.40713    
 48    -39.964   -182.550 -0.61008    
 49    -25.314   -182.550 -0.50112    
 50    -10.664   -182.550 -0.40627    
 51      3.986   -182.550 -0.29141    
 52     18.636   -182.550 -0.37095    
 53     33.286   -182.550 -0.34765    
 54     47.936   -182.550 -0.14743    
 55     62.586   -182.550  0.15769    
 56     77.236   -182.550  0.36524    
 57     91.886   -182.550  0.47035    
 58    106.536   -182.550  0.70983    
 59    121.186   -182.550  0.75589    
 60    135.836   -182.550  0.55375    
 61    150.486   -182.550  0.46270    
 62    165.136   -182.550  0.46081    
 63    179.786   -182.550  0.41889    
 64    194.436   -182.550  0.40098    
 65    209.086   -182.550  0.47438    
 66    223.736   -182.550  0.17517    
 67    238.386   -182.550  0.21063    
 68    253.036   -182.550  0.28259    
 69    267.686   -182.550  0.29207    
 70    267.686   -167.900  0.40871    
 71    253.036   -167.900  0.38951    
 72    238.386   -167.900  0.28412    
 73    223.736   -167.900  0.24886    
 74    209.086   -167.900  0.47554    
 75    194.436   -167.900  0.53343    
 76    179.786   -167.900  0.62219    
 77    165.136   -167.900  0.73742    
 78    150.486   -167.900  0.86374    
 79    135.836   -167.900  0.83364    
 80    121.186   -167.900  0.72052    
 81    106.536   -167.900  0.59617    
 82     91.886   -167.900  0.50729    
 83     77.236   -167.900  0.34559    
 84     62.586   -167.900  0.15357    
 85     47.936   -167.900 -0.13920    
 86     33.286   -167.900 -0.28916    
 87     18.636   -167.900 -0.11161    
 88      3.986   -167.900 -0.29031    
 89    -10.664   -167.900 -0.40509    
 90    -25.314   -167.900 -0.49838    
 91    -39.964   -167.900 -0.58644    
 92    -54.614   -167.900  0.15441    
 93    -69.264   -167.900  0.40248    
 94    -83.914   -167.900  0.32914    
 95    -98.564   -153.250  0.10475    
 96    -83.914   -153.250  0.23753    
 97    -69.264   -153.250  0.34681    
 98    -54.614   -153.250  0.32744    
 99    -39.964   -153.250 -0.42258    
 100    -25.314   -153.250 -0.48034    
 101    -10.664   -153.250 -0.39760    
 102      3.986   -153.250 -0.28505    
 103     18.636   -153.250 -7.48676E-02
 104     33.286   -153.250 -6.78687E-02
 105     47.936   -153.250 -4.82148E-02
 106     62.586   -153.250  0.16641    
 107     77.236   -153.250  0.32873    
 108     91.886   -153.250  0.54352    
 109    106.536   -153.250  0.60985    
 110    121.186   -153.250  0.69437    
 111    135.836   -153.250  0.98566    
 112    150.486   -153.250   1.2369    
 113    165.136   -153.250   1.1904    
 114    179.786   -153.250  0.82886    
 115    194.436   -153.250  0.63779    
 116    209.086   -153.250  0.51514    
 117    223.736   -153.250  0.31608    
 118    238.386   -153.250  0.32668    
 119    253.036   -153.250  0.42230    
 120    267.686   -153.250  0.44318    
 121    267.686   -138.600  0.46255    
 122    253.036   -138.600  0.43600    
 123    238.386   -138.600  0.30459    
 124    223.736   -138.600  0.25853    
 125    209.086   -138.600  0.54122    
 126    194.436   -138.600  0.74279    
 127    179.786   -138.600   1.1090    
 128    165.136   -138.600   1.5035    
 129    150.486   -138.600   1.4459    
 130    135.836   -138.600   1.0845    
 131    121.186   -138.600  0.83214    
 132    106.536   -138.600  0.77347    
 133     91.886   -138.600  0.57021    
 134     77.236   -138.600  0.34416    
 135     62.586   -138.600  0.22824    
 136     47.936   -138.600  9.03521E-02
 137     33.286   -138.600 -8.40610E-04
 138     18.636   -138.600 -5.71735E-02
 139      3.986   -138.600 -0.23573    
 140    -10.664   -138.600 -0.33271    
 141    -25.314   -138.600 -0.33886    
