!
! 19-DEC-2018 14:44:27
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area -39.5 -37 /OUTPUT smm34_cn10_red_2.txt
!
 1    238.386   -226.500  9.42957E-02
 2    223.736   -226.500  0.11643    
 3    209.086   -226.500  0.11425    
 4    194.436   -226.500  9.87101E-02
 5    179.786   -226.500  6.83218E-02
 6    165.136   -226.500  0.37742    
 7    150.486   -226.500  0.36990    
 8    135.836   -226.500  0.23172    
 9    121.186   -226.500  0.32233    
 10    106.536   -226.500  0.35838    
 11     91.886   -226.500  0.36334    
 12     77.236   -226.500  0.36398    
 13     33.286   -211.850  0.15322    
 14     47.936   -211.850  8.57842E-02
 15     62.586   -211.850 -6.82417E-02
 16     77.236   -211.850  0.25412    
 17     91.886   -211.850  0.36913    
 18    106.536   -211.850  0.36128    
 19    121.186   -211.850  0.30887    
 20    135.836   -211.850  0.21198    
 21    150.486   -211.850  0.42018    
 22    165.136   -211.850  0.36105    
 23    179.786   -211.850  0.14368    
 24    194.436   -211.850  0.19972    
 25    209.086   -211.850  0.21964    
 26    223.736   -211.850  0.22245    
 27    238.386   -211.850  0.23987    
 28    253.036   -211.850  0.26617    
 29    267.686   -211.850  0.38749    
 30    267.686   -197.200  0.20045    
 31    253.036   -197.200  0.19825    
 32    238.386   -197.200  0.18691    
 33    223.736   -197.200  0.26145    
 34    209.086   -197.200  0.29852    
 35    194.436   -197.200  0.29478    
 36    179.786   -197.200  0.28653    
 37    165.136   -197.200  0.37168    
 38    150.486   -197.200  0.42934    
 39    135.836   -197.200  0.30933    
 40    121.186   -197.200  0.35676    
 41    106.536   -197.200  0.38111    
 42     91.886   -197.200  0.30479    
 43     77.236   -197.200 -2.60832E-02
 44     62.586   -197.200 -2.79412E-02
 45     47.936   -197.200  0.11604    
 46     33.286   -197.200  0.14585    
 47     18.636   -197.200  0.14460    
 48    -39.964   -182.550 -0.25368    
 49    -25.314   -182.550 -0.31636    
 50    -10.664   -182.550 -0.17090    
 51      3.986   -182.550 -2.53807E-02
 52     18.636   -182.550  0.12670    
 53     33.286   -182.550  0.13821    
 54     47.936   -182.550  0.14427    
 55     62.586   -182.550  4.50617E-02
 56     77.236   -182.550  1.09674E-02
 57     91.886   -182.550  0.19990    
 58    106.536   -182.550  0.45388    
 59    121.186   -182.550  0.49268    
 60    135.836   -182.550  0.47412    
 61    150.486   -182.550  0.50446    
 62    165.136   -182.550  0.39967    
 63    179.786   -182.550  0.29642    
 64    194.436   -182.550  0.24444    
 65    209.086   -182.550  0.30490    
 66    223.736   -182.550  0.14536    
 67    238.386   -182.550  0.11340    
 68    253.036   -182.550  0.11916    
 69    267.686   -182.550  0.12144    
 70    267.686   -167.900  6.24351E-02
 71    253.036   -167.900  6.35616E-02
 72    238.386   -167.900  7.58609E-02
 73    223.736   -167.900  8.68484E-02
