!
! 19-DEC-2018 14:56:18
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 8 11.5 /OUTPUT smm34_cn10_red_4.txt
!
 1    238.386   -226.500  0.24898    
 2    223.736   -226.500  0.24384    
 3    209.086   -226.500  0.24447    
 4    194.436   -226.500  0.25122    
 5    179.786   -226.500  0.37065    
 6    165.136   -226.500  0.77889    
 7    150.486   -226.500  0.49303    
 8    135.836   -226.500  0.35155    
 9    121.186   -226.500  0.33515    
 10    106.536   -226.500  0.34558    
 11     91.886   -226.500  0.34733    
 12     77.236   -226.500  0.34751    
 13     33.286   -211.850 -0.48520    
 14     47.936   -211.850 -4.72086E-02
 15     62.586   -211.850  0.14748    
 16     77.236   -211.850  0.24507    
 17     91.886   -211.850  0.20335    
 18    106.536   -211.850  0.20704    
 19    121.186   -211.850  0.23696    
 20    135.836   -211.850  0.38431    
 21    150.486   -211.850  0.44321    
 22    165.136   -211.850  0.48083    
 23    179.786   -211.850  0.21457    
 24    194.436   -211.850  0.19377    
 25    209.086   -211.850  0.20206    
 26    223.736   -211.850  0.20345    
 27    238.386   -211.850  0.17404    
 28    253.036   -211.850 -3.85593E-02
 29    267.686   -211.850 -7.37679E-02
 30    267.686   -197.200 -4.03749E-02
 31    253.036   -197.200 -3.43334E-02
 32    238.386   -197.200  0.15909    
 33    223.736   -197.200  0.60360    
 34    209.086   -197.200  0.46309    
 35    194.436   -197.200  0.41393    
 36    179.786   -197.200  0.26330    
 37    165.136   -197.200  0.42708    
 38    150.486   -197.200  0.41045    
 39    135.836   -197.200  0.50205    
 40    121.186   -197.200  0.50108    
 41    106.536   -197.200  0.50007    
 42     91.886   -197.200  0.55151    
 43     77.236   -197.200  0.36977    
 44     62.586   -197.200  0.19375    
 45     47.936   -197.200 -1.04020E-03
 46     33.286   -197.200 -0.20881    
 47     18.636   -197.200 -0.25438    
 48    -39.964   -182.550 -0.33765    
 49    -25.314   -182.550 -0.19431    
 50    -10.664   -182.550  0.17592    
 51      3.986   -182.550  0.24841    
 52     18.636   -182.550 -0.17308    
 53     33.286   -182.550 -0.14257    
 54     47.936   -182.550  5.33722E-02
 55     62.586   -182.550  0.27160    
 56     77.236   -182.550  0.40767    
 57     91.886   -182.550  0.66264    
 58    106.536   -182.550  0.98220    
 59    121.186   -182.550   1.0020    
 60    135.836   -182.550  0.77797    
 61    150.486   -182.550  0.54928    
 62    165.136   -182.550  0.65181    
 63    179.786   -182.550  0.38431    
 64    194.436   -182.550  0.45378    
 65    209.086   -182.550  0.54131    
 66    223.736   -182.550  0.61001    
 67    238.386   -182.550  0.13329    
 68    253.036   -182.550 -4.63080E-02
 69    267.686   -182.550 -5.46279E-02
 70    267.686   -167.900 -0.10389    
 71    253.036   -167.900 -9.24414E-02
 72    238.386   -167.900  5.73031E-02
 73    223.736   -167.900  0.41868    
 74    209.086   -167.900  0.46695    
 75    194.436   -167.900  0.46754    
 76    179.786   -167.900  0.41812    
 77    165.136   -167.900  0.52342    
 78    150.486   -167.900  0.62773    
 79    135.836   -167.900   1.0681    
 80    121.186   -167.900   1.3471    
 81    106.536   -167.900   1.0221    
 82     91.886   -167.900  0.73538    
 83     77.236   -167.900  0.52381    
 84     62.586   -167.900  0.40002    
 85     47.936   -167.900  0.12961    
 86     33.286   -167.900 -4.97809E-02
 87     18.636   -167.900 -9.75041E-03
 88      3.986   -167.900  0.24957    
 89    -10.664   -167.900  0.17545    
 90    -25.314   -167.900 -0.19229    
