!
! 19-DEC-2018 14:51:32
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 15.5 17.5 /OUTPUT smm34_cn10_red_5.txt
!
 1    238.386   -226.500 -1.05026E-02
 2    223.736   -226.500  8.75565E-03
 3    209.086   -226.500  9.96519E-03
 4    194.436   -226.500  1.94766E-02
 5    179.786   -226.500  8.21922E-02
 6    165.136   -226.500  0.26848    
 7    150.486   -226.500  0.43720    
 8    135.836   -226.500  0.17698    
 9    121.186   -226.500  0.19957    
 10    106.536   -226.500  0.23717    
 11     91.886   -226.500  0.24278    
 12     77.236   -226.500  0.24348    
 13     33.286   -211.850 -0.54944    
 14     47.936   -211.850 -0.10021    
 15     62.586   -211.850  0.13399    
 16     77.236   -211.850  0.26731    
 17     91.886   -211.850  0.28026    
 18    106.536   -211.850  0.27323    
 19    121.186   -211.850  0.22703    
 20    135.836   -211.850  0.15835    
 21    150.486   -211.850  0.40317    
 22    165.136   -211.850  0.27873    
 23    179.786   -211.850  8.51579E-02
 24    194.436   -211.850  9.54924E-02
 25    209.086   -211.850  0.10201    
 26    223.736   -211.850  0.10297    
 27    238.386   -211.850  0.27745    
 28    253.036   -211.850  0.41686    
 29    267.686   -211.850  0.49722    
 30    267.686   -197.200  0.37110    
 31    253.036   -197.200  0.36989    
 32    238.386   -197.200  0.36604    
 33    223.736   -197.200  0.24710    
 34    209.086   -197.200  0.18661    
 35    194.436   -197.200  0.16658    
 36    179.786   -197.200  0.10599    
 37    165.136   -197.200  0.29216    
 38    150.486   -197.200  0.41080    
 39    135.836   -197.200  0.22088    
 40    121.186   -197.200  0.33323    
 41    106.536   -197.200  0.38903    
 42     91.886   -197.200  0.36403    
 43     77.236   -197.200  0.23948    
 44     62.586   -197.200  0.14738    
 45     47.936   -197.200 -5.97534E-02
 46     33.286   -197.200 -0.19461    
 47     18.636   -197.200 -0.21919    
 48    -39.964   -182.550  8.95837E-02
 49    -25.314   -182.550  3.75548E-02
 50    -10.664   -182.550  4.47861E-02
 51      3.986   -182.550  0.10070    
 52     18.636   -182.550 -0.11701    
 53     33.286   -182.550 -0.10979    
 54     47.936   -182.550 -1.96968E-03
 55     62.586   -182.550  0.18020    
 56     77.236   -182.550  0.25821    
 57     91.886   -182.550  0.32715    
 58    106.536   -182.550  0.37424    
 59    121.186   -182.550  0.32569    
 60    135.836   -182.550  0.26995    
 61    150.486   -182.550  0.38227    
 62    165.136   -182.550  0.31493    
 63    179.786   -182.550  0.15528    
 64    194.436   -182.550  0.12150    
 65    209.086   -182.550  0.11387    
 66    223.736   -182.550  0.26886    
 67    238.386   -182.550  0.29302    
 68    253.036   -182.550  0.30792    
 69    267.686   -182.550  0.31205    
 70    267.686   -167.900  0.23247    
 71    253.036   -167.900  0.22191    
 72    238.386   -167.900  0.18443    
 73    223.736   -167.900  0.18647    
 74    209.086   -167.900  9.54203E-02
 75    194.436   -167.900  0.16420    
 76    179.786   -167.900  0.12727    
 77    165.136   -167.900  0.18824    
 78    150.486   -167.900  0.26040    
 79    135.836   -167.900  0.34103    
 80    121.186   -167.900  0.47657    
 81    106.536   -167.900  0.49466    
 82     91.886   -167.900  0.38561    
 83     77.236   -167.900  0.30603    
 84     62.586   -167.900  0.24408    
 85     47.936   -167.900  7.09016E-02
 86     33.286   -167.900 -1.94855E-02
 87     18.636   -167.900  0.20807    
 88      3.986   -167.900  0.10182    
 89    -10.664   -167.900  4.53869E-02
 90    -25.314   -167.900  3.81027E-02
 91    -39.964   -167.900  9.03064E-02
 92    -54.614   -167.900  0.10258    
 93    -69.264   -167.900 -0.10141    
 94    -83.914   -167.900 -0.28519    
 95    -98.564   -153.250 -0.22208    
 96    -83.914   -153.250 -0.19726    
 97    -69.264   -153.250 -9.94622E-02
 98    -54.614   -153.250  8.05701E-02
 99    -39.964   -153.250  9.01662E-02
 100    -25.314   -153.250  4.05634E-02
 101    -10.664   -153.250  4.90562E-02
 102      3.986   -153.250  0.10348    
 103     18.636   -153.250  0.24938    
 104     33.286   -153.250  0.21888    
 105     47.936   -153.250  0.17427    
 106     62.586   -153.250  0.32294    
 107     77.236   -153.250  0.38899    
 108     91.886   -153.250  0.48817    
 109    106.536   -153.250  0.69534    
 110    121.186   -153.250  0.71854    
 111    135.836   -153.250  0.49906    
 112    150.486   -153.250  0.36117    
 113    165.136   -153.250  0.23648    
 114    179.786   -153.250  0.20698    
 115    194.436   -153.250  0.28452    
 116    209.086   -153.250  0.14583    
 117    223.736   -153.250  0.14846    
 118    238.386   -153.250  0.12813    
 119    253.036   -153.250  0.18445    
 120    267.686   -153.250  0.20211    
 121    267.686   -138.600  0.26231    
 122    253.036   -138.600  0.24276    
 123    238.386   -138.600  0.18957    
 124    223.736   -138.600  0.21058    
 125    209.086   -138.600  0.20749    
 126    194.436   -138.600  0.22118    
 127    179.786   -138.600  0.20914    
 128    165.136   -138.600  0.29045    
 129    150.486   -138.600  0.47849    
 130    135.836   -138.600  0.73631    
 131    121.186   -138.600  0.99195    
 132    106.536   -138.600  0.85673    
 133     91.886   -138.600  0.58213    
 134     77.236   -138.600  0.44550    
 135     62.586   -138.600  0.34012    
 136     47.936   -138.600  0.25725    
 137     33.286   -138.600  0.30427    
 138     18.636   -138.600  0.24300    
 139      3.986   -138.600  0.12030    
 140    -10.664   -138.600  7.34110E-02
 141    -25.314   -138.600  5.55537E-02
 142    -39.964   -138.600  9.53425E-02
 143    -54.614   -138.600  6.08223E-02
 144    -69.264   -138.600 -0.10328    
 145    -83.914   -138.600 -0.17956    
 146    -98.564   -138.600 -0.19276    
 147    -98.564   -123.950 -0.17812    
 148    -83.914   -123.950 -0.16702    
 149    -69.264   -123.950 -0.10843    
 150    -54.614   -123.950  3.91110E-02
 151    -39.964   -123.950  0.12576    
 152    -25.314   -123.950  0.10075    
 153    -10.664   -123.950  0.13546    
 154      3.986   -123.950  0.16515    
 155     18.636   -123.950  0.20369    
 156     33.286   -123.950  0.31266    
 157     47.936   -123.950  0.31788    
 158     62.586   -123.950  0.33680    
 159     77.236   -123.950  0.40489    
 160     91.886   -123.950  0.61033    
 161    106.536   -123.950  0.93442    
 162    121.186   -123.950   1.0638    
 163    135.836   -123.950  0.79188    
 164    150.486   -123.950  0.53809    
 165    165.136   -123.950  0.35571    
 166    179.786   -123.950  0.22297    
