!
! 19-DEC-2018 15:22:19
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 2 6.5 /OUTPUT smm34_hcn10_blue_2.txt
!
 1     33.286   -211.850 -0.31284    
 2     47.936   -211.850  0.42977    
 3     62.586   -211.850  0.52340    
 4     77.236   -211.850  0.96327    
 5     91.886   -211.850  0.98065    
 6    106.536   -211.850   1.4812    
 7    121.186   -211.850   1.9508    
 8    135.836   -211.850   2.1719    
 9    150.486   -211.850   2.1118    
 10    165.136   -211.850   2.2887    
 11    179.786   -211.850   2.5389    
 12    194.436   -211.850   2.7922    
 13    209.086   -211.850   1.5378    
 14    223.736   -211.850   1.2701    
 15    238.386   -211.850  0.95602    
 16    238.386   -197.200  0.98607    
 17    223.736   -197.200  0.99063    
 18    209.086   -197.200   1.5035    
 19    194.436   -197.200   2.7832    
 20    179.786   -197.200   2.5103    
 21    165.136   -197.200   2.2885    
 22    150.486   -197.200   2.0966    
 23    135.836   -197.200   2.2188    
 24    121.186   -197.200   2.0252    
 25    106.536   -197.200   1.4842    
 26     91.886   -197.200  0.98000    
 27     77.236   -197.200  0.93861    
 28     62.586   -197.200  0.52259    
 29     47.936   -197.200  0.46015    
 30     33.286   -197.200 -0.14550    
 31     18.636   -197.200  0.21938    
 32     18.636   -182.550  8.16405E-03
 33     33.286   -182.550  6.62320E-02
 34     47.936   -182.550  0.32304    
 35     62.586   -182.550  0.37061    
 36     77.236   -182.550  0.58834    
 37     91.886   -182.550   1.2444    
 38    106.536   -182.550   1.9939    
 39    121.186   -182.550   2.8364    
 40    135.836   -182.550   2.8670    
 41    150.486   -182.550   2.3193    
 42    165.136   -182.550   2.1428    
 43    179.786   -182.550   1.8182    
 44    194.436   -182.550   1.7506    
 45    209.086   -182.550   1.4141    
 46    223.736   -182.550  0.69559    
 47    238.386   -182.550  0.66065    
 48    238.386   -167.900  0.59121    
 49    223.736   -167.900  0.65467    
 50    209.086   -167.900   1.4162    
 51    194.436   -167.900   1.5979    
 52    179.786   -167.900   2.0014    
 53    165.136   -167.900   2.7860    
 54    150.486   -167.900   3.1162    
 55    135.836   -167.900   3.1678    
 56    121.186   -167.900   3.0700    
 57    106.536   -167.900   2.3676    
 58     91.886   -167.900   1.4974    
 59     77.236   -167.900  0.81470    
 60     62.586   -167.900  0.58173    
 61     47.936   -167.900  0.29475    
 62     33.286   -167.900  0.35983    
 63     18.636   -167.900  0.36869    
 64     18.636   -153.250  0.85139    
 65     33.286   -153.250  0.87833    
 66     47.936   -153.250  0.41901    
 67     62.586   -153.250  0.81638    
 68     77.236   -153.250   1.0228    
 69     91.886   -153.250   1.5666    
 70    106.536   -153.250   2.8457    
 71    121.186   -153.250   3.2621    
 72    135.836   -153.250   3.3060    
 73    150.486   -153.250   4.0859    
 74    165.136   -153.250   3.8438    
 75    179.786   -153.250   2.7497    
 76    194.436   -153.250   1.6763    
 77    209.086   -153.250   1.2337    
 78    223.736   -153.250  0.91855    
 79    238.386   -153.250  0.88534    
 80    238.386   -138.600   1.2248    
 81    223.736   -138.600   1.2411    
 82    209.086   -138.600   1.7176    
 83    194.436   -138.600   2.4578    
 84    179.786   -138.600   3.5815    
 85    165.136   -138.600   4.6134    
 86    150.486   -138.600   4.3895    
 87    135.836   -138.600   3.9899    
 88    121.186   -138.600   4.5979    
 89    106.536   -138.600   4.0498    
 90     91.886   -138.600   2.9129    
 91     77.236   -138.600   2.1918    
 92     62.586   -138.600   2.1108    
 93     47.936   -138.600   1.7520    
 94     33.286   -138.600   1.7985    
 95     18.636   -138.600   1.9839    
 96      3.986   -138.600   1.8852    
 97    -10.664   -138.600   1.0406    
 98    -25.314   -138.600  0.36233    
 99    -39.964   -138.600  0.23677    
 100    -54.614   -138.600  0.13851    
 101    -69.264   -138.600 -7.65601E-05
 102    -83.914   -138.600  6.25935E-03
 103    -83.914   -123.950  3.37496E-02
 104    -69.264   -123.950  4.75137E-02
 105    -54.614   -123.950  0.14637    
 106    -39.964   -123.950  0.24002    
 107    -25.314   -123.950  0.38824    
 108    -10.664   -123.950   1.0380    
 109      3.986   -123.950   1.8947    
 110     18.636   -123.950   3.8140    
 111     33.286   -123.950   6.3400    
 112     47.936   -123.950   7.1242    
 113     62.586   -123.950   7.5917    
 114     77.236   -123.950   6.5916    
 115     91.886   -123.950   6.6559    
 116    106.536   -123.950   7.3864    
 117    121.186   -123.950   5.9551    
 118    135.836   -123.950   4.1906    
 119    150.486   -123.950   3.9459    
 120    165.136   -123.950   4.1485    
 121    179.786   -123.950   3.5934    
 122    194.436   -123.950   2.3828    
 123    209.086   -123.950   1.5463    
 124    223.736   -123.950  0.82298    
 125    238.386   -123.950  0.79056    
 126    238.386   -109.300  0.20858    
 127    223.736   -109.300  0.23672    
 128    209.086   -109.300   1.1796    
 129    194.436   -109.300   1.8447    
 130    179.786   -109.300   2.9279    
 131    165.136   -109.300   3.2945    
 132    150.486   -109.300   3.3655    
 133    135.836   -109.300   3.5082    
 134    121.186   -109.300   5.5490    
 135    106.536   -109.300   7.4745    
 136     91.886   -109.300   7.9271    
 137     77.236   -109.300   9.2878    
 138     62.586   -109.300   11.175    
 139     47.936   -109.300   10.443    
 140     33.286   -109.300   8.2199    
 141     18.636   -109.300   4.7401    
 142      3.986   -109.300   2.3636    
 143    -10.664   -109.300   1.3275    
 144    -25.314   -109.300  0.59946    
 145    -39.964   -109.300  0.36905    
 146    -54.614   -109.300  0.25511    
 147    -69.264   -109.300  0.11688    
 148    -83.914   -109.300  0.11691    
 149    -83.914    -94.650  0.10355    
 150    -69.264    -94.650  0.10416    
 151    -54.614    -94.650  0.22745    
 152    -39.964    -94.650  0.42483    
 153    -25.314    -94.650  0.76214    
 154    -10.664    -94.650   1.9814    
 155      3.986    -94.650   2.4215    
 156     18.636    -94.650   3.3178    
 157     33.286    -94.650   5.2257    
 158     47.936    -94.650   7.4311    
 159     62.586    -94.650   8.3615    
 160     77.236    -94.650   6.7242    
 161     91.886    -94.650   5.1451    
 162    106.536    -94.650   4.6081    
 163    121.186    -94.650   3.7073    
 164    135.836    -94.650   3.7158    
 165    150.486    -94.650   3.6408    
 166    165.136    -94.650   3.0161    
 167    179.786    -94.650   2.2743    
 168    194.436    -94.650   1.7139    
 169    209.086    -94.650  0.87794    
 170    223.736    -94.650  5.15912E-02
 171    238.386    -94.650  2.39381E-02
 172    238.386    -80.000  0.26446    
 173    223.736    -80.000  0.27717    
 174    209.086    -80.000  0.98475    
 175    194.436    -80.000   1.5377    
 176    179.786    -80.000   1.9748    
 177    165.136    -80.000   2.7227    
 178    150.486    -80.000   3.8767    
 179    135.836    -80.000   3.6484    
 180    121.186    -80.000   2.8407    
 181    106.536    -80.000   2.2724    
 182     91.886    -80.000   2.1346    
 183     77.236    -80.000   2.3968    
 184     62.586    -80.000   2.8191    
 185     47.936    -80.000   2.3639    
 186     33.286    -80.000   2.0058    
 187     18.636    -80.000   2.1610    
 188      3.986    -80.000   2.2324    
 189    -10.664    -80.000   1.7585    
 190    -25.314    -80.000  0.82748    
 191    -39.964    -80.000  0.44705    
 192    -54.614    -80.000  0.22256    
 193    -69.264    -80.000  9.47812E-02
 194    -83.914    -80.000  9.08449E-02
 195    -83.914    -65.350  0.20005    
 196    -69.264    -65.350  0.23831    
 197    -54.614    -65.350  0.69398    
 198    -39.964    -65.350  0.82396    
 199    -25.314    -65.350   1.0949    
 200    -10.664    -65.350   1.7615    
 201      3.986    -65.350   2.9356    
 202     18.636    -65.350   3.0336    
 203     33.286    -65.350   1.7168    
 204     47.936    -65.350  0.68118    
 205     62.586    -65.350  0.59517    
 206     77.236    -65.350  0.77017    
 207     91.886    -65.350  0.73538    
 208    106.536    -65.350   1.1393    
 209    121.186    -65.350   2.2093    
 210    135.836    -65.350   3.0086    
 211    150.486    -65.350   2.8474    
 212    165.136    -65.350   1.3070    
 213    179.786    -65.350   1.3212    
 214    194.436    -65.350   1.1963    
 215    209.086    -65.350  0.78029    
 216    223.736    -65.350  0.30101    
 217    238.386    -65.350  0.27834    
 218    238.386    -50.700  0.53692    
 219    223.736    -50.700  0.54406    
 220    209.086    -50.700  0.76533    
 221    194.436    -50.700  0.74073    
 222    179.786    -50.700  0.86435    
 223    165.136    -50.700  0.96070    
 224    150.486    -50.700   1.6372    
 225    135.836    -50.700   1.9611    
 226    121.186    -50.700   1.6380    
 227    106.536    -50.700   1.1612    
 228     91.886    -50.700  0.68022    
 229     77.236    -50.700  0.50880    
 230     62.586    -50.700  0.58034    
 231     47.936    -50.700  0.87273    
 232     33.286    -50.700   2.0101    
 233     18.636    -50.700   3.5702    
 234      3.986    -50.700   3.2725    
 235    -10.664    -50.700   2.0028    
