!
! 19-DEC-2018 15:16:13
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 8.5 11.3 /OUTPUT smm34_hcn10_blue_3.txt
!
 1     33.286   -211.850  0.37632    
 2     47.936   -211.850  0.39720    
 3     62.586   -211.850  0.50697    
 4     77.236   -211.850  0.34029    
 5     91.886   -211.850  0.49614    
 6    106.536   -211.850   1.3133    
 7    121.186   -211.850   2.1497    
 8    135.836   -211.850   2.1905    
 9    150.486   -211.850   1.4896    
 10    165.136   -211.850   1.3863    
 11    179.786   -211.850   1.4578    
 12    194.436   -211.850   1.5657    
 13    209.086   -211.850   1.3768    
 14    223.736   -211.850   1.3659    
 15    238.386   -211.850  0.89479    
 16    238.386   -197.200  0.86068    
 17    223.736   -197.200  0.89646    
 18    209.086   -197.200   1.3511    
 19    194.436   -197.200   1.5597    
 20    179.786   -197.200   1.4311    
 21    165.136   -197.200   1.3855    
 22    150.486   -197.200   1.5116    
 23    135.836   -197.200   2.1787    
 24    121.186   -197.200   2.1720    
 25    106.536   -197.200   1.3203    
 26     91.886   -197.200  0.49923    
 27     77.236   -197.200  0.34985    
 28     62.586   -197.200  0.50578    
 29     47.936   -197.200  0.41540    
 30     33.286   -197.200  0.26207    
 31     18.636   -197.200 -2.89519E-02
 32     18.636   -182.550  0.10881    
 33     33.286   -182.550  9.72571E-02
 34     47.936   -182.550  0.35665    
 35     62.586   -182.550  0.38725    
 36     77.236   -182.550  0.45746    
 37     91.886   -182.550  0.72466    
 38    106.536   -182.550   1.5698    
 39    121.186   -182.550   2.7475    
 40    135.836   -182.550   2.8285    
 41    150.486   -182.550   1.9698    
 42    165.136   -182.550   1.2605    
 43    179.786   -182.550   1.0512    
 44    194.436   -182.550   1.0012    
 45    209.086   -182.550  0.96416    
 46    223.736   -182.550  0.48472    
 47    238.386   -182.550  0.47522    
 48    238.386   -167.900  0.40607    
 49    223.736   -167.900  0.42850    
 50    209.086   -167.900  0.67330    
 51    194.436   -167.900  0.75080    
 52    179.786   -167.900   1.0837    
 53    165.136   -167.900   1.7170    
 54    150.486   -167.900   2.3936    
 55    135.836   -167.900   2.9351    
 56    121.186   -167.900   2.7527    
 57    106.536   -167.900   1.8476    
 58     91.886   -167.900   1.1072    
 59     77.236   -167.900  0.66825    
 60     62.586   -167.900  0.39695    
 61     47.936   -167.900  0.42532    
 62     33.286   -167.900  0.36547    
 63     18.636   -167.900  0.36199    
 64     18.636   -153.250  0.55123    
 65     33.286   -153.250  0.57568    
 66     47.936   -153.250  0.51378    
 67     62.586   -153.250  0.63503    
 68     77.236   -153.250  0.69814    
 69     91.886   -153.250   1.2260    
 70    106.536   -153.250   2.3081    
 71    121.186   -153.250   2.8857    
 72    135.836   -153.250   2.7177    
 73    150.486   -153.250   2.6358    
 74    165.136   -153.250   2.2654    
 75    179.786   -153.250   1.4938    
 76    194.436   -153.250  0.91776    
 77    209.086   -153.250  0.78177    
 78    223.736   -153.250  0.55514    
 79    238.386   -153.250  0.54063    
 80    238.386   -138.600  0.58082    
 81    223.736   -138.600  0.60697    
 82    209.086   -138.600  0.94295    
 83    194.436   -138.600   1.3498    
 84    179.786   -138.600   1.8594    
 85    165.136   -138.600   2.3836    
 86    150.486   -138.600   2.5673    
 87    135.836   -138.600   2.9105    
 88    121.186   -138.600   3.4502    
 89    106.536   -138.600   2.9045    
 90     91.886   -138.600   1.7164    
 91     77.236   -138.600   1.2989    
 92     62.586   -138.600   1.2005    
 93     47.936   -138.600   1.1061    
 94     33.286   -138.600   1.0215    
 95     18.636   -138.600   1.1323    
 96      3.986   -138.600   1.0015    
 97    -10.664   -138.600  0.54034    
 98    -25.314   -138.600  0.58222    
 99    -39.964   -138.600  0.36287    
 100    -54.614   -138.600  0.28355    
 101    -69.264   -138.600 -0.18514    
 102    -83.914   -138.600 -0.50219    
 103    -83.914   -123.950 -0.25181    
 104    -69.264   -123.950 -0.21295    
 105    -54.614   -123.950  0.28511    
 106    -39.964   -123.950  0.36117    
 107    -25.314   -123.950  0.57294    
 108    -10.664   -123.950  0.54034    
 109      3.986   -123.950   1.0087    
 110     18.636   -123.950   1.6912    
 111     33.286   -123.950   2.4760    
 112     47.936   -123.950   2.6116    
 113     62.586   -123.950   2.6224    
 114     77.236   -123.950   2.3594    
 115     91.886   -123.950   2.6050    
 116    106.536   -123.950   3.4723    
 117    121.186   -123.950   3.4495    
 118    135.836   -123.950   2.6480    
 119    150.486   -123.950   2.1268    
 120    165.136   -123.950   2.1369    
 121    179.786   -123.950   1.6045    
 122    194.436   -123.950   1.2241    
 123    209.086   -123.950  0.65902    
 124    223.736   -123.950  0.54576    
 125    238.386   -123.950  0.54297    
 126    238.386   -109.300  0.29019    
 127    223.736   -109.300  0.29296    
 128    209.086   -109.300  0.66449    
 129    194.436   -109.300   1.1325    
 130    179.786   -109.300   1.4750    
 131    165.136   -109.300   1.7131    
 132    150.486   -109.300   1.9277    
 133    135.836   -109.300   2.1073    
 134    121.186   -109.300   2.7955    
 135    106.536   -109.300   3.3301    
 136     91.886   -109.300   3.2008    
 137     77.236   -109.300   3.0900    
 138     62.586   -109.300   3.5664    
 139     47.936   -109.300   3.4514    
 140     33.286   -109.300   2.7249    
 141     18.636   -109.300   1.8076    
 142      3.986   -109.300   1.2291    
 143    -10.664   -109.300  0.74190    
 144    -25.314   -109.300  0.61919    
 145    -39.964   -109.300  0.53297    
 146    -54.614   -109.300  0.52269    
 147    -69.264   -109.300  0.21811    
 148    -83.914   -109.300  0.19016    
 149    -83.914    -94.650  4.32391E-02
 150    -69.264    -94.650  6.30642E-02
 151    -54.614    -94.650  0.46145    
 152    -39.964    -94.650  0.42102    
 153    -25.314    -94.650  0.68390    
 154    -10.664    -94.650   1.0539    
 155      3.986    -94.650   1.3484    
 156     18.636    -94.650   1.3397    
 157     33.286    -94.650   1.8864    
 158     47.936    -94.650   2.3778    
 159     62.586    -94.650   2.6633    
 160     77.236    -94.650   2.7632    
 161     91.886    -94.650   2.4639    
 162    106.536    -94.650   2.2388    
 163    121.186    -94.650   2.1056    
 164    135.836    -94.650   2.1335    
 165    150.486    -94.650   1.9566    
 166    165.136    -94.650   1.5617    
 167    179.786    -94.650   1.0993    
 168    194.436    -94.650  0.99385    
 169    209.086    -94.650  0.62299    
 170    223.736    -94.650  0.33554    
 171    238.386    -94.650  0.32038    
 172    238.386    -80.000  0.41827    
 173    223.736    -80.000  0.43599    
 174    209.086    -80.000  0.88942    
 175    194.436    -80.000   1.2095    
 176    179.786    -80.000   1.2380    
 177    165.136    -80.000   1.4636    
 178    150.486    -80.000   2.0772    
 179    135.836    -80.000   1.9211    
 180    121.186    -80.000   1.5576    
 181    106.536    -80.000   1.4605    
 182     91.886    -80.000   1.2218    
 183     77.236    -80.000   1.3170    
 184     62.586    -80.000   1.3244    
 185     47.936    -80.000   1.0088    
 186     33.286    -80.000  0.97726    
 187     18.636    -80.000   1.1497    
 188      3.986    -80.000   1.2513    
 189    -10.664    -80.000   1.0155    
 190    -25.314    -80.000  0.86115    
 191    -39.964    -80.000  0.75805    
 192    -54.614    -80.000  0.60279    
 193    -69.264    -80.000  0.12843    
 194    -83.914    -80.000  0.10032    
 195    -83.914    -65.350  0.29839    
 196    -69.264    -65.350  0.32601    
 197    -54.614    -65.350  0.60388    
 198    -39.964    -65.350  0.85026    
 199    -25.314    -65.350   1.0306    
 200    -10.664    -65.350   1.2282    
 201      3.986    -65.350   1.4781    
 202     18.636    -65.350   1.3770    
 203     33.286    -65.350  0.85425    
 204     47.936    -65.350  0.53324    
 205     62.586    -65.350  0.63361    
 206     77.236    -65.350  0.46283    
 207     91.886    -65.350  0.62993    
 208    106.536    -65.350  0.86317    
 209    121.186    -65.350   1.3727    
 210    135.836    -65.350   1.5108    
 211    150.486    -65.350   1.2549    
 212    165.136    -65.350  0.87199    
 213    179.786    -65.350   1.1701    
 214    194.436    -65.350   1.4813    
 215    209.086    -65.350   1.2984    
 216    223.736    -65.350  0.61078    
 217    238.386    -65.350  0.56252    
 218    238.386    -50.700   1.2115    
 219    223.736    -50.700   1.2538    
 220    209.086    -50.700   1.8697    
 221    194.436    -50.700   1.7386    
 222    179.786    -50.700   1.3558    
 223    165.136    -50.700  0.79909    
 224    150.486    -50.700   1.0371    
 225    135.836    -50.700   1.1927    
 226    121.186    -50.700   1.1228    
 227    106.536    -50.700  0.88287    
 228     91.886    -50.700  0.56967    
 229     77.236    -50.700  0.50874    
 230     62.586    -50.700  0.71844    
 231     47.936    -50.700  0.67108    
 232     33.286    -50.700   1.1925    
 233     18.636    -50.700   1.8405    
 234      3.986    -50.700   1.9696    
 235    -10.664    -50.700   1.6001    
 236    -25.314    -50.700   1.6386    
 237    -39.964    -50.700   1.3867    
 238    -54.614    -50.700  0.96005    
 239    -69.264    -50.700  0.38983    
 240    -83.914    -50.700  0.35274    
 241    -83.914    -36.050  0.50230    
 242    -69.264    -36.050  0.53915    
 243    -54.614    -36.050   1.0671    
 244    -39.964    -36.050   1.7525    
 245    -25.314    -36.050   1.8795    
 246    -10.664    -36.050   1.7337    
 247      3.986    -36.050   2.0346    
 248     18.636    -36.050   1.7132    
 249     33.286    -36.050   1.1262    
 250     47.936    -36.050  0.71124    
 251     62.586    -36.050  0.77405    
 252     77.236    -36.050  0.50317    
 253     91.886    -36.050  0.61571    
 254    106.536    -36.050  0.61451    
 255    121.186    -36.050   1.1419    
 256    135.836    -36.050   1.0230    
 257    150.486    -36.050  0.75539    
 258    165.136    -36.050  0.88025    
 259    179.786    -36.050   1.1255    
 260    194.436    -36.050   1.7053    
 261    209.086    -36.050   2.0645    
 262    223.736    -36.050   1.9023    
 263    238.386    -36.050   1.8932    
 264    238.386    -21.400   1.6017    
 265    223.736    -21.400   1.5882    
 266    209.086    -21.400   1.6706    
 267    194.436    -21.400   1.1348    
 268    179.786    -21.400   1.0394    
 269    165.136    -21.400  0.73350    
 270    150.486    -21.400  0.95049    
 271    135.836    -21.400   1.0701    
 272    121.186    -21.400   1.0439    
 273    106.536    -21.400  0.71185    
 274     91.886    -21.400  0.51944    
 275     77.236    -21.400  0.67515    
 276     62.586    -21.400  0.80530    
 277     47.936    -21.400   1.0727    
 278     33.286    -21.400   1.3095    
 279     18.636    -21.400   1.8200    
 280      3.986    -21.400   2.2191    
 281    -10.664    -21.400   2.1842    
 282    -25.314    -21.400   1.9649    
 283    -39.964    -21.400   1.4217    
 284    -54.614    -21.400  0.93687    
 285    -69.264    -21.400  0.65622    
 286    -83.914    -21.400  0.63051    
 287    -83.914     -6.750  0.90379    
 288    -69.264     -6.750  0.91712    
 289    -54.614     -6.750   1.0737    
 290    -39.964     -6.750   1.3558    
 291    -25.314     -6.750   1.8945    
 292    -10.664     -6.750   2.5137    
 293      3.986     -6.750   2.7390    
 294     18.636     -6.750   1.9364    
 295     33.286     -6.750   1.3270    
 296     47.936     -6.750   1.1324    
 297     62.586     -6.750  0.66920    
 298     77.236     -6.750  0.52281    
 299     91.886     -6.750  0.51462    
 300    106.536     -6.750  0.48885    
 301    121.186     -6.750  0.72644    
 302    135.836     -6.750  0.72005    
 303    150.486     -6.750  0.81890    
 304    165.136     -6.750  0.83449    
 305    179.786     -6.750  0.96956    
 306    194.436     -6.750  0.90489    
 307    209.086     -6.750  0.88516    
 308    223.736     -6.750  0.79298    
 309    238.386     -6.750   1.5782    
 310    223.736      7.900  0.74631    
 311    209.086      7.900  0.83983    
 312    194.436      7.900  0.88987    
 313    179.786      7.900   1.0206    
 314    165.136      7.900  0.85454    
 315    150.486      7.900  0.78695    
 316    135.836      7.900  0.69835    
 317    121.186      7.900  0.70509    
 318    106.536      7.900  0.45187    
 319     91.886      7.900  0.48137    
 320     77.236      7.900  0.52366    
 321     62.586      7.900  0.77334    
 322     47.936      7.900   1.1383    
 323     33.286      7.900   1.3735    
 324     18.636      7.900   1.7793    
 325      3.986      7.900   2.5860    
 326    -10.664      7.900   2.4751    
 327    -25.314      7.900   1.6285    
 328    -39.964      7.900   1.2074    
 329    -54.614      7.900   1.0770    
 330    -69.264      7.900  0.95026    
 331    -83.914      7.900  0.94243    
 332    -83.914     22.550  0.61008    
 333    -69.264     22.550  0.62105    
 334    -54.614     22.550  0.73736    
 335    -39.964     22.550  0.84011    
 336    -25.314     22.550   1.1176    
 337    -10.664     22.550   1.7792    
 338      3.986     22.550   2.0520    
 339     18.636     22.550   1.8462    
 340     33.286     22.550   2.1733    
 341     47.936     22.550   1.6173    
 342     62.586     22.550   1.1072    
 343     77.236     22.550   1.1130    
 344     91.886     22.550  0.48335    
 345    106.536     22.550  0.45007    
 346    121.186     22.550  0.71300    
 347    135.836     22.550  0.69735    
 348    150.486     22.550  0.78733    
 349    165.136     22.550  0.85303    
 350    179.786     22.550   1.0224    
 351    194.436     22.550  0.88818    
 352    209.086     22.550  0.84126    
 353     77.236     37.200  0.79392    
 354     62.586     37.200  0.80077    
 355     47.936     37.200   1.3186    
 356     33.286     37.200   1.8417    
 357     18.636     37.200   1.7042    
 358      3.986     37.200   1.7227    
 359    -10.664     37.200   1.8747    
 360    -25.314     37.200   1.3322    
 361    -39.964     37.200  0.88752    
 362    -54.614     37.200  0.85187    
 363    -69.264     37.200  0.60601    
 364    -83.914     37.200  0.58192    
 365    -83.914     51.850  0.91960    
 366    -69.264     51.850  0.93617    
 367    -54.614     51.850  0.95824    
 368    -39.964     51.850   1.1755    
 369    -25.314     51.850   1.9990    
 370    -10.664     51.850   2.4712    
 371      3.986     51.850   1.5227    
 372     18.636     51.850  0.92055    
 373     33.286     51.850  0.79352    
 374     47.936     51.850  0.79182    
 375     62.586     51.850  0.18595    
 376     77.236     51.850  0.20266    
 377     77.236     66.500  0.30719    
 378     62.586     66.500  0.30687    
 379     47.936     66.500  0.37619    
 380     33.286     66.500  0.66686    
 381     18.636     66.500  0.74523    
 382      3.986     66.500   2.3614    
 383    -10.664     66.500   4.6695    
 384    -25.314     66.500   4.3599    
 385    -39.964     66.500   2.5600    
 386    -54.614     66.500   2.2152    
 387    -69.264     66.500   2.0524    
 388    -83.914     66.500   2.0433    
 389    -83.914     81.150   3.3254    
 390    -69.264     81.150   3.3019    
 391    -54.614     81.150   2.7970    
 392    -39.964     81.150   4.0605    
 393    -25.314     81.150   5.8642    
 394    -10.664     81.150   5.3459    
 395      3.986     81.150   2.3544    
 396     18.636     81.150  0.63458    
 397     33.286     81.150  0.45950    
 398     47.936     81.150  0.53945    
 399     62.586     81.150  0.17681    
 400     77.236     81.150  0.16603    
 401     77.236     95.800  0.33381    
 402     62.586     95.800  0.34531    
 403     47.936     95.800  0.29671    
 404     33.286     95.800  0.61281    
 405     18.636     95.800  0.92347    
 406      3.986     95.800   1.8001    
 407    -10.664     95.800   4.2074    
 408    -25.314     95.800   5.6614    
 409    -39.964     95.800   4.2192    
 410    -54.614     95.800   2.6449    
 411    -69.264     95.800   3.1710    
 412    -83.914     95.800   3.2125    
 413    -83.914    110.450   2.7010    
 414    -69.264    110.450   2.6342    
 415    -54.614    110.450   1.8541    
 416    -39.964    110.450   3.1668    
 417    -25.314    110.450   3.6663    
 418    -10.664    110.450   2.4591    
 419      3.986    110.450   1.2560    
 420     18.636    110.450  0.78085    
 421     33.286    110.450  0.71321    
 422     47.936    110.450  0.40099    
 423     62.586    110.450  0.49569    
 424     77.236    110.450  0.50417    
 425     77.236    125.100  0.45011    
 426     62.586    125.100  0.41644    
 427     47.936    125.100  0.40760    
 428     33.286    125.100  0.76769    
 429     18.636    125.100  0.86122    
 430      3.986    125.100  0.90268    
 431    -10.664    125.100   1.3499    
 432    -25.314    125.100   1.7504    
 433    -39.964    125.100   1.5778    
 434    -54.614    125.100   1.0415    
 435    -69.264    125.100   1.8093    
 436    -83.914    125.100   1.8646    
 437    -83.914    139.750  0.65597    
 438    -69.264    139.750  0.65150    
 439    -54.614    139.750  0.77982    
 440    -39.964    139.750   1.1324    
 441    -25.314    139.750   1.1747    
 442    -10.664    139.750  0.76628    
 443      3.986    139.750  0.80066    
 444     18.636    139.750  0.64611    
 445     33.286    139.750  0.58552    
 446     47.936    139.750  0.54576    
 447     62.586    139.750  7.29109E-02
 448     77.236    139.750  5.24218E-02
 449     62.586    154.400  0.85103    
 450     47.936    154.400  0.78577    
 451     33.286    154.400  0.56010    
 452     18.636    154.400  0.78622    
 453      3.986    154.400  0.81145    
 454    -10.664    154.400  0.61530    
 455    -25.314    154.400  0.90531    
 456    -39.964    154.400  0.77470    
 457    -54.614    154.400  0.57149    
 458    -69.264    154.400  0.74079    
 459    -83.914    154.400  0.60800    
 460    -69.264    169.050  0.74190    
 461    -54.614    169.050  0.57148    
 462    -39.964    169.050  0.77469    
 463    -25.314    169.050  0.90530    
 464    -10.664    169.050  0.61530    
 465      3.986    169.050  0.81145    
 466     18.636    169.050  0.78626    
 467     33.286    169.050  0.56010    
 468     47.936    169.050  0.78577    
 469     62.586    169.050  0.85151    
