!
! 19-DEC-2018 15:17:26
! Input file  : serpens_hcn10_conv.30m
! Input command: ANALYSE\PRINT area 12 18 /OUTPUT smm34_hcn10_red_3.txt
!
 1     33.286   -211.850 -3.98042E-02
 2     47.936   -211.850  0.35525    
 3     62.586   -211.850  0.40451    
 4     77.236   -211.850  0.29341    
 5     91.886   -211.850  0.75309    
 6    106.536   -211.850   1.8187    
 7    121.186   -211.850   2.6199    
 8    135.836   -211.850   2.0897    
 9    150.486   -211.850   1.5165    
 10    165.136   -211.850   1.1652    
 11    179.786   -211.850  0.51505    
 12    194.436   -211.850  0.73566    
 13    209.086   -211.850  0.36465    
 14    223.736   -211.850  0.23256    
 15    238.386   -211.850  0.11214    
 16    238.386   -197.200  0.22231    
 17    223.736   -197.200  0.23153    
 18    209.086   -197.200  0.36409    
 19    194.436   -197.200  0.72817    
 20    179.786   -197.200  0.52895    
 21    165.136   -197.200   1.1632    
 22    150.486   -197.200   1.5276    
 23    135.836   -197.200   2.1548    
 24    121.186   -197.200   2.6852    
 25    106.536   -197.200   1.8356    
 26     91.886   -197.200  0.75675    
 27     77.236   -197.200  0.35096    
 28     62.586   -197.200  0.40370    
 29     47.936   -197.200  0.38730    
 30     33.286   -197.200  9.32627E-02
 31     18.636   -197.200  0.38610    
 32     18.636   -182.550  0.16343    
 33     33.286   -182.550  0.25527    
 34     47.936   -182.550  0.26320    
 35     62.586   -182.550  0.33912    
 36     77.236   -182.550  0.52113    
 37     91.886   -182.550   1.0522    
 38    106.536   -182.550   2.4198    
 39    121.186   -182.550   3.9023    
 40    135.836   -182.550   3.2236    
 41    150.486   -182.550   1.6116    
 42    165.136   -182.550  0.54275    
 43    179.786   -182.550  0.54128    
 44    194.436   -182.550  0.26770    
 45    209.086   -182.550  0.43732    
 46    223.736   -182.550  0.13319    
 47    238.386   -182.550  0.13462    
 48    238.386   -167.900  0.21744    
 49    223.736   -167.900  0.22582    
 50    209.086   -167.900  0.40696    
 51    194.436   -167.900  0.35121    
 52    179.786   -167.900  0.56289    
 53    165.136   -167.900  0.75893    
 54    150.486   -167.900   1.5616    
 55    135.836   -167.900   2.8642    
 56    121.186   -167.900   3.1514    
 57    106.536   -167.900   2.2004    
