!
! 18-DEC-2018 16:12:16
! Input file  : serpens_cn10_conv.30m
! Input command: ANALYSE\PRINT area 10.5 22 /OUTPUT smm3_cn10_red.txt
!
 1    238.386   -226.500  0.38819    
 2    223.736   -226.500  0.43405    
 3    209.086   -226.500  0.43471    
 4    194.436   -226.500  0.43986    
 5    179.786   -226.500  0.47320    
 6    165.136   -226.500  0.77816    
 7    150.486   -226.500   1.1639    
 8    135.836   -226.500  0.69385    
 9    121.186   -226.500  0.93721    
 10    106.536   -226.500   1.0432    
 11     91.886   -226.500   1.0578    
 12     77.236   -226.500   1.0595    
 13     33.286   -211.850  -1.3606    
 14     47.936   -211.850 -0.41454    
 15     62.586   -211.850  0.18292    
 16     77.236   -211.850  0.89323    
 17     91.886   -211.850   1.0100    
 18    106.536   -211.850  0.98642    
 19    121.186   -211.850  0.83238    
 20    135.836   -211.850  0.59341    
 21    150.486   -211.850   1.0893    
 22    165.136   -211.850  0.73801    
 23    179.786   -211.850  0.56392    
 24    194.436   -211.850  0.84267    
 25    209.086   -211.850  0.90846    
 26    223.736   -211.850  0.91736    
 27    238.386   -211.850  0.73679    
 28    253.036   -211.850  0.73120    
 29    267.686   -211.850  0.62005    
 30    267.686   -197.200  0.73291    
 31    253.036   -197.200  0.73037    
 32    238.386   -197.200  0.60308    
 33    223.736   -197.200  0.76268    
 34    209.086   -197.200   1.1522    
 35    194.436   -197.200   1.0263    
 36    179.786   -197.200  0.57086    
 37    165.136   -197.200  0.83589    
 38    150.486   -197.200  0.94155    
 39    135.836   -197.200  0.80155    
 40    121.186   -197.200   1.1830    
 41    106.536   -197.200   1.3128    
 42     91.886   -197.200   1.1349    
 43     77.236   -197.200  0.62136    
 44     62.586   -197.200  0.20012    
 45     47.936   -197.200 -0.45768    
 46     33.286   -197.200  -1.0018    
 47     18.636   -197.200  -1.1085    
 48    -39.964   -182.550 -0.40352    
 49    -25.314   -182.550 -0.43040    
 50    -10.664   -182.550 -0.22609    
 51      3.986   -182.550 -0.13702    
 52     18.636   -182.550  -1.0312    
 53     33.286   -182.550 -0.98323    
 54     47.936   -182.550 -0.49216    
 55     62.586   -182.550  0.23453    
 56     77.236   -182.550  0.66342    
 57     91.886   -182.550  0.92585    
 58    106.536   -182.550   1.9839    
 59    121.186   -182.550   2.1726    
 60    135.836   -182.550   1.3868    
 61    150.486   -182.550   1.0814    
 62    165.136   -182.550   1.2367    
 63    179.786   -182.550  0.81730    
 64    194.436   -182.550  0.75711    
 65    209.086   -182.550  0.94342    
 66    223.736   -182.550  0.20270    
 67    238.386   -182.550  0.56073    
 68    253.036   -182.550  0.68107    
 69    267.686   -182.550  0.68674    
 70    267.686   -167.900  0.53006    
 71    253.036   -167.900  0.51794    
 72    238.386   -167.900  0.43513    
 73    223.736   -167.900  0.30682    
 74    209.086   -167.900  0.96733    
 75    194.436   -167.900  0.98775    
 76    179.786   -167.900  0.82114    
 77    165.136   -167.900  0.95052    
 78    150.486   -167.900   1.3059    
 79    135.836   -167.900   1.9002    
 80    121.186   -167.900   2.2699    
 81    106.536   -167.900   1.7487    
 82     91.886   -167.900   1.1366    
 83     77.236   -167.900  0.67923    
 84     62.586   -167.900  0.28611    
 85     47.936   -167.900 -0.46668    
 86     33.286   -167.900 -0.88549    
 87     18.636   -167.900 -7.50684E-02
 88      3.986   -167.900 -0.13295    
 89    -10.664   -167.900 -0.22476    
 90    -25.314   -167.900 -0.42714    
 91    -39.964   -167.900 -0.39080    
 92    -54.614   -167.900  0.31754    
 93    -69.264   -167.900  0.59592    
 94    -83.914   -167.900  0.67752    
 95    -98.564   -153.250  0.56294    
