!
! 18-DEC-2018 16:15:02
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area -13.5 6 /OUTPUT smm3_co65_blue.txt
!
 1    186.864   -210.600   4.0950    
 2    182.064   -210.600   4.8635    
 3    177.264   -210.600   12.771    
 4    172.464   -210.600  -3.0619    
 5    167.664   -210.600   4.2905    
 6    162.864   -210.600  2.36887E-02
 7    158.064   -210.600   9.2989    
 8    153.264   -210.600   15.110    
 9    148.464   -210.600   3.3441    
 10    143.664   -210.600   15.164    
 11    138.864   -210.600   18.331    
 12    134.064   -210.600   7.0769    
 13    129.264   -210.600   10.940    
 14    124.464   -210.600   1.2453    
 15    119.664   -210.600  -2.5705    
 16    114.864   -210.600  -5.9629    
 17    110.064   -210.600   2.7493    
 18    105.264   -210.600   4.4298    
 19    100.464   -210.600   11.156    
 20     95.664   -210.600   7.2165    
 21     90.864   -210.600   10.680    
 22     86.064   -210.600  -3.5244    
 23     81.264   -210.600  -10.380    
 24     76.464   -210.600  -7.1976    
 25     71.664   -210.600   6.0214    
 26     66.864   -210.600  -2.2639    
 27     62.064   -210.600   2.4044    
 28     57.264   -210.600   10.797    
 29     52.464   -210.600  -13.799    
 30     47.664   -210.600   5.1049    
 31     42.864   -210.600  -10.280    
 32     38.064   -210.600   5.3750    
 33     33.264   -210.600   4.1333    
 34     28.464   -210.600   3.3224    
 35     23.664   -210.600   7.5365    
 36     18.864   -210.600   1.0322    
 37     14.064   -210.600  -10.367    
 38      9.264   -210.600   8.8888    
 39      4.464   -210.600   14.635    
 40     -0.336   -210.600   14.639    
 41     -0.336   -205.800   8.4211    
 42      4.464   -205.800   13.442    
 43      9.264   -205.800   8.6127    
 44     14.064   -205.800  -6.8201    
 45     18.864   -205.800   1.2468    
 46     23.664   -205.800   7.0363    
 47     28.464   -205.800   3.1103    
 48     33.264   -205.800   4.7238    
 49     38.064   -205.800   6.1658    
 50     42.864   -205.800  -10.050    
 51     47.664   -205.800   5.1983    
 52     52.464   -205.800  -13.073    
 53     57.264   -205.800   9.9308    
 54     62.064   -205.800   2.8251    
 55     66.864   -205.800  -2.1428    
 56     71.664   -205.800   6.5505    
 57     76.464   -205.800  -6.6281    
 58     81.264   -205.800  -10.160    
 59     86.064   -205.800  -2.3818    
 60     90.864   -205.800   10.129    
 61     95.664   -205.800   7.7201    
 62    100.464   -205.800   10.925    
 63    105.264   -205.800   4.2334    
 64    110.064   -205.800   3.0859    
 65    114.864   -205.800  -5.3567    
 66    119.664   -205.800  -3.3960    
 67    124.464   -205.800   1.1287    
 68    129.264   -205.800   10.288    
 69    134.064   -205.800   6.6180    
 70    138.864   -205.800   17.176    
 71    143.664   -205.800   14.742    
 72    148.464   -205.800   3.2472    
 73    153.264   -205.800   15.272    
 74    158.064   -205.800   7.9327    
 75    162.864   -205.800 -2.01895E-02
 76    167.664   -205.800   2.7102    
 77    172.464   -205.800  -3.1245    
 78    177.264   -205.800   12.450    
 79    182.064   -205.800   5.0777    
 80    186.864   -205.800   6.9622    
 81    191.664   -205.800   9.4028    
 82    196.464   -205.800   13.497    
 83    201.264   -205.800  0.11413    
 84    206.064   -205.800  0.19763    
 85    210.864   -201.000   9.7568    
 86    206.064   -201.000  0.98195    
 87    201.264   -201.000  0.18215    
 88    196.464   -201.000   13.545    
 89    191.664   -201.000   8.4763    
 90    186.864   -201.000   8.2025    
 91    182.064   -201.000   3.4905    
 92    177.264   -201.000  0.80717    
 93    172.464   -201.000   2.8631    
 94    167.664   -201.000   1.3191    
 95    162.864   -201.000 -0.65449    
 96    158.064   -201.000  0.42247    
 97    153.264   -201.000   4.5546    
 98    148.464   -201.000   10.442    
 99    143.664   -201.000   6.4128    
 100    138.864   -201.000  -3.8319    
 101    134.064   -201.000   2.8978    
 102    129.264   -201.000   8.9998    
 103    124.464   -201.000   5.9841    
 104    119.664   -201.000   3.2279    
 105    114.864   -201.000   7.7420    
 106    110.064   -201.000   8.6241    
 107    105.264   -201.000  0.43289    
 108    100.464   -201.000 -0.20661    
 109     95.664   -201.000 -6.50656E-02
 110     90.864   -201.000 -0.71080    
 111     86.064   -201.000   4.0007    
 112     81.264   -201.000   3.8346    
 113     76.464   -201.000  -1.2743    
 114     71.664   -201.000  0.82093    
 115     66.864   -201.000   3.7663    
 116     62.064   -201.000  0.98301    
 117     57.264   -201.000   5.6732    
 118     52.464   -201.000  -3.1969    
 119     47.664   -201.000   2.1146    
 120     42.864   -201.000   6.2908    
 121     38.064   -201.000   4.4819    
 122     33.264   -201.000   4.1326    
 123     28.464   -201.000  -8.8191    
 124     23.664   -201.000  -2.8104    
 125     18.864   -201.000   2.1732    
 126     14.064   -201.000  0.13070    
 127      9.264   -201.000  -8.2721    
 128      4.464   -201.000   1.5885    
 129     -0.336   -201.000   2.6573    
 130     -5.136   -201.000  -7.7510    
 131     -9.936   -196.200  -10.405    
 132     -5.136   -196.200  -6.5339    
 133     -0.336   -196.200 -0.19498    
 134      4.464   -196.200   1.1699    
 135      9.264   -196.200  -1.4142    
 136     14.064   -196.200   7.4088    
 137     18.864   -196.200   9.7749    
 138     23.664   -196.200   5.1789    
 139     28.464   -196.200   8.6055    
 140     33.264   -196.200  -6.1042    
 141     38.064   -196.200   4.0251    
 142     42.864   -196.200   10.555    
 143     47.664   -196.200  -3.6451    
 144     52.464   -196.200   1.7448    
 145     57.264   -196.200   2.0371    
 146     62.064   -196.200   2.0600    
 147     66.864   -196.200   3.9911    
 148     71.664   -196.200   7.6243    
 149     76.464   -196.200   7.4703    
 150     81.264   -196.200   3.7562    
 151     86.064   -196.200   6.9613    
 152     90.864   -196.200   4.1563    
 153     95.664   -196.200   1.7866    
 154    100.464   -196.200   2.6656    
 155    105.264   -196.200  -2.8620    
 156    110.064   -196.200   3.4746    
 157    114.864   -196.200   3.5218    
 158    119.664   -196.200   1.7027    
 159    124.464   -196.200  -1.1434    
 160    129.264   -196.200   1.5827    
 161    134.064   -196.200   1.5833    
 162    138.864   -196.200   1.4958    
 163    143.664   -196.200   7.9987    
 164    148.464   -196.200   9.2252    
 165    153.264   -196.200   10.358    
 166    158.064   -196.200  -2.0360    
 167    162.864   -196.200 -0.14019    
 168    167.664   -196.200   2.2928    
 169    172.464   -196.200   8.7990    
 170    177.264   -196.200  -2.7382    
 171    182.064   -196.200   6.6656    
 172    186.864   -196.200   1.9696    
 173    191.664   -196.200   8.2300    
 174    196.464   -196.200   11.685    
 175    201.264   -196.200   6.0554    
 176    206.064   -196.200   9.6984    
 177    210.864   -196.200   9.9014    
 178    210.864   -191.400  -5.5917    
 179    206.064   -191.400  -6.1041    
 180    201.264   -191.400  -1.2829    
 181    196.464   -191.400  -6.5262    
 182    191.664   -191.400  -2.4417    
 183    186.864   -191.400   2.6578    
 184    182.064   -191.400 -0.25780    
 185    177.264   -191.400   2.3954    
 186    172.464   -191.400  7.77046E-02
 187    167.664   -191.400  0.78843    
 188    162.864   -191.400   2.2334    
 189    158.064   -191.400   3.3222    
 190    153.264   -191.400   2.8761    
 191    148.464   -191.400   5.8511    
 192    143.664   -191.400   4.4158    
 193    138.864   -191.400   1.9243    
 194    134.064   -191.400   4.1525    
 195    129.264   -191.400  0.99731    
 196    124.464   -191.400   3.4419    
 197    119.664   -191.400   3.9522    
 198    114.864   -191.400   8.7517    
 199    110.064   -191.400   1.5854    
 200    105.264   -191.400   2.7064    
 201    100.464   -191.400   2.4944    
 202     95.664   -191.400   4.0476    
 203     90.864   -191.400   2.9116    
 204     86.064   -191.400   1.6570    
 205     81.264   -191.400  -1.8595    
 206     76.464   -191.400  -1.6284    
 207     71.664   -191.400  -2.1974    
 208     66.864   -191.400  4.08297E-02
 209     62.064   -191.400 -0.89515    
 210     57.264   -191.400 -0.70223    
