!
! 18-DEC-2018 16:14:36
! Input file  : serpens_co65_conv.30m
! Input command: ANALYSE\PRINT area 10.5 31 /OUTPUT smm3_co65_red.txt
!
 1    186.864   -210.600   2.2107    
 2    182.064   -210.600   7.0289    
 3    177.264   -210.600  -6.9195    
 4    172.464   -210.600   12.062    
 5    167.664   -210.600   1.6356    
 6    162.864   -210.600   11.593    
 7    158.064   -210.600   9.3994    
 8    153.264   -210.600   1.5995    
 9    148.464   -210.600   8.2812    
 10    143.664   -210.600   12.655    
 11    138.864   -210.600   18.812    
 12    134.064   -210.600   10.217    
 13    129.264   -210.600   13.328    
 14    124.464   -210.600   14.200    
 15    119.664   -210.600   6.1457    
 16    114.864   -210.600   18.826    
 17    110.064   -210.600   8.5386    
 18    105.264   -210.600   10.503    
 19    100.464   -210.600  -1.7938    
 20     95.664   -210.600   4.2741    
 21     90.864   -210.600  -3.8412    
 22     86.064   -210.600   1.1446    
 23     81.264   -210.600   1.5084    
 24     76.464   -210.600   3.9969    
 25     71.664   -210.600   7.4752    
 26     66.864   -210.600  -6.9213    
 27     62.064   -210.600  -6.9469    
 28     57.264   -210.600   2.6249    
 29     52.464   -210.600  -4.5435    
 30     47.664   -210.600   9.6252    
 31     42.864   -210.600   6.8332    
 32     38.064   -210.600   14.321    
 33     33.264   -210.600   1.7085    
 34     28.464   -210.600   5.2668    
 35     23.664   -210.600   3.8955    
 36     18.864   -210.600  -13.113    
 37     14.064   -210.600  0.89681    
 38      9.264   -210.600   1.8956    
 39      4.464   -210.600   2.7663    
 40     -0.336   -210.600   2.7672    
 41     -0.336   -205.800   1.7207    
 42      4.464   -205.800   2.5642    
 43      9.264   -205.800   1.6035    
 44     14.064   -205.800  0.32446    
 45     18.864   -205.800  -11.988    
 46     23.664   -205.800   4.1815    
 47     28.464   -205.800   5.0909    
 48     33.264   -205.800   1.6962    
 49     38.064   -205.800   13.827    
 50     42.864   -205.800   7.0036    
 51     47.664   -205.800   9.6970    
 52     52.464   -205.800  -3.6003    
 53     57.264   -205.800   2.9587    
 54     62.064   -205.800  -6.6347    
 55     66.864   -205.800  -6.5833    
 56     71.664   -205.800   7.4029    
 57     76.464   -205.800   3.4089    
 58     81.264   -205.800   1.7572    
 59     86.064   -205.800  0.94917    
 60     90.864   -205.800  -3.4721    
 61     95.664   -205.800   4.9336    
 62    100.464   -205.800  -1.7376    
 63    105.264   -205.800   10.397    
 64    110.064   -205.800   8.0831    
 65    114.864   -205.800   18.575    
 66    119.664   -205.800   5.8000    
 67    124.464   -205.800   13.414    
 68    129.264   -205.800   11.981    
 69    134.064   -205.800   9.1966    
 70    138.864   -205.800   17.861    
 71    143.664   -205.800   12.041    
 72    148.464   -205.800   8.7535    
 73    153.264   -205.800   2.2652    
 74    158.064   -205.800   11.466    
 75    162.864   -205.800   11.399    
 76    167.664   -205.800   1.0063    
 77    172.464   -205.800   12.097    
 78    177.264   -205.800  -7.2670    
 79    182.064   -205.800   6.8410    
 80    186.864   -205.800  -2.1478    
 81    191.664   -205.800   6.3842    
 82    196.464   -205.800   9.1512    
 83    201.264   -205.800   7.5631    
 84    206.064   -205.800   12.451    
 85    210.864   -201.000   8.5950    
 86    206.064   -201.000   12.143    
 87    201.264   -201.000   7.2487    
 88    196.464   -201.000   9.3547    
 89    191.664   -201.000   9.4132    
 90    186.864   -201.000   3.7236    
 91    182.064   -201.000  9.46707E-02
 92    177.264   -201.000  -4.5236    
 93    172.464   -201.000   2.6754    
 94    167.664   -201.000 -0.79733    
 95    162.864   -201.000   2.3126    
