!
! 01-JUL-2019 22:53:53
! Input file  : spectraOdp.30m
! Input command: ANALYSE\PRINT area 8.5 21.2 /OUTPUT serpens_h13cn10_int.txt
!
 134561    -87.867    -90.000  0.95473    
 134562    -84.867    -90.000   2.5429    
 134563    -81.867    -90.000   1.3885    
 134564    -78.867    -90.000 -0.68654    
 134565    -75.867    -90.000  0.56378    
 134566    -72.867    -90.000 -0.49539    
 134567    -69.867    -90.000   1.0773    
 134568    -66.867    -90.000 -0.36059    
 134569    -63.867    -90.000 -0.59636    
 134570    -60.867    -90.000   2.1295    
 134571    -57.867    -90.000 -0.36840    
 134572    -54.867    -90.000  -1.6375    
 134573    -51.867    -90.000 -0.97821    
 134574    -48.867    -90.000   1.3042    
 134575    -45.867    -90.000   1.1804    
 134576    -42.867    -90.000 -0.23963    
 134577    -39.867    -90.000 -0.53984    
 134578    -36.867    -90.000 -0.93298    
 134579    -33.867    -90.000 -6.91624E-02
 134580    -30.867    -90.000  0.41571    
 134581    -27.867    -90.000  -1.1202    
 134582    -24.867    -90.000 -0.54046    
 134583    -21.867    -90.000 -0.92175    
 134584    -18.867    -90.000  -1.3674    
 134585    -15.867    -90.000 -0.58202    
 134586    -12.867    -90.000 -0.36155    
 134587     -9.867    -90.000   1.7712    
 134588     -6.867    -90.000   3.1222    
 134589     -3.867    -90.000   1.8351    
 134590     -0.867    -90.000  0.84056    
 134591      2.133    -90.000   1.9131    
 134592      5.133    -90.000   3.5883    
 134593      8.133    -90.000   3.7393    
 134594     11.133    -90.000   1.1175    
 134595     14.133    -90.000   2.4089    
 134596     17.133    -90.000   2.1435    
 134597     20.133    -90.000   2.6833    
 134598     23.133    -90.000  0.36079    
 134599     26.133    -90.000   2.1634    
 134600     29.133    -90.000  0.94651    
 134601     32.133    -90.000   1.2632    
 134602     35.133    -90.000   2.0931    
 134603     38.133    -90.000 -0.86147    
 134604     41.133    -90.000   1.7847    
 134605     44.133    -90.000   1.5623    
 134606     47.133    -90.000   3.9189    
 134607     50.133    -90.000  0.69221    
 134608     53.133    -90.000  0.68517    
 134609     56.133    -90.000   1.6154    
 134610     59.133    -90.000   2.2714    
 134611     62.133    -90.000   2.3007    
 134612     65.133    -90.000   3.3377    
 134613     68.133    -90.000   2.0529    
 134614     71.133    -90.000  0.35230    
 134615     74.133    -90.000   1.1229    
 134616     77.133    -90.000   2.0571    
 134617     80.133    -90.000  0.42856    
 134618     83.133    -90.000  0.85399    
 134619     86.133    -90.000 -0.12345    
 134620     87.867    -70.000  1.16257E-02
 134621     84.867    -70.000   2.3465    
 134622     81.867    -70.000   2.5296    
 134623     78.867    -70.000  0.80193    
 134624     75.867    -70.000  0.42086    
 134625     72.867    -70.000  -2.7064    
 134626     69.867    -70.000  -1.8966    
 134627     66.867    -70.000   1.0897    
 134628     63.867    -70.000  0.82016    
 134629     60.867    -70.000  0.27832    
 134630     57.867    -70.000  0.13248    
 134631     54.867    -70.000   1.2357    
 134632     51.867    -70.000  0.87538    
 134633     48.867    -70.000  0.58078    
 134634     45.867    -70.000   2.5031    
 134635     42.867    -70.000   2.3087    
 134636     39.867    -70.000   2.5909    
 134637     36.867    -70.000   3.7450    
 134638     33.867    -70.000   1.1089    
 134639     30.867    -70.000   1.6340    
 134640     27.867    -70.000 -0.27484    
 134641     24.867    -70.000   3.5067    
 134642     21.867    -70.000   3.1499    
 134643     18.867    -70.000   2.4116    
 134644     15.867    -70.000  -2.5036    
 134645     12.867    -70.000   4.9958    
 134646      9.867    -70.000   3.2173    
 134647      6.867    -70.000   2.8659    
 134648      3.867    -70.000  0.44475    
 134649      0.867    -70.000 -0.64593    
 134650     -2.133    -70.000  0.40443    
 134651     -5.133    -70.000   2.1218    
 134652     -8.133    -70.000   2.3542    
 134653    -11.133    -70.000  0.27518    
 134654    -14.133    -70.000 -0.79504    
 134655    -17.133    -70.000   3.3691    
 134656    -20.133    -70.000   2.0737    
 134657    -23.133    -70.000  0.65686    
 134658    -26.133    -70.000  0.58585    
 134659    -29.133    -70.000 -1.24271E-02
 134660    -32.133    -70.000   1.6573    
 134661    -35.133    -70.000 -0.19923    
 134662    -38.133    -70.000  0.33088    
 134663    -41.133    -70.000  0.29963    
 134664    -44.133    -70.000  -1.1268    
 134665    -47.133    -70.000  0.56130    
 134666    -50.133    -70.000 -0.60589    
 134667    -53.133    -70.000 -0.43982    
 134668    -56.133    -70.000  0.38482    
 134669    -59.133    -70.000 -0.26012    
 134670    -62.133    -70.000   1.6386    
 134671    -65.133    -70.000   2.0852    
 134672    -68.133    -70.000  0.32625    
 134673    -71.133    -70.000  0.41910    
 134674    -74.133    -70.000  0.35135    
 134675    -77.133    -70.000  0.31370    
 134676    -80.133    -70.000  6.25606E-02
 134677    -87.867    -50.000 -0.68252    
 134678    -84.867    -50.000  -1.9658    
 134679    -81.867    -50.000  0.93720    
 134680    -78.867    -50.000  0.80052    
 134681    -75.867    -50.000 -0.37875    
